cds	gene
cds0	gene0
cds0	gene0
cds0	gene0
cds0	gene0
cds0	gene0
cds0	gene0
cds0	gene0
cds0	gene0
cds0	gene0
cds0	gene0
cds0	gene0
cds0	gene0
cds0	gene0
cds0	gene0
cds0	gene0
cds0	gene0
cds0	gene0
cds1	gene1
cds1	gene1
cds2	gene2
cds3	gene3
cds3	gene3
cds3	gene3
cds3	gene3
cds3	gene3
cds3	gene3
cds3	gene3
cds3	gene3
cds3	gene3
cds3	gene3
cds3	gene3
cds3	gene3
cds3	gene3
cds3	gene3
cds3	gene3
cds3	gene3
cds3	gene3
cds3	gene3
cds3	gene3
cds4	gene4
cds4	gene4
cds4	gene4
cds4	gene4
cds5	gene5
cds5	gene5
cds5	gene5
cds5	gene5
cds5	gene5
cds6	gene7
cds6	gene7
cds6	gene7
cds6	gene7
cds6	gene7
cds6	gene7
cds6	gene7
cds7	gene8
cds7	gene8
cds7	gene8
cds7	gene8
cds7	gene8
cds7	gene8
cds7	gene8
cds7	gene8
cds7	gene8
cds7	gene8
cds7	gene8
cds8	gene10
cds8	gene10
cds8	gene10
cds8	gene10
cds9	gene11
cds10	gene12
cds10	gene12
cds10	gene12
cds10	gene12
cds10	gene12
cds10	gene12
cds10	gene12
cds10	gene12
cds10	gene12
cds10	gene12
cds10	gene12
cds10	gene12
cds10	gene12
cds10	gene12
cds10	gene12
cds10	gene12
cds10	gene12
cds10	gene12
cds10	gene12
cds11	gene13
cds12	gene14
cds13	gene15
cds14	gene16
cds15	gene17
cds15	gene17
cds15	gene17
cds15	gene17
cds15	gene17
cds15	gene17
cds15	gene17
cds15	gene17
cds15	gene17
cds15	gene17
cds15	gene17
cds15	gene17
cds15	gene17
cds16	gene18
cds16	gene18
cds16	gene18
cds16	gene18
cds16	gene18
cds16	gene18
cds17	gene19
cds18	gene20
cds18	gene20
cds18	gene20
cds18	gene20
cds18	gene20
cds18	gene20
cds18	gene20
cds18	gene20
cds18	gene20
cds18	gene20
cds18	gene20
cds18	gene20
cds18	gene20
cds19	gene21
cds19	gene21
cds19	gene21
cds19	gene21
cds19	gene21
cds19	gene21
cds20	gene22
cds20	gene22
cds20	gene22
cds20	gene22
cds20	gene22
cds20	gene22
cds20	gene22
cds21	gene23
cds21	gene23
cds21	gene23
cds21	gene23
cds21	gene23
cds21	gene23
cds21	gene23
cds21	gene23
cds21	gene23
cds22	gene25
cds22	gene25
cds22	gene25
cds23	gene26
cds23	gene26
cds24	gene27
cds24	gene27
cds24	gene27
cds24	gene27
cds24	gene27
cds24	gene27
cds24	gene27
cds24	gene27
cds24	gene27
cds24	gene27
cds24	gene27
cds24	gene27
cds24	gene27
cds24	gene27
cds24	gene27
cds24	gene27
cds24	gene27
cds25	gene28
cds25	gene28
cds25	gene28
cds25	gene28
cds26	gene29
cds26	gene29
cds26	gene29
cds26	gene29
cds26	gene29
cds27	gene30
cds27	gene30
cds27	gene30
cds28	gene31
