cds	gene
cds0	gene0
cds0	gene0
cds0	gene0
cds1	gene1
cds1	gene1
cds1	gene1
cds1	gene1
cds2	gene2
cds2	gene2
cds2	gene2
cds3	gene3
cds3	gene3
cds3	gene3
cds4	gene4
cds4	gene4
cds5	gene5
cds5	gene5
cds5	gene5
cds5	gene5
cds6	gene6
cds6	gene6
cds6	gene6
cds6	gene6
cds6	gene6
cds6	gene6
cds6	gene6
cds6	gene6
cds6	gene6
cds6	gene6
cds6	gene6
cds6	gene6
cds6	gene6
cds6	gene6
cds6	gene6
cds7	gene6
cds7	gene6
cds7	gene6
cds7	gene6
cds7	gene6
cds7	gene6
cds7	gene6
cds7	gene6
cds7	gene6
cds7	gene6
cds7	gene6
cds7	gene6
cds7	gene6
cds8	gene6
cds8	gene6
cds8	gene6
cds8	gene6
cds8	gene6
cds8	gene6
cds8	gene6
cds8	gene6
cds8	gene6
cds8	gene6
cds8	gene6
cds8	gene6
cds8	gene6
cds8	gene6
cds8	gene6
cds9	gene6
cds9	gene6
cds9	gene6
cds9	gene6
cds9	gene6
cds9	gene6
cds9	gene6
cds9	gene6
cds9	gene6
cds9	gene6
cds9	gene6
cds9	gene6
cds9	gene6
cds9	gene6
cds9	gene6
cds10	gene6
cds10	gene6
cds10	gene6
cds10	gene6
cds10	gene6
cds10	gene6
cds10	gene6
cds10	gene6
cds10	gene6
cds10	gene6
cds10	gene6
cds10	gene6
cds10	gene6
cds10	gene6
cds10	gene6
cds11	gene6
cds11	gene6
cds11	gene6
cds11	gene6
cds11	gene6
cds11	gene6
cds11	gene6
cds11	gene6
cds11	gene6
cds11	gene6
cds11	gene6
cds11	gene6
cds11	gene6
cds11	gene6
cds11	gene6
cds12	gene6
cds12	gene6
cds12	gene6
cds12	gene6
cds12	gene6
cds12	gene6
cds12	gene6
cds12	gene6
cds12	gene6
cds12	gene6
cds12	gene6
cds12	gene6
cds12	gene6
cds13	gene6
cds13	gene6
cds13	gene6
cds13	gene6
cds13	gene6
cds13	gene6
cds13	gene6
cds13	gene6
cds13	gene6
cds13	gene6
cds13	gene6
cds13	gene6
cds13	gene6
cds14	gene6
cds14	gene6
cds14	gene6
cds14	gene6
cds14	gene6
cds14	gene6
cds14	gene6
cds14	gene6
cds14	gene6
cds14	gene6
cds14	gene6
cds14	gene6
cds14	gene6
cds14	gene6
cds15	gene6
cds15	gene6
cds15	gene6
cds15	gene6
cds15	gene6
cds15	gene6
cds15	gene6
cds15	gene6
cds15	gene6
cds15	gene6
cds15	gene6
cds15	gene6
cds15	gene6
cds15	gene6
cds16	gene6
cds16	gene6
cds16	gene6
cds16	gene6
cds16	gene6
cds16	gene6
cds16	gene6
cds16	gene6
cds16	gene6
cds16	gene6
cds16	gene6
cds16	gene6
cds16	gene6
cds17	gene8
cds17	gene8
cds17	gene8
cds17	gene8
cds17	gene8
cds17	gene8
cds17	gene8
cds17	gene8
cds17	gene8
cds17	gene8
