run	treat	treatInfo
SRR8929838	control	sterile
SRR8929839	treated	reproductive
SRR8929840	control	sterile
SRR8929841	treated	reproductive
SRR8929842	treated	reproductive
SRR8929843	control	sterile
SRR8929848	treated	reproductive
SRR8929849	control	sterile
SRR8929852	control	sterile
SRR8929853	treated	reproductive
SRR8929854	control	sterile
SRR8929855	treated	reproductive
SRR8929856	control	sterile
SRR8929857	treated	reproductive
SRR8929858	control	sterile
SRR8929859	treated	reproductive
SRR8929860	control	sterile
SRR8929861	treated	reproductive
