cds	gene
cds0	gene0
cds0	gene0
cds0	gene0
cds0	gene0
cds0	gene0
cds1	gene1
cds1	gene1
cds2	gene2
cds3	gene4
cds3	gene4
cds3	gene4
cds3	gene4
cds3	gene4
cds4	gene5
cds4	gene5
cds4	gene5
cds4	gene5
cds4	gene5
cds4	gene5
cds5	gene6
cds5	gene6
cds6	gene7
cds6	gene7
cds6	gene7
cds6	gene7
cds6	gene7
cds6	gene7
cds7	gene8
cds7	gene8
cds8	gene9
cds8	gene9
cds8	gene9
cds9	gene10
cds9	gene10
cds9	gene10
cds10	gene11
cds10	gene11
cds11	gene12
cds12	gene13
cds13	gene14
cds14	gene15
cds14	gene15
cds14	gene15
cds14	gene15
cds14	gene15
cds14	gene15
cds14	gene15
cds14	gene15
cds15	gene16
cds15	gene16
cds15	gene16
cds15	gene16
cds15	gene16
cds15	gene16
cds15	gene16
cds15	gene16
cds15	gene16
cds16	gene17
cds16	gene17
cds16	gene17
cds16	gene17
cds16	gene17
cds16	gene17
cds16	gene17
cds16	gene17
cds16	gene17
cds16	gene17
cds16	gene17
cds16	gene17
cds16	gene17
cds16	gene17
cds16	gene17
cds17	gene18
cds17	gene18
cds17	gene18
cds18	gene19
cds19	gene20
cds19	gene20
cds19	gene20
cds19	gene20
cds19	gene20
cds19	gene20
cds20	gene21
cds20	gene21
cds20	gene21
cds21	gene22
cds21	gene22
cds21	gene22
cds21	gene22
cds22	gene23
cds22	gene23
cds22	gene23
cds22	gene23
cds22	gene23
cds22	gene23
cds22	gene23
cds22	gene23
cds22	gene23
cds22	gene23
cds22	gene23
cds22	gene23
cds23	gene24
cds23	gene24
cds23	gene24
cds23	gene24
cds23	gene24
cds23	gene24
cds23	gene24
cds23	gene24
cds23	gene24
cds23	gene24
cds23	gene24
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds24	gene25
cds25	gene26
cds25	gene26
cds25	gene26
cds25	gene26
cds25	gene26
cds25	gene26
cds25	gene26
cds26	gene27
cds26	gene27
cds26	gene27
cds26	gene27
cds26	gene27
cds26	gene27
cds26	gene27
cds26	gene27
cds26	gene27
cds26	gene27
cds26	gene27
cds27	gene28
cds27	gene28
cds27	gene28
cds27	gene28
cds27	gene28
cds27	gene28
cds27	gene28
cds27	gene28
cds27	gene28
cds27	gene28
cds27	gene28
cds27	gene28
cds27	gene28
cds27	gene28
cds27	gene28
cds27	gene28
cds27	gene28
cds27	gene28
