Assay_Type	Run	Library_Name
Bisulfite-Seq	SRR6202193	Aip_Bis_A4_L4
Bisulfite-Seq	SRR6202194	Aip_Bis_A3_L4
Bisulfite-Seq	SRR6202195	Aip_Bis_S2_L3
Bisulfite-Seq	SRR6202196	Aip_Bis_S1_L3
Bisulfite-Seq	SRR6202197	Aip_Bis_S4_L3
Bisulfite-Seq	SRR6202198	Aip_Bis_S3_L3
Bisulfite-Seq	SRR6202199	Aip_Bis_S6_L3
Bisulfite-Seq	SRR6202200	Aip_Bis_S5_L3
Bisulfite-Seq	SRR6202201	Aip_Bis_A2_L4
Bisulfite-Seq	SRR6202202	Aip_Bis_A1_L4
RNA-Seq	SRR6202203	Aip_RNA-Seq_A3_Run2_L5
RNA-Seq	SRR6202204	Aip_RNA-Seq_A3_Run2_L6
RNA-Seq	SRR6202205	Aip_RNA-Seq_A1_Run2_L5
RNA-Seq	SRR6202206	Aip_RNA-Seq_A1_Run2_L6
RNA-Seq	SRR6202207	Aip_RNA-Seq_A1_Run2_L7
RNA-Seq	SRR6202208	Aip_RNA-Seq_A1_Run2_L8
RNA-Seq	SRR6202209	Aip_RNA-Seq_A2_Run2_L5
RNA-Seq	SRR6202210	Aip_RNA-Seq_A2_Run2_L6
RNA-Seq	SRR6202211	Aip_RNA-Seq_A2_Run2_L7
RNA-Seq	SRR6202212	Aip_RNA-Seq_A2_Run2_L8
Bisulfite-Seq	SRR6202213	Aip_Bis_A1_L8
Bisulfite-Seq	SRR6202214	Aip_Bis_A2_L8
Bisulfite-Seq	SRR6202215	Aip_Bis_A3_L8
Bisulfite-Seq	SRR6202216	Aip_Bis_A4_L8
Bisulfite-Seq	SRR6202217	Aip_Bis_S3_L7
Bisulfite-Seq	SRR6202218	Aip_Bis_S4_L7
Bisulfite-Seq	SRR6202219	Aip_Bis_S5_L7
Bisulfite-Seq	SRR6202220	Aip_Bis_S6_L7
Bisulfite-Seq	SRR6202221	Aip_Bis_A5_L8
Bisulfite-Seq	SRR6202222	Aip_Bis_A6_L8
Bisulfite-Seq	SRR6202223	Aip_Bis_A5_L3
Bisulfite-Seq	SRR6202224	Aip_Bis_A6_L3
Bisulfite-Seq	SRR6202225	Aip_Bis_S5_L2
Bisulfite-Seq	SRR6202226	Aip_Bis_S6_L2
Bisulfite-Seq	SRR6202227	Aip_Bis_S3_L2
Bisulfite-Seq	SRR6202228	Aip_Bis_S4_L2
Bisulfite-Seq	SRR6202229	Aip_Bis_A3_L3
Bisulfite-Seq	SRR6202230	Aip_Bis_A4_L3
Bisulfite-Seq	SRR6202231	Aip_Bis_A1_L3
Bisulfite-Seq	SRR6202232	Aip_Bis_A2_L3
RNA-Seq	SRR6202233	Aip_RNA-Seq_A5_Run2_L6
RNA-Seq	SRR6202234	Aip_RNA-Seq_A5_Run2_L5
RNA-Seq	SRR6202235	Aip_RNA-Seq_A4_Run2_L8
RNA-Seq	SRR6202236	Aip_RNA-Seq_A4_Run2_L7
RNA-Seq	SRR6202237	Aip_RNA-Seq_A4_Run2_L6
RNA-Seq	SRR6202238	Aip_RNA-Seq_A4_Run2_L5
RNA-Seq	SRR6202239	Aip_RNA-Seq_A3_Run2_L8
RNA-Seq	SRR6202240	Aip_RNA-Seq_A3_Run2_L7
RNA-Seq	SRR6202241	Aip_RNA-Seq_A5_Run2_L8
RNA-Seq	SRR6202242	Aip_RNA-Seq_A5_Run2_L7
Bisulfite-Seq	SRR6202243	Aip_Bis_A6_L7
Bisulfite-Seq	SRR6202244	Aip_Bis_S6_L5
Bisulfite-Seq	SRR6202245	Aip_Bis_S5_L5
Bisulfite-Seq	SRR6202246	Aip_Bis_S4_L5
Bisulfite-Seq	SRR6202247	Aip_Bis_S3_L5
Bisulfite-Seq	SRR6202248	Aip_Bis_S2_L5
Bisulfite-Seq	SRR6202249	Aip_Bis_S1_L5
Bisulfite-Seq	SRR6202250	Aip_Bis_A6_L5
Bisulfite-Seq	SRR6202251	Aip_Bis_A5_L5
Bisulfite-Seq	SRR6202252	Aip_Bis_A4_L5
Bisulfite-Seq	SRR6202366	Aip_Bis_S5_L8
Bisulfite-Seq	SRR6202365	Aip_Bis_S6_L8
RNA-Seq	SRR6202364	Aip_RNA-Seq_A1_Run1_L5
RNA-Seq	SRR6202363	Aip_RNA-Seq_A1_Run1_L6
Bisulfite-Seq	SRR6202362	Aip_Bis_S1_L8
Bisulfite-Seq	SRR6202361	Aip_Bis_S2_L8
Bisulfite-Seq	SRR6202360	Aip_Bis_S3_L8
Bisulfite-Seq	SRR6202359	Aip_Bis_S4_L8
RNA-Seq	SRR6202358	Aip_RNA-Seq_A2_Run1_L5
RNA-Seq	SRR6202357	Aip_RNA-Seq_A2_Run1_L6
RNA-Seq	SRR6202356	Aip_RNA-Seq_S3_Run2_L5
RNA-Seq	SRR6202355	Aip_RNA-Seq_S3_Run2_L6
RNA-Seq	SRR6202354	Aip_RNA-Seq_S2_Run2_L7
RNA-Seq	SRR6202353	Aip_RNA-Seq_S2_Run2_L8
RNA-Seq	SRR6202352	Aip_RNA-Seq_S4_Run2_L5
RNA-Seq	SRR6202351	Aip_RNA-Seq_S4_Run2_L6
RNA-Seq	SRR6202350	Aip_RNA-Seq_S3_Run2_L7
RNA-Seq	SRR6202349	Aip_RNA-Seq_S3_Run2_L8
RNA-Seq	SRR6202348	Aip_RNA-Seq_S4_Run2_L7
RNA-Seq	SRR6202347	Aip_RNA-Seq_S4_Run2_L8
RNA-Seq	SRR6202346	Aip_RNA-Seq_A6_Run2_L6
RNA-Seq	SRR6202345	Aip_RNA-Seq_A6_Run2_L5
RNA-Seq	SRR6202344	Aip_RNA-Seq_A6_Run2_L8
RNA-Seq	SRR6202343	Aip_RNA-Seq_A6_Run2_L7
RNA-Seq	SRR6202342	Aip_RNA-Seq_S1_Run2_L6
RNA-Seq	SRR6202341	Aip_RNA-Seq_S1_Run2_L5
RNA-Seq	SRR6202340	Aip_RNA-Seq_S1_Run2_L8
RNA-Seq	SRR6202339	Aip_RNA-Seq_S1_Run2_L7
RNA-Seq	SRR6202338	Aip_RNA-Seq_S2_Run2_L6
RNA-Seq	SRR6202337	Aip_RNA-Seq_S2_Run2_L5
Bisulfite-Seq	SRR6202336	Aip_Bis_S1_L2
Bisulfite-Seq	SRR6202335	Aip_Bis_S2_L2
Bisulfite-Seq	SRR6202334	Aip_Bis_A3_L2
Bisulfite-Seq	SRR6202333	Aip_Bis_A4_L2
Bisulfite-Seq	SRR6202332	Aip_Bis_A5_L2
Bisulfite-Seq	SRR6202331	Aip_Bis_A6_L2
Bisulfite-Seq	SRR6202330	Aip_Bis_S5_L1
Bisulfite-Seq	SRR6202329	Aip_Bis_S6_L1
Bisulfite-Seq	SRR6202328	Aip_Bis_A1_L2
Bisulfite-Seq	SRR6202327	Aip_Bis_A2_L2
ChIP-Seq	SRR6202326	ChIP-Seq_input_Z
ChIP-Seq	SRR6202325	ChIP-Seq_H3K36me3_X
ChIP-Seq	SRR6202324	ChIP-Seq_H3K36me3_Y
ChIP-Seq	SRR6202323	ChIP-Seq_H3K36me3_Z
Bisulfite-Seq	SRR6202322	Aip_Bis_S4_L6
Bisulfite-Seq	SRR6202321	Aip_Bis_S3_L6
Bisulfite-Seq	SRR6202320	Aip_Bis_A2_L6
Bisulfite-Seq	SRR6202319	Aip_Bis_A1_L6
Bisulfite-Seq	SRR6202318	Aip_Bis_A4_L6
Bisulfite-Seq	SRR6202317	Aip_Bis_A3_L6
Bisulfite-Seq	SRR6202316	Aip_Bis_A6_L6
Bisulfite-Seq	SRR6202315	Aip_Bis_A5_L6
Bisulfite-Seq	SRR6202314	Aip_Bis_S2_L6
Bisulfite-Seq	SRR6202313	Aip_Bis_S1_L6
ChIP-Seq	SRR6202312	ChIP-Seq_input_Y
ChIP-Seq	SRR6202311	ChIP-Seq_input_X
RNA-Seq	SRR6202310	Aip_RNA-Seq_S5_Run2_L8
RNA-Seq	SRR6202309	Aip_RNA-Seq_S5_Run2_L7
RNA-Seq	SRR6202308	Aip_RNA-Seq_S5_Run2_L6
RNA-Seq	SRR6202307	Aip_RNA-Seq_S5_Run2_L5
RNA-Seq	SRR6202306	Aip_RNA-Seq_S6_Run2_L8
RNA-Seq	SRR6202305	Aip_RNA-Seq_S6_Run2_L7
RNA-Seq	SRR6202304	Aip_RNA-Seq_S6_Run2_L6
RNA-Seq	SRR6202303	Aip_RNA-Seq_S6_Run2_L5
Bisulfite-Seq	SRR6202302	Aip_Bis_S1_L1
Bisulfite-Seq	SRR6202301	Aip_Bis_S1_L7
Bisulfite-Seq	SRR6202300	Aip_Bis_S2_L7
Bisulfite-Seq	SRR6202299	Aip_Bis_S2_L1
Bisulfite-Seq	SRR6202298	Aip_Bis_A1_L7
Bisulfite-Seq	SRR6202297	Aip_Bis_A2_L7
Bisulfite-Seq	SRR6202296	Aip_Bis_S5_L6
Bisulfite-Seq	SRR6202295	Aip_Bis_S6_L6
Bisulfite-Seq	SRR6202294	Aip_Bis_A5_L7
Bisulfite-Seq	SRR6202293	Aip_Bis_A5_L1
Bisulfite-Seq	SRR6202292	Aip_Bis_A3_L7
Bisulfite-Seq	SRR6202291	Aip_Bis_A4_L7
Bisulfite-Seq	SRR6202290	Aip_Bis_A6_L1
Bisulfite-Seq	SRR6202289	Aip_Bis_A3_L1
Bisulfite-Seq	SRR6202288	Aip_Bis_A4_L1
Bisulfite-Seq	SRR6202287	Aip_Bis_A1_L1
Bisulfite-Seq	SRR6202286	Aip_Bis_A2_L1
RNA-Seq	SRR6202285	Aip_RNA-Seq_S6_Run1_L5
RNA-Seq	SRR6202284	Aip_RNA-Seq_S6_Run1_L6
RNA-Seq	SRR6202283	Aip_RNA-Seq_S5_Run1_L5
RNA-Seq	SRR6202282	Aip_RNA-Seq_S5_Run1_L6
RNA-Seq	SRR6202281	Aip_RNA-Seq_S4_Run1_L5
RNA-Seq	SRR6202280	Aip_RNA-Seq_S4_Run1_L6
RNA-Seq	SRR6202279	Aip_RNA-Seq_S3_Run1_L5
RNA-Seq	SRR6202278	Aip_RNA-Seq_S3_Run1_L6
RNA-Seq	SRR6202277	Aip_RNA-Seq_S2_Run1_L5
RNA-Seq	SRR6202276	Aip_RNA-Seq_S2_Run1_L6
Bisulfite-Seq	SRR6202275	Aip_Bis_S6_L4
Bisulfite-Seq	SRR6202274	Aip_Bis_S5_L4
Bisulfite-Seq	SRR6202273	Aip_Bis_S4_L4
Bisulfite-Seq	SRR6202272	Aip_Bis_S3_L4
Bisulfite-Seq	SRR6202271	Aip_Bis_S2_L4
Bisulfite-Seq	SRR6202270	Aip_Bis_S1_L4
Bisulfite-Seq	SRR6202269	Aip_Bis_A6_L4
Bisulfite-Seq	SRR6202268	Aip_Bis_A5_L4
Bisulfite-Seq	SRR6202267	Aip_Bis_A2_L5
Bisulfite-Seq	SRR6202266	Aip_Bis_A1_L5
Bisulfite-Seq	SRR6202265	Aip_Bis_S3_L1
Bisulfite-Seq	SRR6202264	Aip_Bis_S4_L1
RNA-Seq	SRR6202263	Aip_RNA-Seq_S1_Run1_L6
RNA-Seq	SRR6202262	Aip_RNA-Seq_S1_Run1_L5
RNA-Seq	SRR6202261	Aip_RNA-Seq_A5_Run1_L6
RNA-Seq	SRR6202260	Aip_RNA-Seq_A5_Run1_L5
RNA-Seq	SRR6202259	Aip_RNA-Seq_A6_Run1_L6
RNA-Seq	SRR6202258	Aip_RNA-Seq_A6_Run1_L5
RNA-Seq	SRR6202257	Aip_RNA-Seq_A3_Run1_L6
RNA-Seq	SRR6202256	Aip_RNA-Seq_A3_Run1_L5
RNA-Seq	SRR6202255	Aip_RNA-Seq_A4_Run1_L6
RNA-Seq	SRR6202254	Aip_RNA-Seq_A4_Run1_L5
Bisulfite-Seq	SRR6202253	Aip_Bis_A3_L5
