chr	start	end	name	NcpgMeasured	Nmcpg	mCpG_per_CpG	fracMeth	mnMeth	medMeth	sdMeth	stdErrMeth	maxMeth	minMeth
NC_039506.1	70	1070	gene-LOC105288151	28	2	0.07142857142857142	0.058823529411764705	7.142857142857143	0	26.22652641564811	4.956347617776506	100	0
NC_039506.1	44264	45264	gene-LOC105288134	20	1	0.05	0.038461538461538464	5	0	22.360679774997898	5	100	0
NC_039506.1	102515	103515	gene-LOC113562166	19	0	0	0	0	0	0	0	0	0
NC_039506.1	142204	143204	gene-LOC105288138	49	1	0.02040816326530612	0.02040816326530612	2.0408163265306123	0	14.285714285714285	2.0408163265306123	100	0
NC_039506.1	267542	268542	gene-LOC105288140	737	15	0.0203527815468114	0.008944543828264758	1.013035575959641	0	7.592508787051147	0.27967365572426145	100	0
NC_039506.1	259227	260227	gene-LOC105288139	1063	12	0.011288805268109126	0.005826461097167443	0.4748225279991039	0	2.9590863021917646	0.09075927109952135	50	0
NC_039506.1	273181	274181	gene-LOC113562194	51	0	0	0	0	0	0	0	0	0
NC_039506.1	272665	273665	gene-LOC105288142	41	2	0.04878048780487805	0.04878048780487805	4.878048780487805	0	21.808478995509077	3.405912205797303	100	0
NC_039506.1	297434	298434	gene-LOC105288150	11	0	0	0	0	0	0	0	0	0
NC_039506.1	309425	310425	gene-LOC105288144	548	18	0.032846715328467155	0.018152480839048003	1.0796430911005583	0	4.89084897942572	0.20892671391542975	38.4615384615385	0
NC_039506.1	322599	323599	gene-LOC105287009	194	3	0.015463917525773196	0.016928657799274487	0.7469563655130667	0	4.410741363236789	0.3166727747288581	50	0
NC_039506.1	334991	335991	gene-LOC105287258	86	6	0.06976744186046512	0.025974025974025976	3.192078228548109	0	12.402280730876855	1.3373723252580207	100	0
NC_039506.1	351091	352091	gene-LOC105287298	45	0	0	0	0	0	0	0	0	0
NC_039506.1	364599	365599	gene-LOC105285568	18	0	0	0	0	0	0	0	0	0
NC_039506.1	369330	370330	gene-LOC105285437	213	4	0.018779342723004695	0.009888751545117428	1.0429242119382967	0	8.136262343148921	0.5574875097720544	100	0
NC_039506.1	369197	370197	gene-LOC105285439	307	5	0.016286644951140065	0.008856682769726247	1.1443306964479605	0	8.910929954524374	0.508573634980101	100	0
NC_039506.1	409670	410670	gene-LOC113563206	207	4	0.01932367149758454	0.018433179723502304	1.6908212560386473	0	12.445651277857344	0.8650325612537006	100	0
NC_039506.1	450860	451860	gene-LOC105285468	448	11	0.024553571428571428	0.009262557890986818	1.5434675789175316	0	9.503126328733805	0.44898051684749674	100	0
NC_039506.1	503061	504061	gene-LOC105285445	22	0	0	0	0	0	0	0	0	0
NC_039506.1	537304	538304	gene-LOC113562127	19	1	0.05263157894736842	0.05263157894736842	5.2631578947368425	0	22.941573387056184	5.263157894736841	100	0
NC_039506.1	540732	541732	gene-LOC113562288	48	1	0.020833333333333332	0.018518518518518517	1.0416666666666667	0	7.216878364870322	1.0416666666666667	50	0
NC_039506.1	544053	545053	gene-LOC113562287	144	1	0.006944444444444444	0.005076142131979695	0.3472222222222222	0	4.166666666666669	0.34722222222222227	50	0
NC_039506.1	558004	559004	gene-LOC105285447	1249	26	0.020816653322658127	0.008641360901235127	0.8746671507253578	0	3.812602113795053	0.1078798329122326	100	0
NC_039506.1	608439	609439	gene-LOC113562164	167	8	0.04790419161676647	0.020676691729323307	2.6646706586826348	0	13.027439736404837	1.0080935528468462	100	0
NC_039506.1	613991	614991	gene-LOC113562147	168	1	0.005952380952380952	0.004672897196261682	0.5952380952380952	0	7.715167498104582	0.5952380952380952	100	0
NC_039506.1	620875	621875	gene-LOC105285450	171	4	0.023391812865497075	0.017316017316017316	1.559454191033138	0	11.32575611585226	0.8661022169857502	100	0
NC_039506.1	635144	636144	gene-LOC113561806	105	31	0.29523809523809524	0.21839080459770116	22.460317460317462	0	37.036375655470444	3.6143801703922858	100	0
NC_039506.1	637076	638076	gene-LOC105285454	17	0	0	0	0	0	0	0	0	0
NC_039506.1	681492	682492	gene-LOC105285455	142	2	0.014084507042253521	0.012269938650306749	0.704225352112676	0	5.912828621181765	0.49619355536988485	50	0
NC_039506.1	696831	697831	gene-LOC113562328	44	0	0	0	0	0	0	0	0	0
NC_039506.1	709760	710760	gene-LOC113562514	10	0	0	0	0	0	0	0	0	0
NC_039506.1	827029	828029	gene-LOC113561370	1012	24	0.023715415019762844	0.00879229091932194	0.8662467894508118	0	5.954661076253919	0.18718316718161268	100	0
NC_039506.1	851547	852547	gene-LOC113563220	15	0	0	0	0	0	0	0	0	0
NC_039506.1	881928	882928	gene-LOC113562455	68	1	0.014705882352941176	0.011363636363636364	0.7352941176470589	0	6.063390625908332	0.7352941176470588	50	0
