chr	start	end	strand	pvalue	qvalue	meth.diff
KK852670.1	292000	292500	*	2.93323970833845e-187	3.92182504293717e-182	27.6259598628716
KK852670.1	293500	294000	*	9.12598395977947e-120	6.10085025324776e-115	37.4709994458687
KK852670.1	293000	293500	*	2.49705518394613e-89	1.11287796972485e-84	32.3336125913311
KK852572.1	77000	77500	*	1.2319276506112e-84	4.11780590034912e-80	-28.8372250882433
KK853545.1	2000	2500	*	2.59787865474056e-73	6.946875523136e-69	23.9539947039024
KK853117.1	74000	74500	*	2.30504169033473e-65	5.13651066456807e-61	-17.8822568214302
KK852705.1	692000	692500	*	1.53310101581065e-58	2.92828532612712e-54	12.2886887634079
KK852865.1	189500	190000	*	4.81920255804202e-56	8.05426386794608e-52	24.1547466906486
KK852508.1	362000	362500	*	1.01289996299195e-53	1.50475122535801e-49	27.895815818696
KK852670.1	291500	292000	*	2.23465975038729e-52	2.98780374021221e-48	20.0468186641076
KK853284.1	332500	333000	*	2.90470532833229e-48	3.53061251279222e-44	44.6037619488128
KK853470.1	61000	61500	*	1.95306794017567e-44	2.17608955738269e-40	-22.0159503019017
KK853004.1	274000	274500	*	2.77784548953558e-43	2.85696811232073e-39	23.4514022076969
KK852601.1	52500	53000	*	2.2921096341224e-40	2.18901133658378e-36	27.6720263109812
KK852499.1	85000	85500	*	5.06021332084471e-33	4.51043289958609e-29	18.7827707767738
KK853879.1	0	500	*	6.3091195637371e-32	5.2721703568946e-28	29.6679706134911
KK852866.1	4500	5000	*	5.73080231607446e-31	4.5072034927219e-27	17.711798487331
KK852484.1	31000	31500	*	4.27041394551048e-30	3.17203615957873e-26	28.1032126560582
KK852586.1	252000	252500	*	4.73375875499983e-29	3.33114226096614e-25	12.52449308674
KK852683.1	673000	673500	*	1.26739047184647e-27	8.30047874119581e-24	13.8787392089942
KK853387.1	205500	206000	*	1.30371234076487e-27	8.30047874119581e-24	9.17748027300438
KK853387.1	205000	205500	*	3.35577749233395e-27	2.03944095275632e-23	7.52269595384576
KK852428.1	438500	439000	*	8.76268154688826e-27	5.09389340515035e-23	36.7872347037072
KK852804.1	2242000	2242500	*	4.57078846028158e-26	2.54636432067218e-22	3.8205370217432
KK852670.1	292500	293000	*	1.26110415600275e-25	6.74452871574596e-22	23.1752518329682
KK852886.1	335000	335500	*	1.54980060029601e-25	7.9697213401194e-22	33.7552213868003
KK852674.1	731000	731500	*	2.45378986614418e-25	1.21510627661753e-21	-14.2307033346141
KK852571.1	515000	515500	*	1.76460061279029e-24	8.4261474417204e-21	-12.6122248185955
KK852614.1	15500	16000	*	3.22448688186815e-24	1.48663131382e-20	20.2386162912479
KK852497.1	678500	679000	*	5.90063592124829e-24	2.62977276847638e-20	-9.27759711069669
KK853687.1	15500	16000	*	4.96101111858483e-23	2.13968167070902e-19	7.3962636263696
KK852639.1	690500	691000	*	1.05432482113506e-22	4.40519474418863e-19	-6.60067788118714
KK853436.1	32500	33000	*	1.42385789687931e-22	5.76890474698209e-19	36.7743702081052
