chr	start	end	strand	pvalue	qvalue	meth.diff
NW_004582014.1	7138000	7139000	*	4.51210943462055e-39	9.34295974892628e-34	17.1892308332986
NW_004581831.1	60000	61000	*	5.40260468895148e-32	5.59342796087114e-27	10.7185359727853
NW_004581687.1	79000	80000	*	4.98580612084468e-31	3.44127187648907e-26	21.3564937001005
NW_004582034.1	1764000	1765000	*	7.98401389336923e-30	4.13300705143967e-25	19.1056410015851
NW_004582011.1	7953000	7954000	*	8.52062792822911e-28	3.52863266826844e-23	17.1972342451859
NW_004582014.1	7112000	7113000	*	1.10598885789227e-27	3.81684351549769e-23	19.2486641706953
NW_004582021.1	813000	814000	*	1.37122483266019e-24	4.05616378512888e-20	15.4810281268198
NW_004582014.1	7129000	7130000	*	6.36784807557399e-23	1.64819108222629e-18	19.4108975276641
NW_004581708.1	1754000	1755000	*	5.09176972592716e-22	1.17146980412621e-17	33.5777126099707
NW_004581724.1	1771000	1772000	*	1.29792458981748e-21	2.68753614590161e-17	15.4319587577538
NW_004582021.1	828000	829000	*	1.12209099986264e-20	2.11222533460535e-16	19.9002440610046
NW_004581830.1	94000	95000	*	1.52009688318834e-20	2.62297937728898e-16	11.0688034544608
NW_004582009.1	1735000	1736000	*	4.54532407963569e-20	7.23979643210816e-16	13.9611443471275
NW_004582035.1	3484000	3485000	*	3.45975025339518e-17	5.11707247023349e-13	10.3029485215872
NW_004582027.1	1592000	1593000	*	4.38699385199545e-17	6.05592684484279e-13	13.2389700850235
NW_004582014.1	7136000	7137000	*	9.21652459080352e-17	1.1927572281404e-12	15.1809698327056
NW_004581585.1	0	1000	*	1.72290682124574e-16	2.09854227571541e-12	20.3172457381625
NW_004582021.1	1889000	1890000	*	2.55715319987074e-16	2.94163711186666e-12	14.853103885362
NW_004581739.1	1372000	1373000	*	3.21095704595493e-16	3.49933683668698e-12	13.4918845430779
NW_004581685.1	189000	190000	*	1.0888452001816e-15	1.1273038725582e-11	30.098922652719
NW_004582014.1	7080000	7081000	*	1.47451930552449e-15	1.45390497242256e-11	36.0233297985154
NW_004581808.1	92000	93000	*	1.55692074971498e-15	1.46537466743932e-11	25.8014269659985
NW_004582014.1	7113000	7114000	*	2.47676496774978e-15	2.22977896302642e-11	13.7187602407768
NW_004615984.1	0	755	*	2.80694568758864e-15	2.32909705178328e-11	17.4238248170517
NW_004582030.1	1829000	1830000	*	2.81204807253558e-15	2.32909705178328e-11	21.8987790619669
NW_004582011.1	7961000	7962000	*	3.01882920303084e-15	2.40419698467335e-11	18.077974973507
NW_004581726.1	565000	566000	*	5.57374064723496e-15	4.27452484808885e-11	23.7945061474473
NW_004581750.1	261000	262000	*	1.19862881026139e-14	8.65734928537925e-11	30.2696078431373
NW_004581739.1	1373000	1374000	*	1.21248977276369e-14	8.65734928537925e-11	17.3479703423719
NW_004582021.1	809000	810000	*	2.07589591644109e-14	1.43281187888568e-10	13.8696595927333
NW_004581686.1	3465000	3466000	*	2.41710122621133e-14	1.61449981060062e-10	15.1621811205039
NW_004582019.1	2202000	2203000	*	6.19018543109614e-14	4.00551658259375e-10	35.0199272223185
NW_004582173.1	8000	9000	*	7.71034448491741e-14	4.83798698488531e-10	19.7500120767113
NW_004582011.1	3110000	3111000	*	2.73493423426343e-13	1.66560809938442e-09	4.24186442937821
NW_004582021.1	805000	806000	*	3.52630686381926e-13	2.08620466251717e-09	7.0225317406055
NW_004582021.1	812000	813000	*	3.69221564073543e-13	2.12368163048481e-09	17.8019493569132
NW_004582028.1	2292000	2293000	*	5.53752795351572e-13	3.09898205238457e-09	25.8057624518096
NW_004582009.1	5537000	5538000	*	6.40603433369293e-13	3.4906838677916e-09	27.8410311493018
NW_004582023.1	2392000	2393000	*	9.95199385205886e-13	5.28384836226925e-09	24.5767030431229
NW_004582009.1	2445000	2446000	*	1.56099930017218e-12	8.08067370757223e-09	8.06247198090461
NW_004582173.1	14000	15000	*	2.40799813224432e-12	1.21612199300878e-08	13.918750119222
NW_004582019.1	2794000	2795000	*	4.40331472815814e-12	2.17087736811061e-08	35.6017283009277
NW_004582010.1	1422000	1423000	*	1.10063218309254e-11	5.30003338999617e-08	5.95648072576773
NW_004582078.1	34000	35000	*	1.29632131211485e-11	6.10049166594557e-08	31.7708333333333
NW_004582020.1	4353000	4354000	*	1.39269384025824e-11	6.40837613668017e-08	33.9654762847415
NW_004582035.1	3006000	3007000	*	1.77526666929814e-11	7.99117462598674e-08	12.4941633514503
NW_004582009.1	2350000	2351000	*	1.96535746697509e-11	8.65861737801871e-08	38.3183568677792
