chr	start	end	strand	pvalue	qvalue	meth.diff	gene.chr	gene.start	gene.end	gene.strand	gene.startSite	gene.description	gene.withinWindow	gene.enclosesWindow	gene.distance	gene.direction	gene.closest
NC_015776.1	4895000	4896000	*	4.22598347668616e-12	7.83758920686151e-7	-7.77940020217904	NC_015776.1	4870607	4872122	-	4872122	ID=gene9146;Dbxref=GeneID:100642304;Name=LOC100642304;gbkey=Gene;gene=LOC100642304;gene_biotype=protein_coding	FALSE	FALSE	22878	leftOfWindowStart	FALSE
NC_015776.1	4895000	4896000	*	4.22598347668616e-12	7.83758920686151e-7	-7.77940020217904	NC_015776.1	4872164	4873893	+	4872164	ID=gene9147;Dbxref=GeneID:100642422;Name=LOC100642422;gbkey=Gene;gene=LOC100642422;gene_biotype=protein_coding	FALSE	FALSE	22836	leftOfWindowStart	FALSE
NC_015776.1	4895000	4896000	*	4.22598347668616e-12	7.83758920686151e-7	-7.77940020217904	NC_015776.1	4874845	4881911	-	4881911	ID=gene9148;Dbxref=GeneID:100652259;Name=LOC100652259;gbkey=Gene;gene=LOC100652259;gene_biotype=protein_coding	FALSE	FALSE	13089	leftOfWindowStart	FALSE
NC_015776.1	4895000	4896000	*	4.22598347668616e-12	7.83758920686151e-7	-7.77940020217904	NC_015776.1	4882135	4898796	+	4882135	ID=gene9149;Dbxref=GeneID:100652059;Name=LOC100652059;gbkey=Gene;gene=LOC100652059;gene_biotype=protein_coding	FALSE	TRUE	12865	leftOfWindowStart	TRUE
NC_015776.1	4895000	4896000	*	4.22598347668616e-12	7.83758920686151e-7	-7.77940020217904	NC_015776.1	4901295	4902550	-	4902550	ID=gene9150;Dbxref=GeneID:100652176;Name=LOC100652176;gbkey=Gene;gene=LOC100652176;gene_biotype=lncRNA	FALSE	FALSE	6550	rightOfWindowEnd	TRUE
NC_015776.1	4895000	4896000	*	4.22598347668616e-12	7.83758920686151e-7	-7.77940020217904	NC_015776.1	4903382	4907202	+	4903382	ID=gene9151;Dbxref=GeneID:100651937;Name=LOC100651937;gbkey=Gene;gene=LOC100651937;gene_biotype=protein_coding	FALSE	FALSE	7382	rightOfWindowEnd	FALSE
NC_015776.1	4895000	4896000	*	4.22598347668616e-12	7.83758920686151e-7	-7.77940020217904	NC_015776.1	4910812	4913973	-	4913973	ID=gene9152;Dbxref=GeneID:100651023;Name=LOC100651023;gbkey=Gene;gene=LOC100651023;gene_biotype=protein_coding	FALSE	FALSE	17973	rightOfWindowEnd	FALSE
NC_015776.1	4895000	4896000	*	4.22598347668616e-12	7.83758920686151e-7	-7.77940020217904	NC_015776.1	4914592	4915403	+	4914592	ID=gene9153;Dbxref=GeneID:100651737;Name=LOC100651737;gbkey=Gene;gene=LOC100651737;gene_biotype=protein_coding	FALSE	FALSE	18592	rightOfWindowEnd	FALSE
NC_015776.1	4895000	4896000	*	4.22598347668616e-12	7.83758920686151e-7	-7.77940020217904	NC_015776.1	4915373	4919309	-	4919309	ID=gene9154;Dbxref=GeneID:100651505;Name=LOC100651505;gbkey=Gene;gene=LOC100651505;gene_biotype=protein_coding	FALSE	FALSE	23309	rightOfWindowEnd	FALSE
NC_015776.1	4895000	4896000	*	4.22598347668616e-12	7.83758920686151e-7	-7.77940020217904	NC_015776.1	4916425	4918051	+	4916425	ID=gene9155;Dbxref=GeneID:100651267;Name=LOC100651267;gbkey=Gene;gene=LOC100651267;gene_biotype=protein_coding	FALSE	FALSE	20425	rightOfWindowEnd	FALSE
NC_015776.1	4895000	4896000	*	4.22598347668616e-12	7.83758920686151e-7	-7.77940020217904	NC_015776.1	4918539	4921164	+	4918539	ID=gene9156;Dbxref=GeneID:100651621;Name=LOC100651621;gbkey=Gene;gene=LOC100651621;gene_biotype=protein_coding	FALSE	FALSE	22539	rightOfWindowEnd	FALSE
NC_015776.1	4895000	4896000	*	4.22598347668616e-12	7.83758920686151e-7	-7.77940020217904	NC_015776.1	4921586	4923841	-	4923841	ID=gene9157;Dbxref=GeneID:100651388;Name=LOC100651388;gbkey=Gene;gene=LOC100651388;gene_biotype=protein_coding	FALSE	FALSE	27841	rightOfWindowEnd	FALSE
NC_015776.1	4895000	4896000	*	4.22598347668616e-12	7.83758920686151e-7	-7.77940020217904	NC_015776.1	4927647	4932263	-	4932263	ID=gene9158;Dbxref=GeneID:100650905;Name=LOC100650905;gbkey=Gene;gene=LOC100650905;gene_biotype=protein_coding	FALSE	FALSE	36263	rightOfWindowEnd	FALSE
NC_015776.1	4895000	4896000	*	4.22598347668616e-12	7.83758920686151e-7	-7.77940020217904	NC_015776.1	4932628	4934425	+	4932628	ID=gene9159;Dbxref=GeneID:100651144;Name=LOC100651144;gbkey=Gene;gene=LOC100651144;gene_biotype=protein_coding	FALSE	FALSE	36628	rightOfWindowEnd	FALSE
NC_015776.1	4895000	4896000	*	4.22598347668616e-12	7.83758920686151e-7	-7.77940020217904	NC_015776.1	4934590	4937091	-	4937091	ID=gene9160;Dbxref=GeneID:100650258;Name=LOC100650258;gbkey=Gene;gene=LOC100650258;gene_biotype=protein_coding	FALSE	FALSE	41091	rightOfWindowEnd	FALSE
NC_015776.1	4895000	4896000	*	4.22598347668616e-12	7.83758920686151e-7	-7.77940020217904	NC_015776.1	4935227	4935731	+	4935227	ID=gene9161;Dbxref=GeneID:105666587;Name=LOC105666587;gbkey=Gene;gene=LOC105666587;gene_biotype=lncRNA	FALSE	FALSE	39227	rightOfWindowEnd	FALSE
NC_015776.1	4895000	4896000	*	4.22598347668616e-12	7.83758920686151e-7	-7.77940020217904	NC_015776.1	4937390	4942632	+	4937390	ID=gene9162;Dbxref=GeneID:100650016;Name=LOC100650016;gbkey=Gene;gene=LOC100650016;gene_biotype=protein_coding	FALSE	FALSE	41390	rightOfWindowEnd	FALSE
NC_015776.1	4895000	4896000	*	4.22598347668616e-12	7.83758920686151e-7	-7.77940020217904	NC_015776.1	4943264	4952494	+	4943264	ID=gene9163;Dbxref=GeneID:100649901;Name=LOC100649901;gbkey=Gene;gene=LOC100649901;gene_biotype=protein_coding	FALSE	FALSE	47264	rightOfWindowEnd	FALSE
NC_015763.1	2028000	2029000	*	1.79772720629963e-8	0.00166704950773068	1.2316715542522	NC_015763.1	1994994	2072879	-	2072879	ID=gene764;Dbxref=GeneID:100650835;Name=LOC100650835;gbkey=Gene;gene=LOC100650835;gene_biotype=protein_coding	FALSE	TRUE	43879	rightOfWindowEnd	FALSE
NC_015763.1	2028000	2029000	*	1.79772720629963e-8	0.00166704950773068	1.2316715542522	NC_015763.1	2043372	2049024	+	2043372	ID=gene765;Dbxref=GeneID:110119836;Name=LOC110119836;gbkey=Gene;gene=LOC110119836;gene_biotype=protein_coding	FALSE	FALSE	14372	rightOfWindowEnd	TRUE
NC_015779.1	2821000	2822000	*	1.52917881774237e-7	0.00945348024778761	-26.8236341877487	NC_015779.1	2753302	2771032	-	2771032	ID=gene10274;Dbxref=GeneID:100649157;Name=LOC100649157;gbkey=Gene;gene=LOC100649157;gene_biotype=protein_coding	FALSE	FALSE	49968	leftOfWindowStart	FALSE
NC_015779.1	2821000	2822000	*	1.52917881774237e-7	0.00945348024778761	-26.8236341877487	NC_015779.1	2780399	2782267	+	2780399	ID=gene10276;Dbxref=GeneID:110120072;Name=LOC110120072;gbkey=Gene;gene=LOC110120072;gene_biotype=lncRNA	FALSE	FALSE	40601	leftOfWindowStart	FALSE
NC_015779.1	2821000	2822000	*	1.52917881774237e-7	0.00945348024778761	-26.8236341877487	NC_015779.1	2789924	2802857	+	2789924	ID=gene10277;Dbxref=GeneID:100649479;Name=LOC100649479;gbkey=Gene;gene=LOC100649479;gene_biotype=protein_coding	FALSE	FALSE	31076	leftOfWindowStart	FALSE
