chr	start	end	strand	pvalue	qvalue	meth.diff
Spis.scaffold1016|size72909	11000	12000	*	9.84551225897323e-73	2.93712236646182e-67	10.2483134442254
Spis.scaffold61|size983101	285000	286000	*	2.95332299265998e-38	4.40519029836251e-33	17.8968096623437
Spis.scaffold99|size741467	656000	657000	*	1.50176718088175e-37	1.49336193660755e-32	6.9244355728954
Spis.scaffold36|size1176468	326000	327000	*	1.89944989333336e-35	1.41661414331141e-30	-12.9998970289123
Spis.scaffold4|size2353699	151000	152000	*	1.36639711936469e-33	8.15249716864114e-29	-13.9331445775374
Spis.scaffold1160|size56262	7000	8000	*	1.0893338578264e-31	5.41618481295039e-27	4.2545228016209
Spis.scaffold4|size2353699	1284000	1285000	*	1.54532099908281e-31	6.58573709288947e-27	13.917366898215
Spis.scaffold4|size2353699	155000	156000	*	4.6177090706862e-30	1.72194907646437e-25	-9.61187037621383
Spis.scaffold1016|size72909	21000	22000	*	8.21523676860294e-30	2.72308563019008e-25	11.4110730034297
Spis.scaffold278|size418646	11000	12000	*	2.92436778927701e-28	8.72400116491426e-24	-7.1155477627083
Spis.scaffold2608|size6374	4000	5000	*	7.77332305581788e-28	2.10813177973249e-23	7.12589448150394
Spis.scaffold3|size2404842	1846000	1847000	*	2.66799228897438e-25	6.63264949161006e-21	15.3184035402384
Spis.scaffold4|size2353699	154000	155000	*	3.92182290669428e-25	8.99970656959488e-21	-21.3770861261681
Spis.scaffold9|size1734603	57000	58000	*	1.24527816126596e-24	2.65351813069322e-20	3.14915658678526
Spis.scaffold677|size150569	30000	31000	*	3.67080439447319e-24	7.30051852141207e-20	-6.23054873054873
Spis.scaffold422|size288843	4000	5000	*	7.87711073782863e-24	1.46869187215772e-19	9.80213451528146
Spis.scaffold4|size2353699	153000	154000	*	2.81340606850647e-23	4.93704654608952e-19	-20.6713684467748
Spis.scaffold77|size865837	477000	478000	*	6.33724002712749e-23	1.05029518558057e-18	8.52705903914517
Spis.scaffold153|size607975	146000	147000	*	2.03798686821378e-22	3.19986387585433e-18	8.87890056588521
Spis.scaffold246|size457453	86000	87000	*	6.09431763165912e-22	9.09031249641417e-18	6.48072190319934
Spis.scaffold688|size147571	39000	40000	*	1.33902629127898e-21	1.90218841696196e-17	1.34954570761015
Spis.scaffold91|size804025	418000	419000	*	1.4579755453178e-21	1.97702099802533e-17	-4.52702768705777
Spis.scaffold439|size275195	92000	93000	*	1.56334130026861e-21	2.02772795433978e-17	10.3396679966942
Spis.scaffold422|size288843	3000	4000	*	4.36366399862318e-21	5.42405124663069e-17	9.13831339520608
Spis.scaffold437|size276762	177000	178000	*	5.90571265528828e-21	7.04719074985045e-17	4.77980611066537
Spis.scaffold204|size520609	312000	313000	*	8.16937053610724e-21	9.37343926949918e-17	11.2891745569559
Spis.scaffold35|size1181234	294000	295000	*	2.25062494385458e-20	2.4866982397798e-16	-8.03398697299587
Spis.scaffold278|size418646	178000	179000	*	3.25926014891131e-20	3.37112671843757e-16	2.49032976526994
Spis.scaffold133|size651902	127000	128000	*	3.27709742210858e-20	3.37112671843757e-16	-2.83392287817903
Spis.scaffold1831|size19289	16000	17000	*	5.07577704559983e-20	5.0473684170902e-16	-3.79563168540575
Spis.scaffold4|size2353699	1283000	1284000	*	8.30867930544964e-20	7.99565461806022e-16	10.829530770098
Spis.scaffold230|size479899	180000	181000	*	2.19135606374777e-19	2.04289805421541e-15	13.0643452717501
Spis.scaffold889|size93265	55000	56000	*	3.54672142925936e-19	3.20624615975697e-15	3.34432550010235
Spis.scaffold1483|size32493	32000	32493	*	6.72268220418928e-19	5.89857883086701e-15	4.38210540502086
Spis.scaffold640|size164121	129000	130000	*	7.03363945250055e-19	5.9950910222325e-15	-2.92567478163144
Spis.scaffold1572|size27984	9000	10000	*	2.43915349291825e-18	2.02125149082074e-14	2.00250267458075
Spis.scaffold408|size295878	50000	51000	*	2.68179992082919e-18	2.16226228259316e-14	2.31191363159638
Spis.scaffold183|size560797	460000	461000	*	3.5402644403883e-18	2.77930257315619e-14	-9.55997314179909
Spis.scaffold60|size987432	699000	700000	*	3.95466800270069e-18	3.02502624002739e-14	16.5080931471984
Spis.scaffold154|size605954	503000	504000	*	4.11571066754769e-18	3.06950657760912e-14	12.6191507642021
Spis.scaffold23|size1313253	1135000	1136000	*	5.67061751879396e-18	4.12600948261312e-14	-7.38049699401688
Spis.scaffold77|size865837	478000	479000	*	7.91629449277382e-18	5.51228628692072e-14	6.77495214617448
Spis.scaffold13|size1486765	646000	647000	*	7.94541338079725e-18	5.51228628692072e-14	-2.80975319490608
Spis.scaffold283|size415529	356000	357000	*	1.15761457558364e-17	7.84865127161706e-14	2.59434345861454
