chr	start	end	name	NcpgMeasured	Nmcpg	mCpG_per_CpG	fracMeth	mnMeth	medMeth	sdMeth	stdErrMeth	maxMeth	minMeth
10	26621	27621	gene:ENSPTRG00000002168	423	390	0.9219858156028369	0.8911819887429644	86.43626402491651	100	29.107196611470407	1.4152403287532218	100	0
10	118527	119527	gene:ENSPTRG00000002229	454	125	0.2753303964757709	0.17296389588581024	17.673589259492342	0	32.14501527927354	1.5086403185661432	100	0
10	500945	501945	gene:ENSPTRG00000002230	850	802	0.9435294117647058	0.8811390837804375	87.4873440285205	100	26.67903123956048	0.9150832221114861	100	0
10	675946	676946	gene:ENSPTRG00000030029	1	1	1	1	100	100	NA	NA	100	100
10	995633	996633	gene:ENSPTRG00000002235	2038	160	0.07850834151128558	0.05684156378600823	5.567549885508669	0	20.812783916295174	0.46102883108802173	100	0
10	1059732	1060732	gene:ENSPTRG00000002236	1717	112	0.06523005241700641	0.045478306325143755	3.662834770872045	0	15.2921148990705	0.3690476166072017	100	0
10	1123254	1124254	gene:ENSPTRG00000002239	791	114	0.14412136536030343	0.10910005027652087	8.169134910601409	0	21.821863102780757	0.7758961290861393	100	0
10	1129026	1130026	gene:ENSPTRG00000002240	950	150	0.15789473684210525	0.1560767590618337	13.40751879699248	0	32.546093077802205	1.0559346942670247	100	0
10	1866562	1867562	gene:ENSPTRG00000002241	1507	76	0.050431320504313204	0.024479459763646596	2.328577748285777	0	11.301644182443528	0.2911286884226048	100	0
10	3181590	3182590	gene:ENSPTRG00000002243	2227	190	0.08531656937584194	0.04964539007092199	4.572348023178737	0	17.156787861974387	0.3635598142609829	100	0
10	3260247	3261247	gene:ENSPTRG00000049735	539	481	0.8923933209647495	0.7350819672131148	74.46793002915452	100	33.79762924004499	1.4557669479581006	100	0
10	3297721	3298721	gene:ENSPTRG00000002244	1193	184	0.15423302598491198	0.12804148384523334	12.232566958048936	0	30.475312592565363	0.8823237045114418	100	0
