chr	start	end	strand	pvalue	qvalue	meth.diff
NW_017145181.1	355482	355982	*	7.59634488241825e-07	0.00515153417623051	0.751681419547397
NW_017179105.1	3469943	3470443	*	5.5532619098036e-06	0.0188299892650511	-1.17314708272092
NW_017180369.1	93080	93580	*	8.78029671140027e-06	0.019848141567362	0.999779219151844
NW_017131915.1	241499	241999	*	2.66258545187231e-05	0.0431825027005248	-1.43362690880954
NW_017144747.1	252156	252656	*	3.1838009045217e-05	0.0431825027005248	-3.64963503649635
NW_017176762.1	171800	172300	*	4.86282063352818e-05	0.0508807092633485	1.15991281849118
NW_017176396.1	103031	103531	*	5.39618453524322e-05	0.0508807092633485	0.782361308677098
NW_017181113.1	637178	637678	*	6.00221063790769e-05	0.0508807092633485	0.402582520655206
NW_017176894.1	940052	940552	*	9.03521610509097e-05	0.0680813167026237	-5.70235193689712
NW_017181113.1	594333	594833	*	0.000118341537950588	0.080190410451806	-0.741942977308294
NW_017177501.1	11247	11747	*	0.000130071817935673	0.080190410451806	5.56904437822659
