chr	start	end	strand	pvalue	qvalue	meth.diff
NC_015776.1	7667882	7668882	*	3.63320509860186e-06	0.0211016185136383	0.790398309482279
NC_015773.1	4595650	4596650	*	9.34084671752965e-06	0.0214641996175577	1.41673190267004
NW_003566135.1	1384678	1385678	*	1.10868992495789e-05	0.0214641996175577	0.917534640376989
NC_015773.1	8537178	8538178	*	1.95661955559497e-05	0.0284100665376543	-11.9093694565393
NW_003566384.1	1265420	1266420	*	7.70758997553971e-05	0.0689694498754787	10.949920508744
NC_015766.1	5722255	5723255	*	9.00760408521786e-05	0.0689694498754787	1.03267419316597
NW_003566384.1	870419	871419	*	0.000100990460675223	0.0689694498754787	11.9006102877071
NC_015771.1	10115679	10116679	*	0.000105838412750402	0.0689694498754787	-8.36376404494382
NC_015766.1	349329	350329	*	0.000106874333405308	0.0689694498754787	5.73477324814223
NC_015767.1	2932392	2933392	*	0.000171472707921701	0.0995911755561689	-0.550555982891866
