chr	start	end	name	NcpgMeasured	Nmcpg	mCpG_per_CpG	fracMeth	mnMeth	medMeth	sdMeth	stdErrMeth	maxMeth	minMeth
NC_001566.1	502	1503	gene-ND2	54	0	0	0.0030507367600889155	0.2448388856166131	0.16605685336335502	0.20366445804175132	0.027715222274598047	0.687848018342614	0
NC_001566.1	1794	3359	gene-COX1	564	0	0	0.00259419265351009	0.19136384681092183	0.1432306625527235	0.16997014833027815	0.007157034347015242	0.673854447439353	0
NC_001566.1	3618	4295	gene-COX2	297	0	0	0.0026450022952499257	0.18061236944127895	0.13713658804169	0.17109405032230676	0.009927883742691122	0.727834142037936	0
NC_001566.1	4584	5264	gene-ATP6	145	1	0.006896551724137931	0.0028547595337836086	0.29675657769181973	0.17056530214425	0.774391530538991	0.06430971624828262	9.09090909090909	0
NC_001566.1	5285	6064	gene-COX3	229	0	0	0.002589331056313841	0.19293469236768718	0.130010834236186	0.17724755558512714	0.011712848161584941	0.642496558054153	0
NC_001566.1	6185	6538	gene-ND3	46	0	0	0.002681059973684583	0.23892743590933976	0.200176665537601	0.13944599052157455	0.020560189620458198	0.568094580070628	0
NC_001566.1	6892	8556	gene-ND5	293	0	0	0.0029176569062672824	0.2342107233736104	0.148928857830221	0.2851406644860876	0.016658095485375557	2.85714285714286	0
NC_001566.1	8644	9987	gene-ND4	235	0	0	0.002742665970318034	0.24892475312842602	0.199933355548151	0.15999361215762767	0.010436832471964504	0.654926502692476	0
NC_001566.1	9991	10254	gene-ND4L	39	0	0	0	0	0	0	0	0	0
NC_001566.1	10441	10944	gene-ND6	44	0	0	0.002684310697741229	0.2634144004180998	0.20071536152667752	0.12850939560180075	0.01937352032938735	0.548092423428264	0.0930088358394047
NC_001566.1	11004	12155	gene-CYTB	245	0	0	0.002787477640993266	0.22870601304227398	0.168719419605197	0.18101619628023924	0.011564700568887414	0.692940666955392	0
NC_001566.1	12302	13219	gene-ND1	352	2	0.005681818181818182	0.0025993591712289888	0.39943840455527924	0.09008721251423005	3.201693999031828	0.17065086353626066	50	0
NC_037638.1	9273	12174	gene-LOC551580	5649	9	0.0015932023366967605	0.0032468613673449	0.257654643520505	0	1.5729622164097574	0.020928230183096523	33.3333333333333	0
NC_037638.1	10792	17180	gene-LOC551555	13049	1080	0.08276496283240095	0.06932343489543057	6.552791289015601	0	22.346316932862116	0.19562183950038062	100	0
NC_037638.1	17090	23457	gene-LOC726347	10475	45	0.0042959427207637235	0.0033920461588739757	0.3165206786002816	0	2.426694088161003	0.023710352808674014	100	0
NC_037638.1	23613	26208	gene-Rfwd3	3286	1482	0.45100426049908704	0.30285965960927425	31.925993837670738	0	38.858440314025835	0.6778780718924512	100	0
NC_037638.1	28123	30958	gene-LOC726145	2524	949	0.37599049128367673	0.3210490307867731	30.985535335072516	0	41.896471628627154	0.8339361003960268	100	0
NC_037638.1	29940	39215	gene-LOC551448	6527	1871	0.28665543128542975	0.21419285123339019	21.190245379410207	0	35.912386698902004	0.4445160663383709	100	0
NC_037638.1	39046	41744	gene-LOC410665	1671	784	0.46918013165769	0.29087835995856276	35.34634454844833	9.09090909090909	41.624210199025136	1.0182578834023832	100	0
NC_037638.1	42765	45255	gene-LOC408567	1541	697	0.45230369889682026	0.33046819040177117	35.66889923757277	0	42.08321907912902	1.0720317147568441	100	0
NC_037638.1	45528	79393	gene-LOC107964061	56175	238	0.004236760124610592	0.0032319050017336373	0.292094418050123	0	2.558019904338618	0.010792756501329694	100	0
NC_037638.1	86674	88128	gene-LOC107964068	1918	4	0.0020855057351407717	0.0030009548492702224	0.30377024986912743	0	2.9044580494167147	0.06631943332940411	100	0
NC_037638.1	91244	91613	gene-LOC113219112	2222	11	0.0049504950495049506	0.002680965147453083	0.29252925292529247	0	4.5332921921572	0.09617045814835953	100	0
NC_037638.1	91682	110399	gene-LOC726450	26654	458	0.017183162001950927	0.011476929551671776	0.884464473973505	0	6.04365584886445	0.03701847545896584	100	0
NC_037638.1	97814	98760	gene-LOC107964063	1750	11	0.006285714285714286	0.003586536693029244	0.42635293278150427	0	4.231498930306393	0.10115217163740406	100	0
NC_037638.1	110674	112314	gene-LOC113219111	877	193	0.22006841505131128	0.16822945394373967	18.394731959540042	0	35.54960878695135	1.200424993587009	100	0
NC_037638.1	113471	117037	gene-LOC410664	1191	718	0.6028547439126785	0.4332310673340869	46.423578157303275	44.4444444444444	42.33154733781451	1.2266149758257208	100	0
NC_037638.1	117008	122443	gene-LOC408565	3635	1505	0.4140302613480055	0.28460809102402024	33.0758904517474	0	42.17194194386982	0.6994737041596084	100	0
NC_037638.1	124106	125085	gene-LOC410663	440	258	0.5863636363636363	0.4306370494551551	46.62380113162405	57.1428571428571	41.19384596375175	1.9638395516791434	100	0
NC_037638.1	126477	134113	gene-LOC113219398	12172	479	0.03935261255340125	0.028874341973920626	2.276503373296657	0	11.371716573709337	0.10307303285184874	100	0
NC_037638.1	134890	241308	gene-LOC726544	362586	2454	0.0067680495110125595	0.0037130715771094874	0.32806514422407945	0	3.796117476912496	0.006304260177670383	100	0
NC_037638.1	138173	138256	gene-Mir2-2	208	1	0.004807692307692308	0.0023391812865497076	0.30906593406593413	0	3.601001677821429	0.24968454216186545	50	0
NC_037638.1	139117	139205	gene-Mir2-1	380	3	0.007894736842105263	0.0036900369003690036	0.3179824561403508	0	2.925110610579376	0.1500550081954519	33.3333333333333	0
NC_037638.1	139122	139199	gene-Mir2b	218	1	0.0045871559633027525	0.0025974025974025974	0.1720183486238532	0	1.8895776622296478	0.12797834789628543	25	0
NC_037638.1	139337	139415	gene-Mir13b	230	2	0.008695652173913044	0.003416856492027335	0.36231884057971	0	3.284080140986778	0.21654583180335582	33.3333333333333	0
NC_037638.1	139678	139777	gene-Mir13a	235	3	0.01276595744680851	0.0030864197530864196	0.2765957446808511	0	2.4521238627857582	0.15995892342993978	25	0
NC_037638.1	139959	140058	gene-Mir2-3	112	0	0	0.0021598272138228943	0.08928571428571429	0	0.9449111825230685	0.08928571428571427	10	0
NC_037638.1	140348	140447	gene-Mir71	380	1	0.002631578947368421	0.0023828435266084196	0.14724310776942368	0	1.7025673675622655	0.08733986310427454	25	0
NC_037638.1	241926	245999	gene-LOC410772	2199	739	0.3360618462937699	0.22559116022099449	24.86216580905643	0	37.70969524593635	0.8041561875416602	100	0
NC_037638.1	246604	422953	gene-LOC551203	588948	4953	0.008409910552374743	0.006575693437877335	0.44964470320261213	0	4.747370763616265	0.006186067794646808	100	0
NC_037638.1	256975	325770	gene-LOC100578621	255682	1523	0.005956617986404987	0.00305233265033822	0.27762792485726917	0	3.3128309860614964	0.0065516275763679846	100	0
NC_037638.1	367913	369386	gene-LOC726446	3681	15	0.004074979625101874	0.0030767626199415935	0.23991595201864152	0	2.2992836356054567	0.037897419546756204	50	0
NC_037638.1	389814	409415	gene-LOC100578600	69204	401	0.0057944627478180456	0.0031117159546163492	0.28480597218951076	0	3.3765209887902072	0.01283523589803696	100	0
NC_037638.1	424032	485247	gene-LOC410771	188345	978	0.005192598688576814	0.003013901052601353	0.27635927754265815	0	2.975942208384794	0.006857209930376455	100	0
NC_037638.1	442753	446004	gene-LOC100578571	10715	68	0.0063462435837610826	0.003197255865164733	0.31288953478702236	0	3.3733640360255004	0.03258870649328263	100	0
NC_037638.1	446683	446770	gene-Mir3768	233	2	0.008583690987124463	0.0033277870216306157	0.3218884120171674	0	3.6559224324815807	0.23950744191151113	50	0
NC_037638.1	558075	560102	gene-LOC102654047	6232	42	0.006739409499358151	0.0028860669567533966	0.3009255400141151	0	3.7175973832720874	0.047092162227684344	100	0
NC_037638.1	649937	702409	gene-LOC100577692	176043	1055	0.00599285401862045	0.003024714674013672	0.2796198025358017	0	3.303994841201711	0.007874626791860156	100	0
NC_037638.1	688496	736978	gene-LOC107965716	155148	945	0.006090958310774229	0.003091616704855945	0.29314138070526774	0	3.426951059083946	0.008700311688409294	100	0
NC_037638.1	816289	820618	gene-LOC410769	9658	700	0.0724787740733071	0.08265035677879715	6.337147296957881	0	23.08202192342868	0.2348714606567354	100	0
NC_037638.1	821805	824037	gene-Emc	7409	40	0.005398839249561345	0.0032566080687997977	0.28323696803000076	0	3.123946538121872	0.03629307745362303	100	0
NC_037638.1	843064	843789	gene-LOC113219286	1407	7	0.004975124378109453	0.0025426807119505995	0.2912783536450914	0	3.3910676241481177	0.09040436536003871	100	0
NC_037638.1	863811	866026	gene-LOC100578334	4931	23	0.00466436828229568	0.003164437747221699	0.27607140076350734	0	2.931695532559645	0.04174950819983348	100	0
NC_037638.1	867359	873957	gene-LOC726756	12089	704	0.05823475887170155	0.040310544204888936	4.061149371122961	0	17.135968221539837	0.15585238738878293	100	0
NC_037638.1	880427	997306	gene-Nedd9	251385	1265	0.005032122043876922	0.0030727174904073224	0.2760923228086292	0	2.972861907011078	0.005929322276078645	100	0
NC_037638.1	918897	919031	gene-Mir3766	365	1	0.0027397260273972603	0.0031645569620253164	0.30821917808219207	0	3.080829003871596	0.16125796020361674	50	0
NC_037638.1	998602	1000877	gene-LOC726609	2233	560	0.2507836990595611	0.20073394495412844	20.55170752559624	0	37.29557637690052	0.7892470398817104	100	0
NC_037638.1	1001014	1002244	gene-LOC726788	616	221	0.3587662337662338	0.26119883983242026	32.41825836730053	0	43.96953566587364	1.7715830778546986	100	0
NC_037638.1	1004951	1025670	gene-LOC100578031	37490	210	0.005601493731661776	0.003829583532790809	0.3249402107107607	0	3.027167857078334	0.01563431230948498	100	0
NC_037638.1	1025777	1026312	gene-LOC107966044	931	6	0.00644468313641246	0.0035412158174306513	0.3923150485986147	0	3.468456648198531	0.113674075334956	50	0
NC_037638.1	1030583	1035250	gene-LOC410766	2310	1040	0.45021645021645024	0.2835861567808157	29.285102316585483	6.904761904761905	36.018557422057306	0.7494114512571447	100	0
NC_037638.1	1035549	1040317	gene-LOC551646	1796	673	0.3747216035634744	0.24397682220189082	24.347329092233327	0	35.06601147079481	0.8274336987784138	100	0
NC_037638.1	1040884	1040956	gene-TRNAK-CUU	264	0	0	0.0022411474675033617	0.1814179086906359	0	1.3175967970459237	0.08109247712898805	11.1111111111111	0
NC_037638.1	1043403	1044121	gene-LOC113219417	416	16	0.038461538461538464	0.012246117084826763	1.566445805168939	0	6.097042572807245	0.29893210628798234	50	0
NC_037638.1	1044187	1050427	gene-LOC113219404	3323	1046	0.314775804995486	0.2030111537000587	21.12389991581855	0	34.182421362207556	0.5929767326057946	100	0
