chr	start	end	strand	pvalue	qvalue	meth.diff	gene.chr	gene.start	gene.end	gene.strand	gene.startSite	gene.description	gene.withinWindow	gene.enclosesWindow	gene.distance	gene.direction	gene.closest
NC_015776.1	4895500	4896000	*	2.86166207474935e-9	8.35566794558672e-4	-16.6761792848749	NC_015776.1	4870607	4872122	-	4872122	ID=gene9146;Dbxref=GeneID:100642304;Name=LOC100642304;gbkey=Gene;gene=LOC100642304;gene_biotype=protein_coding	FALSE	FALSE	23378	leftOfWindowStart	FALSE
NC_015776.1	4895500	4896000	*	2.86166207474935e-9	8.35566794558672e-4	-16.6761792848749	NC_015776.1	4872164	4873893	+	4872164	ID=gene9147;Dbxref=GeneID:100642422;Name=LOC100642422;gbkey=Gene;gene=LOC100642422;gene_biotype=protein_coding	FALSE	FALSE	23336	leftOfWindowStart	FALSE
NC_015776.1	4895500	4896000	*	2.86166207474935e-9	8.35566794558672e-4	-16.6761792848749	NC_015776.1	4874845	4881911	-	4881911	ID=gene9148;Dbxref=GeneID:100652259;Name=LOC100652259;gbkey=Gene;gene=LOC100652259;gene_biotype=protein_coding	FALSE	FALSE	13589	leftOfWindowStart	FALSE
NC_015776.1	4895500	4896000	*	2.86166207474935e-9	8.35566794558672e-4	-16.6761792848749	NC_015776.1	4882135	4898796	+	4882135	ID=gene9149;Dbxref=GeneID:100652059;Name=LOC100652059;gbkey=Gene;gene=LOC100652059;gene_biotype=protein_coding	FALSE	TRUE	13365	leftOfWindowStart	TRUE
NC_015776.1	4895500	4896000	*	2.86166207474935e-9	8.35566794558672e-4	-16.6761792848749	NC_015776.1	4901295	4902550	-	4902550	ID=gene9150;Dbxref=GeneID:100652176;Name=LOC100652176;gbkey=Gene;gene=LOC100652176;gene_biotype=lncRNA	FALSE	FALSE	6550	rightOfWindowEnd	TRUE
NC_015776.1	4895500	4896000	*	2.86166207474935e-9	8.35566794558672e-4	-16.6761792848749	NC_015776.1	4903382	4907202	+	4903382	ID=gene9151;Dbxref=GeneID:100651937;Name=LOC100651937;gbkey=Gene;gene=LOC100651937;gene_biotype=protein_coding	FALSE	FALSE	7382	rightOfWindowEnd	FALSE
NC_015776.1	4895500	4896000	*	2.86166207474935e-9	8.35566794558672e-4	-16.6761792848749	NC_015776.1	4910812	4913973	-	4913973	ID=gene9152;Dbxref=GeneID:100651023;Name=LOC100651023;gbkey=Gene;gene=LOC100651023;gene_biotype=protein_coding	FALSE	FALSE	17973	rightOfWindowEnd	FALSE
NC_015776.1	4895500	4896000	*	2.86166207474935e-9	8.35566794558672e-4	-16.6761792848749	NC_015776.1	4914592	4915403	+	4914592	ID=gene9153;Dbxref=GeneID:100651737;Name=LOC100651737;gbkey=Gene;gene=LOC100651737;gene_biotype=protein_coding	FALSE	FALSE	18592	rightOfWindowEnd	FALSE
NC_015776.1	4895500	4896000	*	2.86166207474935e-9	8.35566794558672e-4	-16.6761792848749	NC_015776.1	4915373	4919309	-	4919309	ID=gene9154;Dbxref=GeneID:100651505;Name=LOC100651505;gbkey=Gene;gene=LOC100651505;gene_biotype=protein_coding	FALSE	FALSE	23309	rightOfWindowEnd	FALSE
NC_015776.1	4895500	4896000	*	2.86166207474935e-9	8.35566794558672e-4	-16.6761792848749	NC_015776.1	4916425	4918051	+	4916425	ID=gene9155;Dbxref=GeneID:100651267;Name=LOC100651267;gbkey=Gene;gene=LOC100651267;gene_biotype=protein_coding	FALSE	FALSE	20425	rightOfWindowEnd	FALSE
NC_015776.1	4895500	4896000	*	2.86166207474935e-9	8.35566794558672e-4	-16.6761792848749	NC_015776.1	4918539	4921164	+	4918539	ID=gene9156;Dbxref=GeneID:100651621;Name=LOC100651621;gbkey=Gene;gene=LOC100651621;gene_biotype=protein_coding	FALSE	FALSE	22539	rightOfWindowEnd	FALSE
NC_015776.1	4895500	4896000	*	2.86166207474935e-9	8.35566794558672e-4	-16.6761792848749	NC_015776.1	4921586	4923841	-	4923841	ID=gene9157;Dbxref=GeneID:100651388;Name=LOC100651388;gbkey=Gene;gene=LOC100651388;gene_biotype=protein_coding	FALSE	FALSE	27841	rightOfWindowEnd	FALSE
NC_015776.1	4895500	4896000	*	2.86166207474935e-9	8.35566794558672e-4	-16.6761792848749	NC_015776.1	4927647	4932263	-	4932263	ID=gene9158;Dbxref=GeneID:100650905;Name=LOC100650905;gbkey=Gene;gene=LOC100650905;gene_biotype=protein_coding	FALSE	FALSE	36263	rightOfWindowEnd	FALSE
NC_015776.1	4895500	4896000	*	2.86166207474935e-9	8.35566794558672e-4	-16.6761792848749	NC_015776.1	4932628	4934425	+	4932628	ID=gene9159;Dbxref=GeneID:100651144;Name=LOC100651144;gbkey=Gene;gene=LOC100651144;gene_biotype=protein_coding	FALSE	FALSE	36628	rightOfWindowEnd	FALSE
NC_015776.1	4895500	4896000	*	2.86166207474935e-9	8.35566794558672e-4	-16.6761792848749	NC_015776.1	4934590	4937091	-	4937091	ID=gene9160;Dbxref=GeneID:100650258;Name=LOC100650258;gbkey=Gene;gene=LOC100650258;gene_biotype=protein_coding	FALSE	FALSE	41091	rightOfWindowEnd	FALSE
NC_015776.1	4895500	4896000	*	2.86166207474935e-9	8.35566794558672e-4	-16.6761792848749	NC_015776.1	4935227	4935731	+	4935227	ID=gene9161;Dbxref=GeneID:105666587;Name=LOC105666587;gbkey=Gene;gene=LOC105666587;gene_biotype=lncRNA	FALSE	FALSE	39227	rightOfWindowEnd	FALSE
NC_015776.1	4895500	4896000	*	2.86166207474935e-9	8.35566794558672e-4	-16.6761792848749	NC_015776.1	4937390	4942632	+	4937390	ID=gene9162;Dbxref=GeneID:100650016;Name=LOC100650016;gbkey=Gene;gene=LOC100650016;gene_biotype=protein_coding	FALSE	FALSE	41390	rightOfWindowEnd	FALSE
NC_015776.1	4895500	4896000	*	2.86166207474935e-9	8.35566794558672e-4	-16.6761792848749	NC_015776.1	4943264	4952494	+	4943264	ID=gene9163;Dbxref=GeneID:100649901;Name=LOC100649901;gbkey=Gene;gene=LOC100649901;gene_biotype=protein_coding	FALSE	FALSE	47264	rightOfWindowEnd	FALSE
NC_015763.1	2028500	2029000	*	1.79772720629963e-8	0.0026245606923911	1.2316715542522	NC_015763.1	1994994	2072879	-	2072879	ID=gene764;Dbxref=GeneID:100650835;Name=LOC100650835;gbkey=Gene;gene=LOC100650835;gene_biotype=protein_coding	FALSE	TRUE	43879	rightOfWindowEnd	FALSE
NC_015763.1	2028500	2029000	*	1.79772720629963e-8	0.0026245606923911	1.2316715542522	NC_015763.1	2043372	2049024	+	2043372	ID=gene765;Dbxref=GeneID:110119836;Name=LOC110119836;gbkey=Gene;gene=LOC110119836;gene_biotype=protein_coding	FALSE	FALSE	14372	rightOfWindowEnd	TRUE
NC_015771.1	2351500	2352000	*	2.97403730847553e-8	0.00289459616571308	19.748932510524	NC_015771.1	2314693	2320403	+	2314693	ID=gene5778;Dbxref=GeneID:100645206;Name=LOC100645206;gbkey=Gene;gene=LOC100645206;gene_biotype=protein_coding	FALSE	FALSE	36807	leftOfWindowStart	FALSE
NC_015771.1	2351500	2352000	*	2.97403730847553e-8	0.00289459616571308	19.748932510524	NC_015771.1	2320712	2325451	-	2325451	ID=gene5779;Dbxref=GeneID:100644852;Name=LOC100644852;gbkey=Gene;gene=LOC100644852;gene_biotype=protein_coding	FALSE	FALSE	26049	leftOfWindowStart	FALSE
NC_015771.1	2351500	2352000	*	2.97403730847553e-8	0.00289459616571308	19.748932510524	NC_015771.1	2325495	2327336	+	2325495	ID=gene5780;Dbxref=GeneID:100644969;Name=LOC100644969;gbkey=Gene;gene=LOC100644969;gene_biotype=protein_coding	FALSE	FALSE	26005	leftOfWindowStart	FALSE
NC_015771.1	2351500	2352000	*	2.97403730847553e-8	0.00289459616571308	19.748932510524	NC_015771.1	2327370	2330356	-	2330356	ID=gene5781;Dbxref=GeneID:100644610;Name=LOC100644610;gbkey=Gene;gene=LOC100644610;gene_biotype=protein_coding	FALSE	FALSE	21144	leftOfWindowStart	FALSE
NC_015771.1	2351500	2352000	*	2.97403730847553e-8	0.00289459616571308	19.748932510524	NC_015771.1	2330541	2332475	-	2332475	ID=gene5782;Dbxref=GeneID:100644489;Name=LOC100644489;gbkey=Gene;gene=LOC100644489;gene_biotype=protein_coding	FALSE	FALSE	19025	leftOfWindowStart	FALSE
NC_015771.1	2351500	2352000	*	2.97403730847553e-8	0.00289459616571308	19.748932510524	NC_015771.1	2332482	2335261	+	2332482	ID=gene5783;Dbxref=GeneID:100644729;Name=LOC100644729;gbkey=Gene;gene=LOC100644729;gene_biotype=protein_coding	FALSE	FALSE	19018	leftOfWindowStart	FALSE
NC_015771.1	2351500	2352000	*	2.97403730847553e-8	0.00289459616571308	19.748932510524	NC_015771.1	2335055	2339073	-	2339073	ID=gene5784;Dbxref=GeneID:100644373;Name=LOC100644373;gbkey=Gene;gene=LOC100644373;gene_biotype=protein_coding	FALSE	FALSE	12427	leftOfWindowStart	FALSE
NC_015771.1	2351500	2352000	*	2.97403730847553e-8	0.00289459616571308	19.748932510524	NC_015771.1	2338774	2341143	+	2338774	ID=gene5785;Dbxref=GeneID:100644067;Name=LOC100644067;gbkey=Gene;gene=LOC100644067;gene_biotype=protein_coding	FALSE	FALSE	12726	leftOfWindowStart	FALSE
NC_015771.1	2351500	2352000	*	2.97403730847553e-8	0.00289459616571308	19.748932510524	NC_015771.1	2341400	2342704	+	2341400	ID=gene5786;Dbxref=GeneID:100649065;Name=LOC100649065;gbkey=Gene;gene=LOC100649065;gene_biotype=protein_coding	FALSE	FALSE	10100	leftOfWindowStart	FALSE
NC_015771.1	2351500	2352000	*	2.97403730847553e-8	0.00289459616571308	19.748932510524	NC_015771.1	2342627	2343931	-	2343931	ID=gene5787;Dbxref=GeneID:100643943;Name=LOC100643943;gbkey=Gene;gene=LOC100643943;gene_biotype=protein_coding	FALSE	FALSE	7569	leftOfWindowStart	TRUE
NC_015771.1	2351500	2352000	*	2.97403730847553e-8	0.00289459616571308	19.748932510524	NC_015771.1	2343615	2355190	+	2343615	ID=gene5788;Dbxref=GeneID:100648946;Name=LOC100648946;gbkey=Gene;gene=LOC100648946;gene_biotype=protein_coding	FALSE	TRUE	7885	leftOfWindowStart	FALSE
NC_015771.1	2351500	2352000	*	2.97403730847553e-8	0.00289459616571308	19.748932510524	NC_015771.1	2360203	2365464	+	2360203	ID=gene5789;Dbxref=GeneID:100643616;Name=LOC100643616;gbkey=Gene;gene=LOC100643616;gene_biotype=protein_coding	FALSE	FALSE	8203	rightOfWindowEnd	TRUE
NC_015771.1	2351500	2352000	*	2.97403730847553e-8	0.00289459616571308	19.748932510524	NC_015771.1	2364958	2366286	-	2366286	ID=gene5790;Dbxref=GeneID:100643815;Name=LOC100643815;gbkey=Gene;gene=LOC100643815;gene_biotype=protein_coding	FALSE	FALSE	14286	rightOfWindowEnd	FALSE
NC_015771.1	2351500	2352000	*	2.97403730847553e-8	0.00289459616571308	19.748932510524	NC_015771.1	2366382	2369148	-	2369148	ID=gene5791;Dbxref=GeneID:100643491;Name=LOC100643491;gbkey=Gene;gene=LOC100643491;gene_biotype=protein_coding	FALSE	FALSE	17148	rightOfWindowEnd	FALSE
NC_015771.1	2351500	2352000	*	2.97403730847553e-8	0.00289459616571308	19.748932510524	NC_015771.1	2369483	2378983	+	2369483	ID=gene5792;Dbxref=GeneID:100643293;Name=LOC100643293;gbkey=Gene;gene=LOC100643293;gene_biotype=protein_coding	FALSE	FALSE	17483	rightOfWindowEnd	FALSE
NC_015771.1	2351500	2352000	*	2.97403730847553e-8	0.00289459616571308	19.748932510524	NC_015771.1	2380961	2406855	+	2380961	ID=gene5793;Dbxref=GeneID:100642610;Name=LOC100642610;gbkey=Gene;gene=LOC100642610;gene_biotype=protein_coding;partial=true;start_range=.,2380961	FALSE	FALSE	28961	rightOfWindowEnd	FALSE
NC_015771.1	2351500	2352000	*	2.97403730847553e-8	0.00289459616571308	19.748932510524	NC_015771.1	2381458	2385546	+	2381458	ID=gene5794;Dbxref=GeneID:110119617;Name=LOC110119617;gbkey=Gene;gene=LOC110119617;gene_biotype=lncRNA	FALSE	FALSE	29458	rightOfWindowEnd	FALSE
NC_015779.1	2821500	2822000	*	1.52917881774237e-7	0.0108887518370346	-26.8236341877487	NC_015779.1	2780399	2782267	+	2780399	ID=gene10276;Dbxref=GeneID:110120072;Name=LOC110120072;gbkey=Gene;gene=LOC110120072;gene_biotype=lncRNA	FALSE	FALSE	41101	leftOfWindowStart	FALSE
NC_015779.1	2821500	2822000	*	1.52917881774237e-7	0.0108887518370346	-26.8236341877487	NC_015779.1	2789924	2802857	+	2789924	ID=gene10277;Dbxref=GeneID:100649479;Name=LOC100649479;gbkey=Gene;gene=LOC100649479;gene_biotype=protein_coding	FALSE	FALSE	31576	leftOfWindowStart	FALSE
NC_015779.1	2821500	2822000	*	1.52917881774237e-7	0.0108887518370346	-26.8236341877487	NC_015779.1	2809382	2820206	-	2820206	ID=gene10278;Dbxref=GeneID:100649604;Name=LOC100649604;gbkey=Gene;gene=LOC100649604;gene_biotype=protein_coding	FALSE	FALSE	1294	leftOfWindowStart	TRUE
NC_015779.1	2821500	2822000	*	1.52917881774237e-7	0.0108887518370346	-26.8236341877487	NC_015779.1	2821667	2823218	-	2823218	ID=gene10279;Dbxref=GeneID:100649830;Name=LOC100649830;gbkey=Gene;gene=LOC100649830;gene_biotype=lncRNA	FALSE	FALSE	1218	rightOfWindowEnd	TRUE
NC_015779.1	2821500	2822000	*	1.52917881774237e-7	0.0108887518370346	-26.8236341877487	NC_015779.1	2834926	2853735	+	2834926	ID=gene10280;Dbxref=GeneID:100651901;Name=LOC100651901;gbkey=Gene;gene=LOC100651901;gene_biotype=protein_coding;partial=true	FALSE	FALSE	12926	rightOfWindowEnd	FALSE
NC_015779.1	2821500	2822000	*	1.52917881774237e-7	0.0108887518370346	-26.8236341877487	NC_015779.1	2854520	3086668	+	2854520	ID=gene10281;Dbxref=GeneID:110120039;Name=LOC110120039;gbkey=Gene;gene=LOC110120039;gene_biotype=protein_coding	FALSE	FALSE	32520	rightOfWindowEnd	FALSE
NW_003565557.1	985500	986000	*	1.90314253919553e-7	0.0108887518370346	1.51654343182287	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_015775.1	11325500	11326000	*	2.30052024137887e-7	0.0108887518370346	1.90156599552573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_015772.1	4475500	4476000	*	2.61043759319086e-7	0.0108887518370346	1.76125244618395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_015769.1	305000	305500	*	4.09829658471149e-7	0.013705089436111	1.08005754801582	NC_015769.1	252547	261272	-	261272	ID=gene4557;Dbxref=GeneID:100651204;Name=LOC100651204;gbkey=Gene;gene=LOC100651204;gene_biotype=protein_coding	FALSE	FALSE	43728	leftOfWindowStart	FALSE
NC_015769.1	305000	305500	*	4.09829658471149e-7	0.013705089436111	1.08005754801582	NC_015769.1	266003	285359	+	266003	ID=gene4558;Dbxref=GeneID:110119514;Name=LOC110119514;gbkey=Gene;gene=LOC110119514;gene_biotype=lncRNA	FALSE	FALSE	38997	leftOfWindowStart	FALSE
NC_015769.1	305000	305500	*	4.09829658471149e-7	0.013705089436111	1.08005754801582	NC_015769.1	268264	271825	-	271825	ID=gene4559;Dbxref=GeneID:100643487;Name=LOC100643487;gbkey=Gene;gene=LOC100643487;gene_biotype=protein_coding	FALSE	FALSE	33175	leftOfWindowStart	FALSE
NC_015769.1	305000	305500	*	4.09829658471149e-7	0.013705089436111	1.08005754801582	NC_015769.1	278301	289569	-	289569	ID=gene4560;Dbxref=GeneID:100642759;Name=LOC100642759;gbkey=Gene;gene=LOC100642759;gene_biotype=protein_coding	FALSE	FALSE	15431	leftOfWindowStart	FALSE
NC_015769.1	305000	305500	*	4.09829658471149e-7	0.013705089436111	1.08005754801582	NC_015769.1	292173	298407	+	292173	ID=gene4561;Dbxref=GeneID:100647299;Name=LOC100647299;gbkey=Gene;gene=LOC100647299;gene_biotype=protein_coding	FALSE	FALSE	12827	leftOfWindowStart	TRUE
NC_015769.1	305000	305500	*	4.09829658471149e-7	0.013705089436111	1.08005754801582	NC_015769.1	299267	307960	-	307960	ID=gene4562;Dbxref=GeneID:100648281;Name=LOC100648281;gbkey=Gene;gene=LOC100648281;gene_biotype=protein_coding	FALSE	TRUE	2460	rightOfWindowEnd	TRUE
NC_015769.1	305000	305500	*	4.09829658471149e-7	0.013705089436111	1.08005754801582	NC_015769.1	308333	311493	-	311493	ID=gene4563;Dbxref=GeneID:100649454;Name=LOC100649454;gbkey=Gene;gene=LOC100649454;gene_biotype=protein_coding	FALSE	FALSE	5993	rightOfWindowEnd	FALSE
NC_015769.1	305000	305500	*	4.09829658471149e-7	0.013705089436111	1.08005754801582	NC_015769.1	311812	360488	+	311812	ID=gene4564;Dbxref=GeneID:100650602;Name=LOC100650602;gbkey=Gene;gene=LOC100650602;gene_biotype=protein_coding	FALSE	FALSE	6312	rightOfWindowEnd	FALSE
NC_015769.1	305000	305500	*	4.09829658471149e-7	0.013705089436111	1.08005754801582	NC_015769.1	335390	340821	+	335390	ID=gene4565;Dbxref=GeneID:110119516;Name=LOC110119516;gbkey=Gene;gene=LOC110119516;gene_biotype=lncRNA	FALSE	FALSE	29890	rightOfWindowEnd	FALSE
NC_015773.1	11729000	11729500	*	4.63353114502742e-7	0.013705089436111	1.63546704682391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_015772.1	6576500	6577000	*	4.97327230826572e-7	0.013705089436111	24.0255931751533	NC_015772.1	6473120	6556794	-	6556794	ID=gene6589;Dbxref=GeneID:100650248;Name=LOC100650248;gbkey=Gene;gene=LOC100650248;gene_biotype=protein_coding;partial=true;start_range=.,6473120	FALSE	FALSE	19706	leftOfWindowStart	FALSE
NC_015772.1	6576500	6577000	*	4.97327230826572e-7	0.013705089436111	24.0255931751533	NC_015772.1	6569101	6570616	+	6569101	ID=gene6590;Dbxref=GeneID:100650006;Name=LOC100650006;gbkey=Gene;gene=LOC100650006;gene_biotype=protein_coding;partial=true;start_range=.,6569101	FALSE	FALSE	7399	leftOfWindowStart	FALSE
NC_015772.1	6576500	6577000	*	4.97327230826572e-7	0.013705089436111	24.0255931751533	NC_015772.1	6572263	6588506	+	6572263	ID=gene6591;Dbxref=GeneID:100651092;Name=LOC100651092;gbkey=Gene;gene=LOC100651092;gene_biotype=protein_coding;partial=true	FALSE	TRUE	4237	leftOfWindowStart	TRUE
