chr	start	end	strand	pvalue	qvalue	meth.diff	gene.chr	gene.start	gene.end	gene.strand	gene.startSite	gene.description	gene.withinWindow	gene.enclosesWindow	gene.distance	gene.direction	gene.closest
NW_004582014.1	7138000	7139000	*	4.51210943462055e-39	9.34295974892628e-34	17.1892308332986	NW_004582014.1	7096425	7097344	-	7097344	ID=gene-LOC105842147;Dbxref=GeneID:105842147;Name=LOC105842147;gbkey=Gene;gene=LOC105842147;gene_biotype=lncRNA	FALSE	FALSE	40656	leftOfWindowStart	FALSE
NW_004582014.1	7138000	7139000	*	4.51210943462055e-39	9.34295974892628e-34	17.1892308332986	NW_004582014.1	7111370	7120022	+	7111370	ID=gene-LOC101745727;Dbxref=GeneID:101745727;Name=LOC101745727;gbkey=Gene;gene=LOC101745727;gene_biotype=protein_coding	FALSE	FALSE	26630	leftOfWindowStart	FALSE
NW_004582014.1	7138000	7139000	*	4.51210943462055e-39	9.34295974892628e-34	17.1892308332986	NW_004582014.1	7120106	7123431	+	7120106	ID=gene-LOC733120;Dbxref=GeneID:733120;Name=LOC733120;description=vacuolar ATP synthase subunit D;gbkey=Gene;gene=LOC733120;gene_biotype=protein_coding	FALSE	FALSE	17894	leftOfWindowStart	FALSE
NW_004582014.1	7138000	7139000	*	4.51210943462055e-39	9.34295974892628e-34	17.1892308332986	NW_004582014.1	7124646	7127331	-	7127331	ID=gene-LOC101745971;Dbxref=GeneID:101745971;Name=LOC101745971;gbkey=Gene;gene=LOC101745971;gene_biotype=protein_coding	FALSE	FALSE	10669	leftOfWindowStart	FALSE
NW_004582014.1	7138000	7139000	*	4.51210943462055e-39	9.34295974892628e-34	17.1892308332986	NW_004582014.1	7128482	7130800	+	7128482	ID=gene-Ndufa13;Dbxref=GeneID:692866;Name=Ndufa13;description=NADH dehydrogenase (ubiquinone) 1 alpha subcomplex%2C 13;gbkey=Gene;gene=Ndufa13;gene_biotype=protein_coding;partial=true;start_range=.,7128482	FALSE	FALSE	9518	leftOfWindowStart	TRUE
NW_004582014.1	7138000	7139000	*	4.51210943462055e-39	9.34295974892628e-34	17.1892308332986	NW_004582014.1	7134654	7139617	-	7139617	ID=gene-LOC101746115;Dbxref=GeneID:101746115;Name=LOC101746115;gbkey=Gene;gene=LOC101746115;gene_biotype=protein_coding	FALSE	TRUE	617	rightOfWindowEnd	TRUE
NW_004582014.1	7138000	7139000	*	4.51210943462055e-39	9.34295974892628e-34	17.1892308332986	NW_004582014.1	7143341	7160454	+	7143341	ID=gene-LOC101745875;Dbxref=GeneID:101745875;Name=LOC101745875;gbkey=Gene;gene=LOC101745875;gene_biotype=protein_coding;partial=true	FALSE	FALSE	4341	rightOfWindowEnd	FALSE
NW_004582014.1	7138000	7139000	*	4.51210943462055e-39	9.34295974892628e-34	17.1892308332986	NW_004582014.1	7164874	7166892	-	7166892	ID=gene-LOC732999;Dbxref=GeneID:732999;Name=LOC732999;description=proteasome beta 3 subunit;gbkey=Gene;gene=LOC732999;gene_biotype=protein_coding	FALSE	FALSE	27892	rightOfWindowEnd	FALSE
NW_004582014.1	7138000	7139000	*	4.51210943462055e-39	9.34295974892628e-34	17.1892308332986	NW_004582014.1	7169703	7170878	+	7169703	ID=gene-LOC100329149;Dbxref=GeneID:100329149;Name=LOC100329149;description=aliphatic nitrilase;gbkey=Gene;gene=LOC100329149;gene_biotype=protein_coding	FALSE	FALSE	30703	rightOfWindowEnd	FALSE
NW_004581831.1	60000	61000	*	5.40260468895148e-32	5.59342796087114e-27	10.7185359727853	NW_004581831.1	4920	17562	-	17562	ID=gene-LOC101745189;Dbxref=GeneID:101745189;Name=LOC101745189;gbkey=Gene;gene=LOC101745189;gene_biotype=protein_coding	FALSE	FALSE	42438	leftOfWindowStart	FALSE
