chr	start	end	strand	pvalue	qvalue	meth.diff
NW_018384103.1	379748	399985	*	1.45810941611091e-137	2.57452488251528e-133	-5.11614157704476
NW_018384957.1	153101	175160	*	1.26855837979325e-99	1.11992113815845e-95	-2.94960490267865
NW_018385343.1	314966	331403	*	2.13104508562638e-41	1.25423340161959e-37	-2.85037074852919
NW_018384103.1	284211	289735	*	4.36803061325505e-41	1.92811379193477e-37	-6.62003643665705
NW_018387113.1	121520	126063	*	1.41165860812771e-40	4.25037037884457e-37	-8.16984939385159
NW_018386508.1	146767	169108	*	1.44434535011306e-40	4.25037037884457e-37	-1.06961487882397
NW_018384631.1	247355	369055	*	4.21285601910653e-38	1.06263852236166e-34	-0.199945959802043
NW_018385343.1	61989	76544	*	2.9001447993018e-37	6.40083561819943e-34	-1.28066959396624
NW_018384887.1	52091	87133	*	4.56539495910742e-34	8.95659268765954e-31	-3.43463691429797
NW_018388258.1	15793	18529	*	1.32088051925772e-33	2.33222536394349e-30	-5.08904692416215
NW_018384245.1	220986	233245	*	1.63322332470654e-29	2.62156039601195e-26	-3.32245275610925
NW_018385813.1	206981	212248	*	6.18893307455437e-28	9.10629089319888e-25	-2.60693501441607
NW_018384992.1	404991	413598	*	1.47160540643006e-27	1.9987340056379e-24	-1.56654649289064
NW_018384641.1	76	7326	*	1.04029323936707e-24	1.31200267192883e-21	-7.11188197039377
NW_018386839.1	224261	260319	*	2.00679628345547e-24	2.36221274334614e-21	-0.829532785284437
NW_018385591.1	237380	241010	*	4.37807445327244e-24	4.83136823140379e-21	-3.85641854032413
NW_018385777.1	159949	170772	*	2.76668478869433e-23	2.87354326244329e-20	-4.08224261279115
NW_018385146.1	261084	264683	*	1.29340360918241e-22	1.26872805222317e-19	-1.57931398874732
NW_018384914.1	116290	128733	*	7.19765437730191e-22	6.68874079983354e-19	3.40769363417864
NW_018384214.1	325711	339091	*	3.97238133755477e-21	3.5069366137322e-18	-3.2548065714865
NW_018388029.1	52979	61614	*	5.62972555323352e-21	4.73341854556463e-18	-6.5782509228232
NW_018385723.1	298140	299426	*	1.37854295094789e-20	1.10638072262891e-17	-1.54820890010463
NW_018387216.1	311331	314817	*	3.20473150278431e-20	2.46020214363702e-17	-1.76162710253207
NW_018386840.1	779170	781488	*	3.54727984705091e-19	2.6097036256248e-16	-5.15447927644327
NW_018385090.1	325343	339727	*	6.89402958103698e-19	4.8690037938349e-16	-2.99541464417495
NW_018384385.1	416356	430556	*	8.45096977298396e-19	5.7390522595514e-16	-1.54705570058078
NW_018385002.1	150755	175767	*	1.04658612994776e-18	6.84412904940916e-16	-4.2538381671614
NW_018384631.1	234635	239448	*	1.70365743158208e-18	1.07431396153599e-15	-2.35847647881269
