# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/zootermopsis_nevadensis_genome/GCA_000696155.1_ZooNev1.0_genomic.gff" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "36" "--primary" "SRR3139733_dupsRemoved.bam" "SRR3139734_dupsRemoved.bam" "SRR3139735_dupsRemoved.bam" "SRR3139736_dupsRemoved.bam" "SRR3139737_dupsRemoved.bam" "SRR3139738_dupsRemoved.bam" "SRR3139739_dupsRemoved.bam" "SRR3139740_dupsRemoved.bam" "SRR3139741_dupsRemoved.bam" "SRR3139742_dupsRemoved.bam" "SRR3139743_dupsRemoved.bam" "SRR3139744_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR3139733_dupsRemoved.bam	SRR3139734_dupsRemoved.bam	SRR3139735_dupsRemoved.bam	SRR3139736_dupsRemoved.bam	SRR3139737_dupsRemoved.bam	SRR3139738_dupsRemoved.bam	SRR3139739_dupsRemoved.bam	SRR3139740_dupsRemoved.bam	SRR3139741_dupsRemoved.bam	SRR3139742_dupsRemoved.bam	SRR3139743_dupsRemoved.bam	SRR3139744_dupsRemoved.bam
gene0	KK852401.1	3632	7927	-	4296	485	72	211	138	131	264	402	512	264	310	196	175
gene1	KK852401.1	37417	39803	-	2387	153	96	149	224	180	241	122	117	99	242	53	132
gene2	KK852403.1	12674	12946	-	273	0	0	1	0	0	1	0	0	0	0	1	0
gene3	KK852403.1	15353	17113	-	1761	150	74	106	110	129	157	97	94	44	97	152	99
gene4	KK852403.1	19007	29059	-	10053	977	302	565	389	493	579	563	426	326	412	473	402
gene5	KK852403.1	29673	40599	+	10927	1521	690	865	1142	1372	1118	1003	1329	487	887	838	1295
gene6	KK852404.1	4730	4979	+	250	4	6	9	5	4	16	1	0	0	74	4	2
gene7	KK852404.1	11304	15513	-	4210	4430	1125	1880	1976	2894	2300	2610	1946	1897	3581	2925	2107
gene8	KK852404.1	17080	17558	-	479	22	11	7	22	25	8	7	19	11	33	15	9
gene9	KK852404.1	26282	28904	-	2623	621	283	361	462	674	513	349	372	211	493	470	404
gene10	KK852404.1	50732	51973	-	1242	29	7	21	29	31	28	8	24	15	33	20	14
gene11	KK852404.1	52717	53010	-	294	23	13	8	13	38	41	6	9	8	24	30	13
gene12	KK852404.1	54728	55081	-	354	329	80	130	264	331	209	132	292	124	399	287	199
