chr	start	end	strand	pvalue	qvalue	meth.diff
chr9	18379000	18380000	*	1.28242027378847e-103	7.14788417184541e-99	-43.6317670041241
chr13	12293000	12294000	*	8.8108014173348e-87	2.45545821753863e-82	-27.027882213612
chr5	21624000	21625000	*	1.15738544771446e-80	2.05880054513418e-76	44.7006167936401
chr12	22647000	22648000	*	1.47749879281279e-80	2.05880054513418e-76	89.0248488530186
chr4	16126000	16127000	*	4.14099086855366e-80	4.61616580618304e-76	-25.7225218569308
chr9	18378000	18379000	*	2.25095120156013e-78	2.0910381713499e-74	-41.4912328917716
chr11	1970000	1971000	*	5.71406301369534e-78	4.54981896422439e-74	20.4959542143777
chr9	18380000	18381000	*	1.11585269518041e-76	7.77434860963014e-73	-23.3000964437598
chr9	18377000	18378000	*	1.24598185586658e-71	7.71642856175832e-68	-43.9565931320054
Sc0000030	155000	156000	*	3.55338367783961e-68	1.98056561226145e-64	23.7192400867015
chr2	13735000	13736000	*	1.59500700581488e-67	8.08196640784442e-64	-24.5798675946359
Sc0000193	117000	118000	*	4.15101912054881e-62	1.92806032957418e-58	-27.6865281129673
chr5	14255000	14256000	*	4.69433315542719e-62	2.01269369901418e-58	-25.210778920899
chr12	22649000	22650000	*	3.91418910725163e-60	1.55833526748393e-56	85.2521008403361
chr6	14570000	14571000	*	1.13819926404048e-57	4.2293553162084e-54	-17.5824973757113
chr2	34584000	34585000	*	1.03795135919029e-56	3.61579791895385e-53	-19.8839899705989
chr6	14571000	14572000	*	3.85274260003928e-53	1.26318862085309e-49	-16.2394337759006
chr6	4515000	4516000	*	1.40162087552993e-51	4.34015443554498e-48	-22.7733233335318
chr7	7900000	7901000	*	6.7086276010522e-51	1.96800961040015e-47	-80.7017543859649
chr14	9401000	9402000	*	8.15958257175331e-51	2.27397181351492e-47	-19.6448235178449
chr4	16125000	16126000	*	2.39625726718051e-50	6.36006097660424e-47	-23.0822756543699
chr1	2862000	2863000	*	9.4281735868812e-50	2.38864725793385e-46	95.959595959596
chr9	18241000	18242000	*	3.52827791062894e-49	8.55031433336575e-46	-35.6143394853569
Sc0000152	206000	207000	*	5.80378104614407e-48	1.34786659271344e-44	16.5115485820096
chr11	15608000	15609000	*	1.46950946844304e-46	3.27626868805836e-43	35.1162844407492
chr8	10560000	10561000	*	1.36885508815868e-45	2.93448070213686e-42	-22.7099548417922
chr6	7959000	7960000	*	1.53386252413918e-45	3.16642935993274e-42	-88.5968126030409
chr6	10449000	10450000	*	1.6872313298183e-45	3.35864212690765e-42	30.5734441672802
Sc0000150	496000	497000	*	2.13091872327574e-44	4.09558570615999e-41	-22.9957791893889
Sc0000196	295000	296000	*	6.69237129440748e-44	1.24338580274447e-40	-54.2389006342495
chr4	16124000	16125000	*	1.00814547162669e-43	1.8126278193548e-40	-28.3592431152208
Sc0000193	121000	122000	*	1.94232579908071e-43	3.38313424808514e-40	-34.7935242209762
chr13	7578000	7579000	*	3.55346736955028e-43	6.00185533300197e-40	-91.1233211233211
chr9	18240000	18241000	*	6.47429432241885e-43	1.06135495738152e-39	-32.9007348566599
chr12	14502000	14503000	*	2.36843135216614e-42	3.77172385243971e-39	-36.5880640465793
Sc0000102	728000	729000	*	3.20899906762502e-41	4.96837332411544e-38	29.4658711556218
chr11	1967000	1968000	*	7.43298707882105e-40	1.11971832281821e-36	19.6731846966629
xpSc0000587	103000	104000	*	1.2702813424575e-39	1.86321706803063e-36	-44.1011084076777
chr14	6441000	6442000	*	1.33787534805242e-39	1.91204529229631e-36	-33.9965927282162
Sc0000152	486000	487000	*	1.85500390605387e-38	2.58482989738296e-35	-22.4390563166033
Sc0000066	102000	103000	*	1.90197289291792e-38	2.58563726013901e-35	-20.3004657189591
chr12	5969000	5970000	*	2.07161380444268e-38	2.74920191097286e-35	46.312979646313
Sc0000271	54000	55000	*	3.21260731292978e-38	4.16424544364694e-35	11.7110322899672
chr11	1968000	1969000	*	1.20768738412974e-36	1.52985046995569e-33	15.3195159728855
chr1	28262000	28263000	*	2.88878952832636e-36	3.57808388947723e-33	64.6972910943422
Sc0000209	220000	221000	*	1.20399159290296e-35	1.45885710179431e-32	31.58419792498
chr6	5204000	5205000	*	1.92905250322471e-35	2.28766970668686e-32	15.7527780078237
Sc0000094	90000	91000	*	2.9458207676534e-35	3.42067814866953e-32	65.7729758570095
chr7	9381000	9382000	*	3.10874119139048e-35	3.53619022140223e-32	-55.2136752136752
chr1	5313000	5314000	*	4.43195436568196e-35	4.94051710009454e-32	-29.9663670274567
chr5	14254000	14255000	*	5.71059186755718e-35	6.24105597344335e-32	-17.5975975975976
chr5	11109000	11110000	*	6.08071609577444e-35	6.51776224984696e-32	21.4395479940552
Sc0000160	77000	78000	*	1.68131884558982e-34	1.76815910815998e-31	-30.2895919090784
xpSc0000584	152000	153000	*	2.22125523528571e-34	2.29272430945537e-31	-32.4884713331957
chr10	9504000	9505000	*	2.58463189094706e-34	2.61928731887989e-31	28.9473684210526
chr12	10833000	10834000	*	4.08506672681154e-34	4.0659146607287e-31	20.3940069975253
chr11	1969000	1970000	*	6.05182278201958e-34	5.91777538999935e-31	19.2413089817858
Sc0000165	209000	210000	*	6.63074483211927e-34	6.37208342556476e-31	35.9722222222222
chr5	9892000	9893000	*	7.61095367111735e-34	7.19008786934685e-31	-34.1135714620102
chr5	18507000	18508000	*	1.32134508612781e-33	1.22747352794848e-30	97.0149253731343
chr5	11099000	11100000	*	2.10443802559781e-33	1.92288555402433e-30	16.2568021001756
Sc0000030	295000	296000	*	2.80142141671366e-33	2.51845320768936e-30	-33.547103051747
Sc0000141	50000	51000	*	4.7060746270172e-33	4.16356540652204e-30	-31.0557721848044
chr8	17531000	17532000	*	5.3080447631417e-32	4.62276412048201e-29	100
chr6	4518000	4519000	*	7.28782127526108e-32	6.24930164715786e-29	-31.2504417897788
chr1	7642000	7643000	*	7.44902553639723e-32	6.29075336731623e-29	15.8989268440482
chr8	4464000	4465000	*	3.76599969174817e-31	3.13294383040313e-28	-19.4025086332481
chr8	8450000	8451000	*	1.50285384364318e-30	1.23184187939005e-27	-37.9190666075912
Sc0000061	630000	631000	*	1.58692371668984e-30	1.28189983371165e-27	23.984154758433
Sc0000030	47000	48000	*	1.63453176617447e-30	1.30149485743216e-27	9.45538651197355
Sc0000104	290000	291000	*	4.04403307377756e-30	3.1747057694365e-27	75.1405768184292
chr8	9825000	9826000	*	4.29564183324234e-30	3.32539085310969e-27	-30.718877849211
chr11	1003000	1004000	*	4.57901080838853e-30	3.49619735336576e-27	37.2394918979756
chr8	8451000	8452000	*	8.61639118327566e-30	6.48994205302274e-27	-43.9815142297989
chr12	12653000	12654000	*	1.8636278776968e-29	1.38498498830356e-26	93.4782608695652
chr4	2228000	2229000	*	1.89302600913065e-29	1.38832172549056e-26	-42.0828667413214
Sc0000038	859000	860000	*	2.1790517859089e-29	1.57733506323752e-26	10.8697219514353
chr6	6472000	6473000	*	3.34540069111301e-29	2.39056562765697e-26	43.1428018762996
chr9	13772000	13773000	*	4.08963720780777e-29	2.88539199971627e-26	-70.9033613445378
chr1	28640000	28641000	*	2.12435484190182e-28	1.48007664298648e-25	-58.24534942182
chr1	35666000	35667000	*	2.2855697379206e-28	1.57273875775081e-25	-43.7964624455268
chr10	20683000	20684000	*	4.67789562901098e-28	3.17968286573634e-25	-33.3059399359478
chr9	18375000	18376000	*	5.88890065249046e-28	3.95460641495042e-25	-43.5280505212163
chr14	9457000	9458000	*	8.13837916323499e-28	5.40014927005339e-25	-55.4383788254756
xfSc0000152	160000	161000	*	9.27546448202097e-28	6.08224447005438e-25	-32.059925093633
chr5	25062000	25063000	*	1.38636298314063e-27	8.98515625073275e-25	-10.2135047281324
xfSc0000152	161000	162000	*	1.73609773376169e-27	1.11224906347137e-24	-30.3127300910676
chr5	11477000	11478000	*	1.88181530612626e-27	1.1919044896381e-24	43.5850454173327
chr3	6191000	6192000	*	2.38959613168231e-27	1.49651691878243e-24	64.9501661129568
Sc0000146	333000	334000	*	4.09971195724307e-27	2.53897232073658e-24	-7.44279393699798
xpSc0000616	66000	67000	*	4.41630831384209e-27	2.70498663628007e-24	22.6419773039127
chr1	4297000	4298000	*	5.77949356290448e-27	3.50145934519712e-24	-27.1238157223758
chr7	635000	636000	*	8.85261048026288e-27	5.30561262636846e-24	70.7692307692308
chr1	12576000	12577000	*	1.40138307340965e-26	8.30952397392978e-24	34.03926054265
xpSc0000564	20000	21000	*	1.516730060785e-26	8.89880766533983e-24	-77.1683673469388
Sc0000102	930000	931000	*	1.97792480237404e-26	1.14838014340261e-23	19.689976340024
chr8	4463000	4464000	*	2.13989695175589e-26	1.22961246474691e-23	-17.6715462475902
chr7	17612000	17613000	*	2.1894250314312e-26	1.24523447112323e-23	52.7944862155388
chr11	9726000	9727000	*	2.33247341541927e-26	1.31319324212538e-23	-54.3307086614173
chr5	174000	175000	*	2.64895183060625e-26	1.47645832251514e-23	-60.3790138620811
chr14	1384000	1385000	*	2.9831333157995e-26	1.64625997616243e-23	33.6989373111046
chr5	11272000	11273000	*	3.02154901310161e-26	1.65111226249622e-23	-25.2062262711524
chr12	22648000	22649000	*	3.96770802594915e-26	2.14708685190268e-23	95.7664884135472
Sc0000089	50000	51000	*	4.59904215210469e-26	2.46479714332274e-23	-28.4963617174915
chr5	29089000	29090000	*	5.15288815235516e-26	2.73532256352102e-23	100
Sc0000137	603000	604000	*	6.55540925192912e-26	3.44699835100237e-23	11.7219183757264
Sc0000146	541000	542000	*	8.08844797952286e-26	4.21335982805542e-23	-12.4595962934904
chr4	23614000	23615000	*	9.03273559589922e-26	4.66168231201428e-23	24.4194553583525
chr10	558000	559000	*	1.1427636113056e-25	5.84355365516931e-23	93.7037037037037
chr5	26870000	26871000	*	1.36614511601012e-25	6.92231375510078e-23	-92.2359089212393
chr13	7734000	7735000	*	1.731069446775e-25	8.69237879321142e-23	49.9458679177192
chr8	17345000	17346000	*	2.26423608893398e-25	1.12681032220657e-22	-55.9629583281191
chr8	12312000	12313000	*	3.6922171847336e-25	1.82119280978792e-22	-80.3794992175274
xpSc0000587	107000	108000	*	4.92370962267037e-25	2.40732492358427e-22	-58.040154724627
chr5	16364000	16365000	*	5.71912867447983e-25	2.77191021333414e-22	40.5726924916308
chr5	14266000	14267000	*	6.17081158204998e-25	2.96504594881962e-22	-40.4824948514269
Sc0000118	554000	555000	*	8.7072804781478e-25	4.14804828944689e-22	17.442980720303
chr8	4485000	4486000	*	9.72071518351569e-25	4.59159254822471e-22	-42.6002987622706
xfSc0000146	168000	169000	*	1.31001618974047e-24	6.13587964953519e-22	28.6771495018918
Sc0000155	27000	28000	*	1.32202533012053e-24	6.14052722879438e-22	40.4495777446597
Sc0000155	230000	231000	*	1.64400645004482e-24	7.57295328775269e-22	15.8724519252121
chr1	25619000	25620000	*	2.38612205199675e-24	1.09013417551701e-21	39.8279173689781
Sc0000160	10000	11000	*	3.10983453369807e-24	1.40922163386895e-21	-52.5714285714286
Sc0000094	401000	402000	*	3.42116368231849e-24	1.53779802609506e-21	-44.6485779666558
chr5	14628000	14629000	*	3.52876955790641e-24	1.57347706268154e-21	-24.4143670757339
Sc0000152	201000	202000	*	3.64811401509797e-24	1.61378245312031e-21	24.2779221730058
chr9	8340000	8341000	*	4.16143330807436e-24	1.82635984136012e-21	-93.6456400742115
Sc0000050	156000	157000	*	6.2606800443139e-24	2.72620601088735e-21	-36.2683438155136
chr7	14523000	14524000	*	6.56455620896365e-24	2.83636940548987e-21	47.8469945355191
xfSc0000241	36000	37000	*	6.75613222135631e-24	2.89668932762252e-21	-9.59818302804886
chr1	28289000	28290000	*	8.20243747777404e-24	3.4899464586211e-21	-40.9321317938609
chr3	5847000	5848000	*	1.07831024871662e-23	4.55320215710153e-21	-89.3248497702368
chr5	11270000	11271000	*	1.32102735308299e-23	5.5361430109598e-21	-64.9668630338733
Sc0000193	120000	121000	*	1.45027401729369e-23	6.03243150129559e-21	-32.8327944319614
chr14	9402000	9403000	*	1.65453120321665e-23	6.8310635358018e-21	-30.5586102478285
chr4	2750000	2751000	*	1.72865559928e-23	7.08462227129518e-21	-34.4183673469388
chr1	35992000	35993000	*	1.85277106557436e-23	7.53786445624704e-21	94.5945945945946
chr5	20089000	20090000	*	1.87120332609321e-23	7.55768915459591e-21	-48.7629886194953
Sc0000253	53000	54000	*	2.22969402810077e-23	8.94082514687326e-21	-33.5258015020593
chr5	14259000	14260000	*	2.42158177530937e-23	9.64091458067194e-21	-28.3840721618895
Sc0000102	459000	460000	*	3.39376521048899e-23	1.34155910750053e-20	-12.1493789086076
chr12	17648000	17649000	*	3.51445192963013e-23	1.37948313154891e-20	-97.8260869565217
xpSc0000574	190000	191000	*	4.20190738445287e-23	1.63778756535071e-20	44.3841138114997
chr13	12290000	12291000	*	4.24267361284135e-23	1.64219324754822e-20	-25.9992957600613
chr4	23133000	23134000	*	4.93936477182625e-23	1.89867323760748e-20	-89.9754500818331
chr4	738000	739000	*	5.49891805870154e-23	2.09928558456203e-20	10.7614784082532
chr1	5911000	5912000	*	1.03270348155088e-22	3.91566417427719e-20	36.4828431372549
chr9	16871000	16872000	*	1.15761203889691e-22	4.359618135087e-20	50.0386954118297
chr2	10450000	10451000	*	1.21300080215705e-22	4.53755550831063e-20	16.1097601878249
chr1	29234000	29235000	*	1.25024864110736e-22	4.64571178694919e-20	51.7394303735094
chr8	4488000	4489000	*	1.32127737544756e-22	4.87712832158583e-20	-33.6538461538462
Sc0000193	166000	167000	*	1.48672718495105e-22	5.45173611136191e-20	8.59225072225135
chr6	14573000	14574000	*	1.59753102901886e-22	5.81975902711711e-20	-10.2560853265748
Sc0000077	860000	861000	*	1.66026770399279e-22	6.00903218731068e-20	-24.5867990666357
chr3	4423000	4424000	*	1.80304860481481e-22	6.48369933252328e-20	-25.536902122268
chr4	15800000	15801000	*	2.2228819106089e-22	7.94216534951774e-20	29.0100406605261
chr1	21894000	21895000	*	2.53788269428501e-22	9.00988033849722e-20	-44.0768690768691
xfSc0000240	27000	28000	*	2.66972534897383e-22	9.41795539792891e-20	-25.7745533216457
chr1	4283000	4284000	*	3.00221927520693e-22	1.05242805275053e-19	-32.1446078431373
Sc0000165	217000	218000	*	4.12198940880924e-22	1.43593248318969e-19	10.5463309776697
chr12	18471000	18472000	*	4.52862704045293e-22	1.56778971317119e-19	-32.4488845919719
Sc0000271	53000	54000	*	4.70231244575226e-22	1.61786991483729e-19	10.1570674671923
Sc0000193	164000	165000	*	4.85776116252802e-22	1.64178122931011e-19	17.3796585643694
chr3	18733000	18734000	*	4.85919572919288e-22	1.64178122931011e-19	55.2266419981499
chr2	21537000	21538000	*	4.86017714740186e-22	1.64178122931011e-19	51.2686567164179
chr1	25740000	25741000	*	4.98118600741807e-22	1.67252185946337e-19	33.234131597303
xfSc0000243	25000	26000	*	7.17533972181311e-22	2.39482138678295e-19	-20.1166244490533
Sc0000192	183000	184000	*	7.49132574703315e-22	2.48540135899079e-19	14.1210823952222
chr8	9035000	9036000	*	8.67479215324031e-22	2.86101084812129e-19	-94.7368421052632
xfSc0000124	46000	47000	*	9.76246282471016e-22	3.20079310555278e-19	-25.7795503988397
chr11	15684000	15685000	*	1.03855197160873e-21	3.38516042752245e-19	89.2307692307692
chr2	23037000	23038000	*	1.41974474977604e-21	4.60075339865057e-19	-37.0608899297424
Sc0000126	233000	234000	*	1.72725785694581e-21	5.56491076819634e-19	-39.1168831168831
chr1	30135000	30136000	*	1.93008586245813e-21	6.18264787514854e-19	17.3625500759773
Sc0000050	973000	974000	*	2.16951880062229e-21	6.90991174486823e-19	-25.7501840734668
chr13	12294000	12295000	*	2.26631211913797e-21	7.17718572308325e-19	-25.0651309474839
chr4	25888000	25889000	*	2.41348299235076e-21	7.60007901595356e-19	-26.3831435432644
