chr	start	end	strand	pvalue	qvalue	meth.diff
NC_015779.1	2821667	2823218	*	5.89734609244709e-08	0.000516702828342284	-6.26034039346733
NC_015771.1	3583360	3586131	*	9.23445052524087e-07	0.00404543554827977	28.0263157894737
NC_015778.1	1967510	1970393	*	3.78723772605913e-06	0.00831928727096612	7.49317827055753
NC_015776.1	4882135	4898796	*	3.79806059407722e-06	0.00831928727096612	-1.6747845447609
NC_015773.1	8989937	8995091	*	5.69421409198147e-06	0.00997810364320148	5.62757763385352
NC_015773.1	8698112	8706862	*	7.09976352533818e-06	0.0103675671412093	1.42988765698915
NC_015764.1	6605295	6612518	*	1.01770270660371e-05	0.0127381721169994	-4.12321104561901
NC_015770.1	399263	402400	*	2.88476278660268e-05	0.0315939803169087	25.8333333333333
NW_003566457.1	554128	558381	*	3.82564802679069e-05	0.0372431773113159	1.81581619700432
NW_003565947.1	251895	269922	*	4.61517517925595e-05	0.0404363934392587	-1.11537770235665
NC_015775.1	10515311	10520386	*	5.31537046797762e-05	0.0423374870883728	8.49673202614379
NW_003565407.1	383462	392127	*	6.37828134365639e-05	0.0432454672709014	4.08041001144449
NC_015775.1	7894572	7896318	*	6.81038302515508e-05	0.0432454672709014	10.4854630294329
NW_003566591.1	658928	667449	*	6.91010118024779e-05	0.0432454672709014	-4.35495538943815
NC_015768.1	9052385	9054744	*	8.31819772841548e-05	0.0444529612823999	20.6161390043705
NW_003566176.1	329249	333180	*	8.55602768699981e-05	0.0444529612823999	-4.78412031426205
NC_015765.1	13712150	13717494	*	8.85555670268781e-05	0.0444529612823999	13.0369553902208
NC_015773.1	5749097	5760674	*	9.13248524385942e-05	0.0444529612823999	2.31536385249791
NC_015765.1	5299549	5303742	*	0.000123269033977925	0.0522959588780737	3.28211647230052
NC_015777.1	2551900	2558031	*	0.000125563089412575	0.0522959588780737	1.72351435106374
NC_015762.1	4126519	4127922	*	0.000137361910169935	0.0522959588780737	1.02485754475414
NC_015764.1	14616763	14620095	*	0.000143848111627537	0.0522959588780737	0.777016551257438
NC_015772.1	16385153	16387118	*	0.000146080341409484	0.0522959588780737	-15.5690460761911
NC_015779.1	423300	427246	*	0.000146325255362993	0.0522959588780737	-15.0358262427228
NW_003566384.1	2317023	2319596	*	0.000149218928087655	0.0522959588780737	-0.951643307055982
NC_015776.1	2375517	2376945	*	0.000176964574751395	0.0596344491605907	-0.932203389830509
NC_015773.1	12039194	12040384	*	0.000195350650218849	0.0633921264496182	38.4654471544715
NW_003566384.1	1763548	1765736	*	0.000222710474322274	0.0685505387474708	2.87899513145659
NC_015766.1	4168486	4171652	*	0.00022689485444315	0.0685505387474708	19.8692810457516
NC_015764.1	14614495	14622963	*	0.000240096678542117	0.0701211646354992	0.505912702165688
NC_015767.1	4656784	4662914	*	0.000261653733545392	0.0732074620543556	-11.7927170868347
NC_015774.1	6387028	6404992	*	0.000282290709021916	0.0732074620543556	-0.186040576225864
NW_003566384.1	2313772	2320852	*	0.000282507682604257	0.0732074620543556	-1.65098205004135
NC_015773.1	2414593	2634035	*	0.000284086139353194	0.0732074620543556	-0.0664070890878062
NC_015762.1	9488580	9490793	*	0.000316382190721521	0.076968166308478	0.700174441391051
NW_003566384.1	1265539	1269757	*	0.000317174275326008	0.076968166308478	8.03508855569593
NC_015772.1	8230480	8239159	*	0.000325033886543642	0.076968166308478	1.93866661216743
NC_015764.1	13660544	13670449	*	0.000359940035611772	0.0804407873132409	-0.728085752455243
NC_015764.1	12530102	12552134	*	0.000375681405196152	0.0804407873132409	-0.703626015705908
NC_015766.1	945202	955686	*	0.00037701418826661	0.0804407873132409	0.717079648187925
NC_015762.1	389374	395744	*	0.00038659784682891	0.0804407873132409	-6.21628757137775
NC_015771.1	253003	263465	*	0.000388984474708506	0.0804407873132409	-0.342210927236477
NC_015764.1	12841487	12988124	*	0.00039794972112777	0.0804407873132409	0.0998185317464938
NW_003566449.1	530	8479	*	0.000403965955195385	0.0804407873132409	0.60384248365568
NC_015775.1	7757519	7761215	*	0.000439358373928847	0.085544209550142	5.65670842109153
NW_003569085.1	11	1144	*	0.000482865494907632	0.09197135052325	0.844772967265047
NC_015772.1	15988249	15993324	*	0.000504379652566353	0.0940251258620363	1.26056421021465
NC_015770.1	4706451	4714210	*	0.000533672383609197	0.0958110634184483	2.54393580104794
NC_015778.1	3242239	3245443	*	0.000545045661935749	0.0958110634184483	9.24113270244889
NC_015771.1	3648834	3655587	*	0.000552739944594758	0.0958110634184483	1.56290942901822
NC_015771.1	12682032	12687904	*	0.000557701244177709	0.0958110634184483	-0.8
NC_015771.1	6861157	6864086	*	0.000588596297152929	0.0991741313423564	-8.75275243787355
