# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/silkworm_genome/GCF_000151625.1_ASM15162v1_genomic.gff" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "36" "--primary" "SRR10836807_dupsRemoved.bam" "SRR10836808_dupsRemoved.bam" "SRR10836809_dupsRemoved.bam" "SRR10836810_dupsRemoved.bam" "SRR10836811_dupsRemoved.bam" "SRR10836812_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10836807_dupsRemoved.bam	SRR10836808_dupsRemoved.bam	SRR10836809_dupsRemoved.bam	SRR10836810_dupsRemoved.bam	SRR10836811_dupsRemoved.bam	SRR10836812_dupsRemoved.bam
gene-Titin1	NW_004581272.1	4869	5608	-	740	0	0	0	0	0	0
gene-Or-34	NW_004581286.1	1962	3321	+	1360	0	0	0	0	0	0
gene-LOC101735631	NW_004581293.1	2227	2893	-	667	0	2	0	0	0	1
gene-LOC105841270	NW_004581294.1	4762	5482	+	721	26	29	16	25	0	32
gene-LOC101735773	NW_004581296.1	1810	3901	+	2092	0	0	0	0	0	0
gene-LOC101735903	NW_004581300.1	1625	2892	+	1268	0	0	0	0	0	0
gene-LOC105841572	NW_004581303.1	474	2805	-	2332	0	0	1	1	0	2
gene-LOC110385113	NW_004581315.1	7	823	+	817	7	5	6	2	0	1
gene-TRNAR-CCU	NW_004581316.1	662	734	-	73	3	1	4	4	0	4
gene-LOC101736348	NW_004581317.1	7	1006	+	1000	23	24	28	49	0	25
gene-LOC105841267	NW_004581317.1	814	3600	+	2787	20	40	29	39	0	35
gene-LOC101736468	NW_004581321.1	150	2638	-	2489	692	815	688	618	0	571
gene-LOC105842108	NW_004581336.1	810	2697	+	1888	29	40	31	79	0	61
gene-LOC105842189	NW_004581338.1	1440	3237	-	1798	1	4	4	6	0	4
gene-LOC101736957	NW_004581352.1	1910	2837	-	928	73	49	39	121	0	93
gene-LOC101737234	NW_004581363.1	5	720	+	716	0	0	0	0	0	0
gene-LOC105842578	NW_004581365.1	2835	3450	-	616	13	23	20	28	0	12
gene-LOC105842651	NW_004581367.1	73	547	+	475	1	8	2	2	0	3
gene-LOC105842883	NW_004581370.1	114	2566	+	2453	27	37	26	107	0	74
gene-LOC110386419	NW_004581376.1	254	3398	+	3145	0	0	1	1	0	0
gene-LOC110386679	NW_004581398.1	145	886	-	742	0	0	0	0	0	0
gene-Care-11	NW_004581408.1	2219	3623	-	1405	0	0	0	0	0	0
gene-LOC101737800	NW_004581430.1	521	1595	-	1075	218	257	218	202	0	199
gene-LOC101737933	NW_004581431.1	15	654	-	640	3	7	9	11	0	9
gene-LOC110386889	NW_004581438.1	1	1020	-	1020	1	3	0	0	0	0
gene-LOC101738064	NW_004581445.1	9	1486	+	1478	0	0	0	0	0	0
gene-LOC101738192	NW_004581447.1	1819	2820	+	1002	1	1	1	6	0	5
gene-LOC101738324	NW_004581456.1	222	3134	+	2913	1	1	0	1	0	0
gene-Ser3	NW_004581463.1	777	2923	-	2147	8	7	5	5	0	3
gene-LOC105843005	NW_004581471.1	1357	2351	+	995	0	0	0	0	0	0
gene-LOC110384753	NW_004581480.1	2209	4181	+	1973	0	1	2	2	0	0
gene-LOC105843015	NW_004581486.1	34	2377	+	2344	0	0	0	2	0	0
