chr	start	end	name	NcpgMeasured	Nmcpg	mCpG_per_CpG	fracMeth	mnMeth	medMeth	sdMeth	stdErrMeth	maxMeth	minMeth
NC_002355.1	0	312	gene-ND3	12	0	0	0.0021175224986765486	0.20972902527901927	0.178813605079196	0.1591396605442107	0.04593966292697285	0.544464609800363	0
NC_002355.1	2865	3865	gene-ND5	61	0	0	0.004657849338700402	0.3630122070927209	0.378608613345954	0.24932597240233617	0.03192291959263046	0.835987261146497	0
NC_002355.1	4353	5353	gene-ND4	24	2	0.08333333333333333	0.007087172218284904	1.342283004164668	0.17921146953405	2.523672345395525	0.5151424603493254	9.09090909090909	0
NC_002355.1	4643	5643	gene-ND4L	48	1	0.020833333333333332	0.0035636679704476315	0.6219418242458716	0	0.991949153017838	0.14317552762931757	3.57142857142857	0
NC_002355.1	3781	4781	gene-ND6	48	1	0.020833333333333332	0.005006666099339063	0.8780665954123791	0.46541935839384896	1.7681956472385825	0.25521705822828006	9.09090909090909	0
NC_002355.1	4362	5362	gene-CYTB	24	2	0.08333333333333333	0.007087172218284904	1.342283004164668	0.17921146953405	2.523672345395525	0.5151424603493254	9.09090909090909	0
NC_002355.1	7540	8540	gene-ND1	91	6	0.06593406593406594	0.006773315180394826	1.5209879045573933	0.650759219088937	2.420897777383045	0.25377904312844407	14.2857142857143	0
NC_002355.1	9605	10605	gene-ND2	12	0	0	0.005306910116529355	0.554001792299697	0.43169894383098295	0.2974123518254496	0.08585555069337152	1.11633372502938	0.117924528301887
NC_002355.1	10831	11831	gene-COX1	46	1	0.021739130434782608	0.005089358293180024	2.6448778116384775	0.454584175514408	14.676115621841618	2.1638751960397724	100	0
NC_002355.1	12429	13429	gene-COX2	58	2	0.034482758620689655	0.010582010582010581	2.5054932851034812	0	13.35824133967333	1.7540230195917865	100	0
NC_002355.1	13248	14248	gene-ATP8	125	5	0.04	0.010903426791277258	0.8076492706345512	0	2.686726254124607	0.24030810164624	20	0
NC_002355.1	13403	14403	gene-ATP6	115	5	0.043478260869565216	0.011877828054298642	0.8778796419940773	0	2.790968452751692	0.2602591501837982	20	0
NC_002355.1	14095	15095	gene-COX3	61	2	0.03278688524590164	0.004976116739278778	2.0280563260427673	0.36101083032491	12.757704593878078	1.6334566913057225	100	0
NW_004581286.1	962	1962	gene-Or-34	23	0	0	0	0	0	0	0	0	0
NW_004581293.1	2893	3893	gene-LOC101735631	155	3	0.01935483870967742	0.004791238877481177	1.2436738223215797	0	8.894414017320681	0.7144165257973292	100	0
NW_004581300.1	625	1625	gene-LOC101735903	396	0	0	0.00422237860661506	0.3913709156930847	0	1.865795028046102	0.0937597279354477	14.2857142857143	0
NW_004581303.1	2805	3805	gene-LOC105841572	297	3	0.010101010101010102	0.005025125628140704	0.3367003367003367	0	3.543327363533993	0.20560470724256047	50	0
NW_004581316.1	734	1734	gene-TRNAR-CCU	427	5	0.0117096018735363	0.005535055350553505	0.6251626333593545	0	5.725083409252338	0.277056204795494	100	0
NW_004581317.1	0	7	gene-LOC101736348	4	0	0	0	0	0	0	0	0	0
NW_004581317.1	0	814	gene-LOC105841267	506	19	0.037549407114624504	0.013819095477386936	1.921343917391348	0	9.33511245368007	0.4149963677226923	100	0
NW_004581321.1	2638	3638	gene-LOC101736468	66	1	0.015151515151515152	0.005291005291005291	1.6414141414141414	0	12.33607878050557	1.5184663299309387	100	0
NW_004581336.1	0	810	gene-LOC105842108	368	3	0.008152173913043478	0.006081337894336754	0.5857518085778955	0	2.9135904190526727	0.15188139975776913	25	0
NW_004581352.1	2837	3837	gene-LOC101736957	41	0	0	0	0	0	0	0	0	0
NW_004581367.1	0	73	gene-LOC105842651	32	1	0.03125	0.02127659574468085	1.5625	0	8.838834764831844	1.5625	50	0
NW_004581370.1	0	114	gene-LOC105842883	11	0	0	0	0	0	0	0	0	0
NW_004581398.1	886	1886	gene-LOC110386679	212	2	0.009433962264150943	0.0032679738562091504	0.5027414933075306	0	3.4932057345860255	0.2399143548457656	33.3333333333333	0
NW_004581408.1	3623	4623	gene-Care-11	32	1	0.03125	0.010526315789473684	1.0416666666666656	0	5.8925565098878865	1.0416666666666656	33.3333333333333	0
NW_004581430.1	1595	2595	gene-LOC101737800	168	1	0.005952380952380952	0.0070967741935483875	0.623295355438213	0	2.64330898541464	0.20393571571718838	16.6666666666667	0
NW_004581431.1	654	1654	gene-LOC101737933	138	1	0.007246376811594203	0.005427408412483039	0.4840998691113108	0	2.2181248411085694	0.1888193257031878	15.3846153846154	0
NW_004581447.1	819	1819	gene-LOC101738192	8	0	0	0	0	0	0	0	0	0
NW_004581456.1	0	222	gene-LOC101738324	47	4	0.0851063829787234	0.03278688524590164	3.014184397163119	0	10.342202235792497	1.508565241193379	50	0
NW_004581471.1	357	1357	gene-LOC105843005	768	10	0.013020833333333334	0.005680351148980119	0.5518414600445849	0	3.790374496776644	0.13677335850271574	50	0
NW_004581480.1	1209	2209	gene-LOC110384753	7	2	0.2857142857142857	0.15384615384615385	10.714285714285714	0	19.66989481173608	7.43452142666476	50	0
NW_004581491.1	575	1575	gene-Bbx-b3	157	0	0	0	0	0	0	0	0	0
NW_004581503.1	1497	2497	gene-LOC101739341	131	3	0.022900763358778626	0.007352941176470588	0.7124681933842236	0	4.29186536433804	0.3749820179465147	33.3333333333333	0
NW_004581508.1	995	1995	gene-LOC110384817	167	71	0.4251497005988024	0.19812206572769953	17.091856912216194	10	21.7048986890202	1.6795754865363561	100	0
NW_004581520.1	984	1984	gene-LOC101739902	120	0	0	0	0	0	0	0	0	0
NW_004581531.1	444	1444	gene-LOC110384850	387	3	0.007751937984496124	0.004207573632538569	0.23686477174849252	0	2.7055448811659546	0.1375305754495016	33.3333333333333	0
NW_004581531.1	1182	2182	gene-LOC101740305	271	3	0.01107011070110701	0.004658385093167702	0.3198031980319801	0	3.0998840749289194	0.18830454721497686	33.3333333333333	0
NW_004581537.1	1502	2502	gene-Mir3310	447	8	0.017897091722595078	0.005931198102016607	0.8345842574030492	0	6.006411063821059	0.2840934948177182	100	0
NW_004581541.1	0	250	gene-LOC101740436	77	0	0	0	0	0	0	0	0	0
NW_004581563.1	0	14	gene-LOC101740844	2	0	0	0	0	0	0	0	0	0
NW_004581610.1	1188	2188	gene-LOC101741509	76	2	0.02631578947368421	0.022222222222222223	2.6315789473684212	0	16.113631583445652	1.8483603075180244	100	0
NW_004581614.1	2247	3247	gene-LOC101741607	117	1	0.008547008547008548	0.0037128712871287127	0.40835707502374186	0	2.595958686637895	0.23999646547843825	20	0
NW_004581631.1	2149	3149	gene-LOC110384977	65	1	0.015384615384615385	0.005128205128205128	0.38461538461538464	0	3.100868364730208	0.38461538461538464	25	0
NW_004581632.1	1819	2819	gene-TRNAD-GUC	3	0	0	0	0	0	0	0	0	0
NW_004581660.1	2080	3080	gene-LOC101741996	3	0	0	0	0	0	0	0	0	0
NW_004581661.1	892	1892	gene-LOC110384999	196	0	0	0.002607561929595828	0.1794289144229121	0	1.3325557274951871	0.09518255196394203	14.2857142857143	0
NW_004581666.1	0	7	gene-LOC101742138	2	0	0	0	0	0	0	0	0	0
NW_004581679.1	5718	6718	gene-LOC101745169	480	3	0.00625	0.004469536579628322	0.46839393818399244	0	2.583130656965274	0.11790324415025086	25	0
