chr	start	end	strand	pvalue	qvalue	meth.diff
NC_015776.1	4895500	4896000	*	2.86166207474935e-09	0.000835566794558672	-16.6761792848749
NC_015763.1	2028500	2029000	*	1.79772720629963e-08	0.0026245606923911	1.2316715542522
NC_015771.1	2351500	2352000	*	2.97403730847553e-08	0.00289459616571308	19.748932510524
NC_015779.1	2821500	2822000	*	1.52917881774237e-07	0.0108887518370346	-26.8236341877487
NW_003565557.1	985500	986000	*	1.90314253919553e-07	0.0108887518370346	1.51654343182287
NC_015775.1	11325500	11326000	*	2.30052024137887e-07	0.0108887518370346	1.90156599552573
NC_015772.1	4475500	4476000	*	2.61043759319086e-07	0.0108887518370346	1.76125244618395
NC_015769.1	305000	305500	*	4.09829658471149e-07	0.013705089436111	1.08005754801582
NC_015773.1	11729000	11729500	*	4.63353114502742e-07	0.013705089436111	1.63546704682391
NC_015772.1	6576500	6577000	*	4.97327230826572e-07	0.013705089436111	24.0255931751533
NC_015776.1	10571500	10572000	*	5.16311423794546e-07	0.013705089436111	18.3108236082579
NC_015776.1	571500	572000	*	6.6435146053615e-07	0.0161651401015843	1.40612076095947
NC_015766.1	3650000	3650500	*	8.64620240228019e-07	0.0194198052569785	4.58835461939025
NC_015768.1	10687000	10687500	*	1.16990301849407e-06	0.0243997092192663	1.56981204449559
NC_015777.1	2645000	2645500	*	1.26572548144624e-06	0.0246383198690783	3.67533319021288
NC_015766.1	845000	845500	*	1.64143778344859e-06	0.0287256605634641	0.790121392001558
NC_015769.1	6349500	6350000	*	1.731892717265e-06	0.0287256605634641	-1.40961857379768
NW_003566370.1	8500	9000	*	1.83003224883776e-06	0.0287256605634641	1.4
NC_015764.1	6610500	6611000	*	1.86922164080265e-06	0.0287256605634641	-5.74524732589098
NC_015767.1	5912000	5912500	*	2.05629889565351e-06	0.0300205795096584	1.91734140754349
NC_015766.1	3661500	3662000	*	2.54664731992624e-06	0.0354088917958395	1.58562367864693
NC_015770.1	7723500	7724000	*	2.72333745278461e-06	0.0361444485198683	1.77215189873418
NC_015776.1	3741000	3741500	*	2.95955605866151e-06	0.0364184171962091	-1.88060731538992
NC_015772.1	11345000	11345500	*	2.99343259664605e-06	0.0364184171962091	1.85915698736212
NC_015776.1	10409500	10410000	*	3.20749032308591e-06	0.0374617594647139	-0.993496196839887
NC_015765.1	1746000	1746500	*	3.67896924755525e-06	0.0413157493948408	-0.850848436611992
NC_015767.1	7920500	7921000	*	3.99059744460816e-06	0.0413602907243114	-1.97775030902349
NW_003565557.1	338000	338500	*	4.0079058419519e-06	0.0413602907243114	-2.0967695620962
