# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/macaca_genome/Macaca_mulatta.Mmul_10.99.gff3" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "48" "--primary" "macacYN07-314_heart_rna_dupsRemoved.bam" "macacYN07-314_kidney_rna_dupsRemoved.bam" "macacYN07-314_liver_rna_dupsRemoved.bam" "macacYN07-314_lung_rna_dupsRemoved.bam" "macacYN07-315_heart_rna_dupsRemoved.bam" "macacYN07-315_kidney_rna_dupsRemoved.bam" "macacYN07-315_liver_rna_dupsRemoved.bam" "macacYN07-315_lung_rna_dupsRemoved.bam" "macacYN07-317_heart_rna_dupsRemoved.bam" "macacYN07-317_kidney_rna_dupsRemoved.bam" "macacYN07-317_liver_rna_dupsRemoved.bam" "macacYN07-317_lung_rna_dupsRemoved.bam" "macacYN07-330_heart_rna_dupsRemoved.bam" "macacYN07-330_kidney_rna_dupsRemoved.bam" "macacYN07-330_liver_rna_dupsRemoved.bam" "macacYN07-330_lung_rna_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	macacYN07-314_heart_rna_dupsRemoved.bam	macacYN07-314_kidney_rna_dupsRemoved.bam	macacYN07-314_liver_rna_dupsRemoved.bam	macacYN07-314_lung_rna_dupsRemoved.bam	macacYN07-315_heart_rna_dupsRemoved.bam	macacYN07-315_kidney_rna_dupsRemoved.bam	macacYN07-315_liver_rna_dupsRemoved.bam	macacYN07-315_lung_rna_dupsRemoved.bam	macacYN07-317_heart_rna_dupsRemoved.bam	macacYN07-317_kidney_rna_dupsRemoved.bam	macacYN07-317_liver_rna_dupsRemoved.bam	macacYN07-317_lung_rna_dupsRemoved.bam	macacYN07-330_heart_rna_dupsRemoved.bam	macacYN07-330_kidney_rna_dupsRemoved.bam	macacYN07-330_liver_rna_dupsRemoved.bam	macacYN07-330_lung_rna_dupsRemoved.bam
gene:ENSMMUG00000023296	1	8231	26653	-	18423	23	180	88	181	203	1080	873	1175	35	278	243	316	48	220	160	301
gene:ENSMMUG00000000634	1	71582	83178	+	11597	242	533	231	803	429	689	393	1459	366	775	609	1329	379	618	337	1138
gene:ENSMMUG00000037875	1	81258	91679	-	10422	419	391	159	508	538	522	216	949	529	657	485	825	498	595	225	669
gene:ENSMMUG00000000632	1	102662	117835	+	15174	851	1058	813	1721	1543	1500	1328	3014	1377	1961	1965	3120	954	1334	1011	2351
gene:ENSMMUG00000064799	1	122996	124202	-	1207	0	3	1	2	9	10	5	5	2	5	4	5	1	0	5	2
gene:ENSMMUG00000057389	1	170939	185687	+	14749	9	1279	290	27	33	1632	656	77	34	1556	330	53	7	838	295	15
gene:ENSMMUG00000031200	1	211380	222144	+	10765	51	67	25	115	150	150	56	262	106	156	74	244	3	4	9	35
gene:ENSMMUG00000052613	1	231609	247928	-	16320	12	78	33	63	46	111	58	121	30	85	54	99	5	6	3	9
gene:ENSMMUG00000031199	1	326171	327124	+	954	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
gene:ENSMMUG00000053841	1	337714	338797	+	1084	0	2	0	0	0	0	0	0	0	2	0	0	0	6	0	0
gene:ENSMMUG00000049101	1	386873	387811	+	939	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
gene:ENSMMUG00000017368	1	429756	430706	+	951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000055842	1	449228	450163	+	936	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gene:ENSMMUG00000062331	1	529177	530094	+	918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSMMUG00000049901	1	552254	553201	-	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
