chr	start	end	name	NcpgMeasured	Nmcpg	mCpG_per_CpG	fracMeth	mnMeth	medMeth	sdMeth	stdErrMeth	maxMeth	minMeth
10	74163	75163	gene:ENSG00000261456	701	203	0.28958630527817403	0.1875834445927904	23.990557706677535	0	40.353230337825295	1.5241204749322905	100	0
10	133465	134465	gene:ENSG00000015171	449	138	0.30734966592427615	0.18434782608695652	20.306501219641532	0	34.43965511901435	1.6253078137222712	100	0
10	689668	690668	gene:ENSG00000151240	2126	276	0.12982126058325494	0.12162458836443468	9.52548940554585	0	26.425268201894433	0.5731097194169286	100	0
10	648948	649948	gene:ENSG00000180525	573	467	0.8150087260034904	0.7146814404432132	71.70925787417934	100	39.61078477046158	1.6547642731011478	100	0
10	931705	932705	gene:ENSG00000107929	2144	304	0.1417910447761194	0.11796982167352538	12.14781746031746	0	31.234372545614566	0.6745597058750552	100	0
10	987434	988434	gene:ENSG00000107937	1524	90	0.05905511811023622	0.035931453841901606	3.1372404207049875	0	14.002502329427605	0.3586849628150359	100	0
10	1025859	1026859	gene:ENSG00000148377	441	428	0.9705215419501134	0.9127849355797819	92.31292517006803	100	21.547852238579328	1.0260882018371134	100	0
10	1049170	1050170	gene:ENSG00000067064	1826	43	0.023548740416210297	0.01118851593835761	0.9634642465967765	0	6.638268991540577	0.15534756848428974	100	0
10	1048538	1049538	gene:ENSG00000047056	2824	40	0.014164305949008499	0.006436162251160006	0.630705067673906	0	5.750622770932045	0.10821377151151522	100	0
10	1737525	1738525	gene:ENSG00000185736	799	56	0.07008760951188986	0.048034934497816595	3.441206269741939	0	13.782856101392595	0.4876023974634805	100	0
10	3065333	3066333	gene:ENSG00000067057	729	559	0.766803840877915	0.5846736045411542	58.72849106388201	66.6666666666667	39.52249558906856	1.4637961329284674	100	0
10	3172841	3173841	gene:ENSG00000107959	1182	279	0.23604060913705585	0.22144177449168206	19.932519539118523	0	37.76474904581887	1.098443857940453	100	0
10	3785281	3786281	gene:ENSG00000067082	2054	31	0.015092502434274586	0.008663366336633664	0.7434214870923731	0	6.46316760404577	0.14260842998510911	100	0
10	4785629	4786629	gene:ENSG00000165568	309	281	0.9093851132686084	0.836241610738255	83.45353675450762	100	31.645221425652046	1.8002337488270839	100	0
10	4962253	4963253	gene:ENSG00000187134	37	28	0.7567567567567568	0.6842105263157895	62.612612612612615	75	42.06392207351656	6.915266190977587	100	0
10	5018031	5019031	gene:ENSG00000151632	207	157	0.7584541062801933	0.5870307167235495	56.31700023004371	60	38.30651632843775	2.6624869355973213	100	0
10	5034354	5035354	gene:ENSG00000196139	104	99	0.9519230769230769	0.7808764940239044	79.91071428571429	100	28.096985212138694	2.7551360744196742	100	0
10	5185187	5186187	gene:ENSG00000264006	138	120	0.8695652173913043	0.6648936170212766	67.8476535541753	75	34.15019047348492	2.9070572667209245	100	0
10	5194462	5195462	gene:ENSG00000198610	179	170	0.94972067039106145	0.8558951965065502	86.0049215216813	100	26.557994224418447	1.9850376876433606	100	0
10	5345651	5346651	gene:ENSG00000280450	134	126	0.9402985074626866	0.9269102990033222	90.76403695806681	100	25.46413437001971	2.1997661667021116	100	0
10	5363966	5364966	gene:ENSG00000178473	604	519	0.859271523178808	0.7259740259740259	72.76562335751078	100	36.265046086814515	1.475603798112688	100	0
