# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/bumblebee_genome/GCF_000214255.1_Bter_1.0_genomic.gff" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "64" "--primary" "SRR8929838_dupsRemoved.bam" "SRR8929839_dupsRemoved.bam" "SRR8929840_dupsRemoved.bam" "SRR8929841_dupsRemoved.bam" "SRR8929842_dupsRemoved.bam" "SRR8929843_dupsRemoved.bam" "SRR8929848_dupsRemoved.bam" "SRR8929849_dupsRemoved.bam" "SRR8929852_dupsRemoved.bam" "SRR8929853_dupsRemoved.bam" "SRR8929854_dupsRemoved.bam" "SRR8929855_dupsRemoved.bam" "SRR8929856_dupsRemoved.bam" "SRR8929857_dupsRemoved.bam" "SRR8929858_dupsRemoved.bam" "SRR8929859_dupsRemoved.bam" "SRR8929860_dupsRemoved.bam" "SRR8929861_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR8929838_dupsRemoved.bam	SRR8929839_dupsRemoved.bam	SRR8929840_dupsRemoved.bam	SRR8929841_dupsRemoved.bam	SRR8929842_dupsRemoved.bam	SRR8929843_dupsRemoved.bam	SRR8929848_dupsRemoved.bam	SRR8929849_dupsRemoved.bam	SRR8929852_dupsRemoved.bam	SRR8929853_dupsRemoved.bam	SRR8929854_dupsRemoved.bam	SRR8929855_dupsRemoved.bam	SRR8929856_dupsRemoved.bam	SRR8929857_dupsRemoved.bam	SRR8929858_dupsRemoved.bam	SRR8929859_dupsRemoved.bam	SRR8929860_dupsRemoved.bam	SRR8929861_dupsRemoved.bam
gene0	NC_015762.1	305	19656	-	19352	35	28	27	13	32	61	43	21	31	32	55	24	34	39	43	18	26	41
gene1	NC_015762.1	60725	70662	+	9938	27	37	53	42	68	73	61	32	43	42	36	65	61	65	56	56	55	48
gene2	NC_015762.1	130776	134746	+	3971	5	8	14	4	9	3	12	2	10	5	8	3	1	4	7	2	7	5
gene3	NC_015762.1	141041	146701	+	5661	18	21	15	3	29	15	28	5	24	6	26	11	15	15	11	13	6	22
gene4	NC_015762.1	171877	214618	-	42742	24	35	50	2	19	25	14	35	15	23	71	24	12	10	28	22	23	6
gene5	NC_015762.1	244516	248120	-	3605	6	1	4	2	1	3	0	3	3	1	1	2	0	5	1	3	1	2
gene6	NC_015762.1	248267	279320	+	31054	2111	2202	2071	752	1596	1702	2107	1663	1581	1658	1805	1528	1540	1566	1754	1410	2256	1594
gene7	NC_015762.1	261888	263149	-	1262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene8	NC_015762.1	279470	285561	-	6092	153	132	174	144	235	186	244	122	170	244	129	177	152	253	177	170	167	216
gene9	NC_015762.1	285787	302560	-	16774	158	184	214	41	252	186	242	133	168	282	147	203	185	225	205	175	160	222
gene10	NC_015762.1	314260	318620	-	4361	6	4	8	3	9	17	14	5	5	8	9	1	6	7	4	5	5	3
gene11	NC_015762.1	325177	335010	-	9834	57	45	49	9	31	45	45	39	35	34	39	22	31	35	42	20	44	19
gene12	NC_015762.1	347419	361118	+	13700	208	192	233	46	158	228	133	179	88	159	256	102	124	186	157	137	225	107
