chr	start	end	strand	pvalue	qvalue	meth.diff
NW_017179105.1	83797	87446	*	1.89652964902612e-32	1.69019488595813e-28	-10.0048127982999
NW_017179316.1	853287	857566	*	1.25717384224975e-20	5.60199203851625e-17	-3.4508560632292
NW_017176301.1	297158	301325	*	7.64206849759316e-20	2.27021410736648e-16	-4.9568214421264
NW_017179105.1	74423	79139	*	2.81680217981364e-18	6.27586370917205e-15	-3.1658362321614
NW_017153562.1	148549	154016	*	1.46850059622585e-17	2.59320610933562e-14	-3.11868968478415
NW_017179316.1	786729	791631	*	1.74586693401432e-17	2.59320610933562e-14	-3.14594276338426
NW_017179946.1	144686	147467	*	2.34952973288742e-17	2.99130055856957e-14	-5.86559613950962
NW_017179105.1	71805	81834	*	7.93711212752298e-17	8.59141524092378e-14	-1.99226142380371
NW_017136308.1	1639501	1642563	*	8.67621034721282e-17	8.59141524092378e-14	-2.21635389579521
NW_017156497.1	25042	29576	*	3.46333569618644e-16	3.08653876571689e-13	-3.79148615573019
NW_017162322.1	3468545	3470612	*	2.55858807729518e-15	2.07293093837733e-12	-9.7799260099919
NW_017156169.1	248555	255949	*	2.91801694923812e-15	2.1671237459404e-12	-1.81021095256328
NW_017179946.1	288001	291493	*	3.25530630649749e-15	2.23164779469486e-12	-1.60707154609282
NW_017176894.1	356950	365476	*	3.63593983788759e-15	2.31454591013674e-12	-2.1094958583525
NW_017140296.1	560	70021	*	5.40344404375122e-15	3.21038077592549e-12	-0.567741536185826
NW_017140296.1	143	59904	*	6.48915422024583e-15	3.61447528743e-12	-0.504361518134812
NW_017167275.1	49375	53959	*	9.40902089565968e-15	4.93256319909291e-12	-3.42423375023172
NW_017156497.1	16371	18145	*	2.38308839625636e-14	1.17989889299092e-11	-5.56197467725962
NW_017148113.1	56226	63234	*	1.07525190955004e-13	5.04352024338503e-11	-1.58512449791406
NW_017158043.1	544914	547045	*	5.90277052230158e-13	2.63028646952652e-10	-6.17470370551507
NW_017136308.1	1660132	1662995	*	2.69798280981029e-12	1.14497770525884e-09	-3.00192186501951
NW_017144747.1	267182	272308	*	3.19805758123418e-12	1.29550992629122e-09	-1.80536205047306
NW_017171239.1	561528	565912	*	3.88045723099615e-12	1.50359963603428e-09	-6.19555252876322
NW_017160008.1	1207472	1209239	*	4.3128557355464e-12	1.56801812830241e-09	-4.9081136279915
NW_017179316.1	654151	661914	*	4.39859464615849e-12	1.56801812830241e-09	-1.83216959725809
NW_017136637.1	249781	256790	*	6.77327552687949e-12	2.32168096781723e-09	-1.38932495582194
NW_017136308.1	1652040	1654316	*	9.50258649908701e-12	3.11445147081433e-09	-2.44601049499138
NW_017176565.1	293308	296766	*	9.9397821532898e-12	3.11445147081433e-09	1.47487994433373
NW_017179946.1	191646	194545	*	1.01345021520176e-11	3.11445147081433e-09	-3.59477007291119
NW_017180576.1	953836	957847	*	1.05245519584879e-11	3.12650774294887e-09	1.07037792657569
NW_017179316.1	270096	279855	*	2.35941146055314e-11	6.78295815038889e-09	-5.34475097377499
NW_017177131.1	5342	17075	*	2.79021085752117e-11	7.77077246813154e-09	-1.10204746364869
NW_017154212.1	5951	10067	*	4.54762282550631e-11	1.22813934434087e-08	-4.55175971133741
NW_017172225.1	1668057	1671282	*	4.90307030277244e-11	1.28518707771055e-08	-1.87226655812304
NW_017176894.1	783870	793241	*	5.33563384549473e-11	1.35861098320613e-08	-1.01933262017488
NW_017180576.1	457104	458276	*	6.00060706895867e-11	1.48549035131473e-08	-3.1286965991288
NW_017176301.1	267600	279108	*	6.3810678725521e-11	1.53698201894888e-08	-0.998493683935206
NW_017153562.1	41117	51724	*	7.15634639483845e-11	1.67835916358182e-08	-1.98838227527475
NW_017179316.1	600640	608656	*	8.74005590968423e-11	1.99722388206866e-08	-1.53244031408627
NW_017152138.1	974632	977407	*	1.12880336459653e-10	2.51498529837526e-08	-8.64154604124846
NW_017136308.1	1262240	1264909	*	1.38485747922517e-10	3.01022092894932e-08	-3.94459694002765
NW_017180576.1	393515	397039	*	1.46997474700856e-10	3.11916055672843e-08	-4.50955070116301
NW_017132550.1	170729	174090	*	1.86238369550078e-10	3.85991598654163e-08	-4.0738402997439
NW_017179946.1	292044	296000	*	2.19233887494964e-10	4.44050287111356e-08	-1.74669246963042
NW_017153562.1	473762	477571	*	2.65311711175727e-10	5.25437486591817e-08	-3.49028356048897
NW_017172225.1	420186	425553	*	3.23833059082022e-10	6.27394197109344e-08	-2.13461595616538
NW_017180685.1	9	41905	*	3.56234484971667e-10	6.75484281570217e-08	0.47799537643253
NW_017144423.1	109130	113250	*	3.64754544919339e-10	6.77230675391357e-08	-5.99143414415198
NW_017157600.1	556171	561641	*	4.69887067674896e-10	8.5462296580709e-08	-3.109457300903
NW_017156497.1	188691	192709	*	6.15726403632355e-10	1.09747571740121e-07	-0.563641562519519
NW_017132978.1	1001268	1011204	*	6.42280015056964e-10	1.12235793037164e-07	-0.822098393764666
NW_017179946.1	139507	142340	*	7.5275108398257e-10	1.29010539896882e-07	-2.56674135650719
NW_017156497.1	465844	476876	*	7.89942722203918e-10	1.32830216172811e-07	-1.04957021642683
NW_017145181.1	162702	171342	*	8.12747425994632e-10	1.34134035161926e-07	-2.054658329324
NW_017137284.1	66823	70207	*	8.53341478115422e-10	1.36610072925715e-07	-2.8295514788792
NW_017156169.1	95169	97718	*	8.58407697565166e-10	1.36610072925715e-07	-2.6761630221166
NW_017178369.1	21256	24296	*	9.22563263792363e-10	1.44244229512297e-07	-1.94846827556547
NW_017160008.1	1011673	1015639	*	1.01608941934827e-09	1.55462651294628e-07	-2.01694836802948
NW_017176693.1	1348099	1352287	*	1.02920274264294e-09	1.55462651294628e-07	-1.78358630525705
NW_017180576.1	429851	431460	*	1.38422776614357e-09	2.0462856811951e-07	-3.7625917446071
NW_017170362.1	41453	46413	*	1.40061558177306e-09	2.0462856811951e-07	-1.85856121586879
NW_017160008.1	1093521	1095413	*	1.70356476875356e-09	2.44874807258571e-07	-3.13078450363543
NW_017180576.1	335564	340131	*	1.76453128901609e-09	2.49612287966745e-07	0.365228338807362
NW_017135881.1	45347	47911	*	1.82886691154184e-09	2.54670872019897e-07	1.76587481973006
NW_017179316.1	815170	819772	*	2.0901598906086e-09	2.83126139091495e-07	-4.06661293336636
NW_017160008.1	1110718	1113912	*	2.09675050076826e-09	2.83126139091495e-07	-1.64458338583972
NW_017167384.1	820814	822750	*	2.13101591661522e-09	2.83458208216836e-07	-6.25662941164919
NW_017181113.1	444960	451581	*	2.42014766798395e-09	3.17183144129663e-07	-1.00795468374038
NW_017136308.1	1643055	1646267	*	2.70215529981130e-09	3.49010394346524e-07	-2.31920744534118
NW_017160008.1	1051897	1054236	*	3.27975610110185e-09	4.17561698405967e-07	-3.01828341253069
NW_017160008.1	1083975	1090264	*	4.29550747847265e-09	5.39179383155013e-07	-3.91701120617543
NW_017178371.1	502	13143	*	4.53350766505237e-09	5.61150048374633e-07	1.0178331764017
NW_017176693.1	1391103	1396709	*	4.62767270835681e-09	5.64958988404808e-07	-2.60731758720169
NW_017176997.1	116044	117341	*	4.95836741454971e-09	5.93823571624252e-07	-9.34283705696649
NW_017154760.1	281372	289211	*	4.9973705069411e-09	5.93823571624252e-07	-3.84044685175502
NW_017139974.1	134152	140928	*	5.19349237844396e-09	6.09008077825901e-07	-0.912704631791356
NW_017136637.1	332178	335640	*	5.42070054391359e-09	6.27396133318983e-07	-5.20609219909065
NW_017148112.1	97166	102953	*	6.00553371604019e-09	6.86173834938167e-07	-1.07437496312908
NW_017137815.1	132286	134526	*	6.94592630666707e-09	7.83574378335494e-07	-4.11896190075601
NW_017176301.1	311882	315278	*	9.49487764666279e-09	1.05773416523098e-06	-5.38773568561169
NW_017132980.1	158158	164664	*	9.88314870152498e-09	1.08739531539667e-06	-4.65258110169836
NW_017162322.1	3080803	3085441	*	1.03049158570825e-08	1.11997349364093e-06	-2.44178024048758
NW_017145072.1	94282	96455	*	1.04979022237408e-08	1.12720155151378e-06	-8.6079620479186
NW_017151812.1	424975	436508	*	1.06731181312038e-08	1.13237214312363e-06	-2.71723917746505
NW_017166501.1	300536	309608	*	1.35546813288561e-08	1.42117491372538e-06	-0.953534871250834
NW_017179316.1	686082	688048	*	1.42062367044276e-08	1.47216924999094e-06	1.91473241831895
NW_017179000.1	22550	28807	*	1.52683995886342e-08	1.5640528050453e-06	-2.22984019484278
NW_017167275.1	65863	67028	*	1.55363943236621e-08	1.57342015847251e-06	-4.52990229336808
NW_017156387.1	132769	134821	*	1.66952105702646e-08	1.67177967591192e-06	-4.58481819881082
NW_017136529.1	536463	538764	*	1.77682982408776e-08	1.75946435370823e-06	-1.86921689487738
NW_017180576.1	469512	472074	*	1.87310638092815e-08	1.83441755471402e-06	-1.82484494485853
NW_017133086.1	98460	105845	*	1.90160891110906e-08	1.84208863570513e-06	-0.911474021784638
NW_017154760.1	255741	258988	*	1.99835785772739e-08	1.91499419030087e-06	-2.19482633913933
NW_017180576.1	656632	661135	*	2.13979324677319e-08	2.02871530548249e-06	-2.04710097562861
NW_017176894.1	631372	633539	*	2.38062882979123e-08	2.23329055980241e-06	1.16450092275521
NW_017174432.1	71642	74826	*	2.59913846097963e-08	2.41287781041102e-06	-3.86075376351599
NW_017172225.1	419801	432382	*	3.07010989003203e-08	2.82071581286696e-06	-1.00879390334819
NW_017136637.1	582952	585366	*	3.23167891226801e-08	2.93886255500182e-06	-5.07924888651345
NW_017151272.1	930694	937870	*	3.37006047910383e-08	3.03374900543768e-06	0.704230167759588
NW_017139974.1	66	7466	*	3.46239208718379e-08	3.08569781756117e-06	-1.41054791844382
NW_017167821.1	688477	695097	*	3.60807086431447e-08	3.18369042806055e-06	-1.64049776808907
NW_017176894.1	737908	740826	*	5.07251714358065e-08	4.43200762095866e-06	-4.55045092838197
NW_017177131.1	3021	9890	*	5.15117230365109e-08	4.45703453381673e-06	-1.11657671380685
NW_017162322.1	3576746	3583021	*	5.25400353711633e-08	4.50229728901461e-06	-5.2979375696767
NW_017162322.1	3234844	3239728	*	5.33126083552167e-08	4.52499161625212e-06	-2.5858278136091
NW_017172225.1	3036131	3040362	*	5.40582049273919e-08	4.5350290732202e-06	-3.0919205456905
NW_017166501.1	1002057	1005572	*	5.44485986188492e-08	4.5350290732202e-06	-4.47674968906131
NW_017147017.1	1056745	1065516	*	5.92189686251723e-08	4.87687478331372e-06	-0.761650922695618
NW_017180576.1	723097	725480	*	5.96473228667361e-08	4.87687478331372e-06	-2.4948753750105
NW_017156169.1	183369	185700	*	6.34889615065331e-08	5.1437835468799e-06	3.2627321784338
NW_017136095.1	203	939	*	6.67645035621632e-08	5.36043201172701e-06	-3.79236937911393
NW_017137815.1	558416	567581	*	7.07775478966057e-08	5.63189612994156e-06	1.03887244608252
NW_017151702.1	54827	57929	*	8.01948202470112e-08	6.32477414368249e-06	-3.09198571420218
NW_017172225.1	2907871	2911944	*	1.13401150546028e-07	8.86522487307777e-06	-0.548918977942782
NW_017139975.1	43129	46384	*	1.14673979192384e-07	8.88677509438791e-06	-2.65858461970436
NW_017137815.1	82205	90558	*	1.37067793796488e-07	1.05306354862671e-05	-0.620966547672627
NW_017172225.1	2902501	2905699	*	1.45742972917603e-07	1.11014296003986e-05	-2.05568797551706
NW_017136637.1	460709	478354	*	1.57872429625717e-07	1.19234361992238e-05	-1.13449217591204
NW_017176565.1	49882	52297	*	1.61343704041723e-07	1.20832068013224e-05	-2.50137391415337
NW_017180576.1	278833	282464	*	1.81470450330531e-07	1.34772665457092e-05	2.15236994881742
