chr	start	end	strand	pvalue	qvalue	meth.diff
NW_018388147.1	112500	113000	*	5.01872566905914e-31	1.59376036298266e-25	-14.523498110592
NW_018388258.1	17000	17500	*	8.6958873875935e-30	1.38074498918622e-24	-9.20121800014051
NW_018386163.1	28500	29000	*	1.44202900959859e-29	1.52644902930789e-24	14.6094937418159
NW_018385591.1	622500	623000	*	4.73271955461608e-26	3.75733868149149e-21	-12.4213067373807
NW_018385098.1	1640500	1641000	*	2.22647165752651e-25	1.41408895845677e-20	-10.4539135914592
NW_018386298.1	229000	229500	*	2.36905872843485e-24	1.25387470443448e-19	-7.94958914252449
NW_018386163.1	26500	27000	*	1.75073129413541e-23	7.94238653628308e-19	13.3261581675067
NW_018384957.1	175000	175500	*	1.82329210501934e-22	7.23762085920062e-18	-10.9985851138312
NW_018384914.1	124500	125000	*	4.92717215102499e-22	1.7385404170333e-17	13.9067138197358
NW_018385715.1	76000	76500	*	7.14244759802267e-21	2.22124372141189e-16	-3.7485143889541
NW_018384103.1	384500	385000	*	7.69412670492441e-21	2.22124372141189e-16	-13.7585532746823
NW_018386562.1	214000	214500	*	3.82351516800011e-20	9.34506013094427e-16	11.6655531749871
NW_018385343.1	317500	318000	*	3.82556766510298e-20	9.34506013094427e-16	-13.5261826274619
NW_018384103.1	393500	394000	*	5.62766492119145e-20	1.27652627934708e-15	-12.0255087389416
NW_018384202.1	700500	701000	*	2.1295007886697e-19	4.31312981357571e-15	-9.94429803696516
NW_018386508.1	154000	154500	*	2.1731161910807e-19	4.31312981357571e-15	-9.51264606355925
NW_018385996.1	168500	169000	*	3.61663211491186e-19	6.75592745616738e-15	17.8633553141357
NW_018387936.1	657000	657500	*	4.00295656053136e-19	7.06216624343505e-15	16.6054847765062
NW_018385723.1	314500	315000	*	5.13982624341965e-19	8.59061787010837e-15	-3.50778959604766
NW_018384915.1	381000	381500	*	9.33700894081871e-19	1.48254315337795e-14	-14.2721990629145
NW_018384557.1	208500	209000	*	1.43314707453031e-18	2.16721017618798e-14	-2.42750329135306
NW_018388194.1	17500	18000	*	3.56429702062547e-18	5.14494541222219e-14	-8.21589131236289
NW_018386163.1	27000	27500	*	4.65460417208951e-18	6.42664754918423e-14	13.3292809377498
NW_018384620.1	77000	77500	*	5.54660006977565e-18	7.31786227517135e-14	11.8086426423517
NW_018384957.1	174500	175000	*	5.76095755925157e-18	7.31786227517135e-14	-11.9392652564329
NW_018387974.1	25000	25500	*	6.25287599883663e-18	7.63723286526858e-14	12.6870889294202
NW_018385996.1	75000	75500	*	6.50838554080465e-18	7.65489207297821e-14	13.5619361425248
NW_018387793.1	1226500	1227000	*	8.5180541562211e-18	9.66077416796149e-14	-8.62585648671034
NW_018388369.1	2500	3000	*	9.72039252373165e-18	1.06442574295e-13	-10.2345143416859
NW_018387970.1	330000	330500	*	2.41593907126879e-17	2.5573742453571e-13	-7.42073500270222
NW_018384213.1	598000	598500	*	3.51819169227935e-17	3.60402146929146e-13	-5.47168362294413
NW_018388258.1	16500	17000	*	7.35320334990052e-17	7.29719854003034e-13	-10.1990999913134
NW_018384289.1	508500	509000	*	7.83464437144572e-17	7.53936748855059e-13	10.8760925465762
NW_018384689.1	324500	325000	*	1.0522044842105e-16	9.82767522174896e-13	-6.85211272801564
NW_018384957.1	173500	174000	*	1.23634724554441e-16	1.12176525890364e-12	-12.3901878767817
NW_018387488.1	86500	87000	*	1.33756679685623e-16	1.17989277903177e-12	-7.51369950993716
NW_018388169.1	522500	523000	*	1.45441083532461e-16	1.23625896315163e-12	39.1775646614356
NW_018384643.1	192000	192500	*	1.47932462100991e-16	1.23625896315163e-12	16.729129536864
NW_018385343.1	62000	62500	*	2.0734440980485e-16	1.68832980886016e-12	-12.4147769076075
NW_018388136.1	441500	442000	*	2.50389213175256e-16	1.98785722507896e-12	-6.14875637414352
NW_018384662.1	264500	265000	*	2.85971871162818e-16	2.2149759998918e-12	1.26754944649406
NW_018388067.1	32500	33000	*	3.1721809581691e-16	2.39849174429879e-12	4.68975447703462
NW_018388143.1	3500	4000	*	3.63156533463357e-16	2.68197651623899e-12	-2.59129724714751
NW_018387936.1	691000	691500	*	5.2499969865452e-16	3.78909890979935e-12	-6.5613501879961
NW_018388236.1	293000	293500	*	5.62269202917578e-16	3.89622859531701e-12	-4.90894509969817
NW_018387891.1	48500	49000	*	5.64381405278061e-16	3.89622859531701e-12	-2.14069910198888
NW_018388081.1	444000	444500	*	5.93062525350349e-16	4.00711853117233e-12	7.46946387377861
NW_018384767.1	247500	248000	*	6.25374741920347e-16	4.13741099088444e-12	-3.6830539916637
NW_018384103.1	389000	389500	*	6.43211714565591e-16	4.16857317923429e-12	-10.6365598702665
NW_018385591.1	623500	624000	*	6.78413231272997e-16	4.30877552997867e-12	-16.1572004149211
NW_018387962.1	14500	15000	*	8.2983040057271e-16	5.16712216325618e-12	7.69561760093935
NW_018384354.1	388500	389000	*	9.04938687044179e-16	5.52643894028337e-12	20.2944297082228
NW_018388069.1	641000	641500	*	1.33570907475224e-15	8.00323503957144e-12	-6.5209757223019
NW_018387870.1	782000	782500	*	1.53472944571813e-15	9.02542435027708e-12	-6.40536433818429
NW_018388092.1	506000	506500	*	2.03126980497249e-15	1.16494768851365e-11	-7.37130004136118
NW_018386428.1	82000	82500	*	2.05430482638386e-15	1.16494768851365e-11	-5.98811213552333
NW_018384767.1	41000	41500	*	2.34665113039269e-15	1.30738421760662e-11	-14.6229786596406
NW_018384652.1	183500	184000	*	2.47301243952591e-15	1.35402870657759e-11	-17.7867571505506
NW_018384322.1	701000	701500	*	4.06296547897751e-15	2.18685851091391e-11	-1.02323598379876
NW_018386384.1	8500	9000	*	4.17291954729468e-15	2.20860639763447e-11	-2.54873928942893
NW_018384147.1	618000	618500	*	5.00775612593452e-15	2.60701122068633e-11	7.10367301310802
NW_018384827.1	607500	608000	*	6.28566543543361e-15	3.18150708336923e-11	9.69710662026992
NW_018388067.1	12000	12500	*	6.31166411900318e-15	3.18150708336923e-11	2.82570279222923
NW_018386096.1	230500	231000	*	8.4542834189034e-15	4.19494618099058e-11	1.57622726446284
NW_018385312.1	75000	75500	*	1.45080981799434e-14	7.08222350275173e-11	-2.97930686490285
NW_018384915.1	278000	278500	*	1.47191929793627e-14	7.08222350275173e-11	-2.59189441027474
NW_018386199.1	327000	327500	*	1.82203256903256e-14	8.63596547783318e-11	-5.48034987284409
NW_018387938.1	14500	15000	*	2.16399918444348e-14	1.01059639471112e-10	-4.1416554328493
NW_018385555.1	328500	329000	*	2.31582629375569e-14	1.06352024743633e-10	5.64132298339171
NW_018388027.1	41000	41500	*	2.34430567012516e-14	1.06352024743633e-10	1.03505911800547
NW_018388069.1	27500	28000	*	2.6320043610358e-14	1.177220511045e-10	9.98675536941833
NW_018385192.1	606500	607000	*	2.95818620636248e-14	1.30473579043755e-10	1.16897640967421
NW_018384158.1	376000	376500	*	3.75085618395345e-14	1.63168799047444e-10	-12.8100206998382
NW_018385343.1	62500	63000	*	3.94838491772743e-14	1.69440540870818e-10	-11.1936089434385
NW_018384214.1	330500	331000	*	4.80347430487156e-14	2.03387272826574e-10	-5.86222069893769
NW_018385723.1	299000	299500	*	5.67893020911001e-14	2.37291675958585e-10	-2.31179630261452
NW_018386413.1	178000	178500	*	5.82570177057391e-14	2.40263106373692e-10	-3.23487178535427
NW_018387891.1	131000	131500	*	6.44717007696603e-14	2.62484757461698e-10	1.65376277642172
NW_018387959.1	36000	36500	*	7.47187872121873e-14	3.0035321657998e-10	-5.10816812179278
NW_018386163.1	29000	29500	*	7.80266623322254e-14	3.09729525683175e-10	10.4896642841317
