chr	start	end	strand	pvalue	qvalue	meth.diff
NW_017154212.1	9000	9500	*	8.25094779502869e-15	1.9010360406709e-09	-11.1867942767493
NW_017179946.1	290500	291000	*	6.39064548195281e-12	7.36209202030268e-07	-4.25650174692087
NW_017171239.1	543500	544000	*	9.02818238739816e-11	5.33785761691796e-06	1.49924940472792
NW_017179316.1	686500	687000	*	9.26702778742548e-11	5.33785761691796e-06	2.9522379797371
NW_017180576.1	956000	956500	*	1.18431343336941e-10	5.4573670230769e-06	2.75007563321599
NW_017153562.1	149500	150000	*	1.5052056121789e-10	5.78004327191004e-06	-6.94760852789804
NW_017176997.1	116500	117000	*	3.94072711368544e-10	1.29707423674556e-05	-12.8225523370916
NW_017144747.1	270000	270500	*	4.73531279781767e-10	1.36378276110372e-05	-6.12430468201432
NW_017179946.1	149500	150000	*	2.49676083106049e-09	5.51284670709362e-05	-8.94372624452685
NW_017167275.1	131500	132000	*	2.50681285418753e-09	5.51284670709362e-05	2.4257671622766
NW_017176301.1	648000	648500	*	2.63197700359168e-09	5.51284670709362e-05	-3.83647574127732
NW_017180369.1	77000	77500	*	3.27911644642649e-09	6.02689093446617e-05	-3.40721909916362
NW_017177064.1	22000	22500	*	3.4005578970392e-09	6.02689093446617e-05	-9.81627220798858
NW_017177343.1	294000	294500	*	4.69595033607632e-09	7.72826438147459e-05	1.31826303868064
NW_017180576.1	724500	725000	*	1.15464019699132e-08	0.000175999775658962	-3.91535661661268
NW_017164740.1	1000	1500	*	1.22220930467904e-08	0.000175999775658962	-9.77766356599684
NW_017148113.1	26000	26500	*	2.17243059162573e-08	0.000294430976696564	-7.10563016435614
NW_017176396.1	1108000	1108500	*	2.73365432652201e-08	0.00032437266774917	1.61527165932452
NW_017136308.1	1173500	1174000	*	2.73832745333578e-08	0.00032437266774917	-7.65813788201848
NW_017176565.1	293500	294000	*	2.8157087929675e-08	0.00032437266774917	2.48327149230196
NW_017181113.1	447000	447500	*	3.72959624963755e-08	0.000409193791679354	-4.64432257555433
NW_017136308.1	1641000	1641500	*	4.15745955577977e-08	0.000435403447497429	-5.22484237618535
NW_017144423.1	16000	16500	*	4.46314072008644e-08	0.000447094425800248	-14.8670833800691
NW_017132978.1	1083000	1083500	*	5.39186442846335e-08	0.000517623796055288	2.73177911139333
NW_017138679.1	500	1000	*	5.68578210466217e-08	0.000524006549011348	-2.3790446777804
NW_017136637.1	486500	487000	*	5.95297292454418e-08	0.000527529888305916	-8.54241338112306
NW_017179946.1	294500	295000	*	7.2751472525266e-08	0.000620818335587161	-5.17877309006589
NW_017179316.1	762000	762500	*	8.02379495242671e-08	0.00064575804806635	7.79097555901709
NW_017135881.1	245500	246000	*	8.12795544302816e-08	0.00064575804806635	-1.54981549815498
NW_017136308.1	1263000	1263500	*	9.55991779432266e-08	0.000734208510518365	-8.41220557962855
NW_017167821.1	1310000	1310500	*	1.00337991622603e-07	0.000745744778549737	-1.7103920583029
NW_017178369.1	20500	21000	*	1.14006900312602e-07	0.000804969270975655	-4.9827123979942
NW_017162322.1	3469500	3470000	*	1.15294006293321e-07	0.000804969270975655	-9.87280518232678
NW_017143986.1	322500	323000	*	1.28214128478128e-07	0.000835155363559835	-8.90276791860265
NW_017158043.1	545000	545500	*	1.28251151878707e-07	0.000835155363559835	-7.34637168431037
NW_017133406.1	442000	442500	*	1.30491812721966e-07	0.000835155363559835	8.77280117577626
NW_017136637.1	255500	256000	*	1.35670207820584e-07	0.000844829902917952	-5.45239014705581
NW_017167275.1	8500	9000	*	1.60411306498878e-07	0.000972608119062674	10.676824344426
NW_017179316.1	818500	819000	*	1.68629096696337e-07	0.000996218076501756	-7.30382932177721
NW_017156497.1	191500	192000	*	1.85039546135178e-07	0.00106583769189615	-4.04277371938628
NW_017151272.1	1090000	1090500	*	1.89790882177133e-07	0.00106654208962172	-7.41908321605629
NW_017154651.1	74500	75000	*	1.95458396619432e-07	0.0010722388842498	-1.14870056611165
NW_017163090.1	1328500	1329000	*	2.16642351606208e-07	0.00116081073793176	-7.98165991714378
NW_017146051.1	118000	118500	*	2.32166616444766e-07	0.00121572012713067	-1.04961832061069
NW_017179316.1	879000	879500	*	2.44369515528867e-07	0.00125118354831527	2.17668238636029
NW_017179105.1	2522000	2522500	*	2.89216245850726e-07	0.00144860961686448	-10.3016335811473
NW_017178369.1	21500	22000	*	3.01794167077134e-07	0.00147944728427381	-5.30175869971601
NW_017176693.1	1213000	1213500	*	3.26148966749031e-07	0.00156552959081221	-5.2985028957278
NW_017179105.1	78000	78500	*	3.40823104992083e-07	0.00160257904558352	-3.98852996037454
NW_017160229.1	286000	286500	*	3.88163400769227e-07	0.00178867357511651	-2.01885671773103
NW_017180367.1	222000	222500	*	4.12081431690123e-07	0.00186165577055705	0.85513078470825
NW_017180576.1	335500	336000	*	4.25013176277192e-07	0.0018831528066056	1.71382750949114
NW_017181217.1	422500	423000	*	4.47325721140137e-07	0.00194330825229835	-10.6278749312025
NW_017179212.1	282000	282500	*	4.55458638448531e-07	0.00194330825229835	9.03106937807746
NW_017133727.1	636500	637000	*	4.71611580000265e-07	0.00197564214450487	0.725711975561001
NW_017162322.1	3081000	3081500	*	6.53600961959469e-07	0.00265960821355321	-6.24531393808786
NW_017148872.1	161500	162000	*	6.57969874941571e-07	0.00265960821355321	-8.11324815953465
NW_017136095.1	0	500	*	6.98215558229025e-07	0.00277362689283858	-4.93646770464864
NW_017179946.1	145500	146000	*	7.16030729010781e-07	0.00279618666580361	-4.31138784181342
NW_017135881.1	1082000	1082500	*	9.0090288568789e-07	0.00345949923447782	-0.508136774708984
NW_017151812.1	368500	369000	*	9.61115426636649e-07	0.00363021397447951	5.29799859603102
NW_017166721.1	895000	895500	*	9.94820529524543e-07	0.00365732973311692	-6.59250800049738
NW_017176301.1	124500	125000	*	1.01324097383574e-06	0.00365732973311692	-3.49661953759222
NW_017176883.1	314000	314500	*	1.01591548360981e-06	0.00365732973311692	-17.7043278372645
NW_017176301.1	360500	361000	*	1.04567988917171e-06	0.00370656747229023	-0.591009810976609
NW_017173655.1	42000	42500	*	1.08248587991589e-06	0.00377889492095745	0.808373259392461
NW_017152138.1	976500	977000	*	1.21846274719678e-06	0.00417513884989879	-11.4262154944814
NW_017174431.1	162500	163000	*	1.2322343883202e-06	0.00417513884989879	1.44556576237045
NW_017176894.1	632000	632500	*	1.39190590359912e-06	0.0046477985628438	1.535910863882
NW_017160008.1	1094500	1095000	*	1.53846070806522e-06	0.00506378059456776	-4.6990050712181
NW_017160008.1	1149000	1149500	*	1.60118382464181e-06	0.00519600256331209	0.606782826002125
NW_017139212.1	984000	984500	*	1.66682104837079e-06	0.00533387692914992	0.97256545654635
NW_017147017.1	592500	593000	*	1.70690546077264e-06	0.00538732429251381	-3.56347438752784
NW_017180576.1	416500	417000	*	1.73695971642708e-06	0.00540809781371486	-5.55850611345666
NW_017162322.1	2896500	2897000	*	1.87185128305457e-06	0.00575038058699441	1.12471390867324
NW_017153562.1	252500	253000	*	1.90338002566463e-06	0.0057703004452373	1.84768191120013
NW_017173655.1	465500	466000	*	1.9641162538085e-06	0.00587709858264676	-7.9801599209221
NW_017156169.1	253500	254000	*	2.16831353346115e-06	0.00640026855958326	-2.51159821813915
NW_017176301.1	353000	353500	*	2.19451613211458e-06	0.00640026855958326	-1.2782059807046
NW_017155624.1	1883500	1884000	*	2.24361311351489e-06	0.00641315029083088	1.37575236457438
NW_017171129.1	602000	602500	*	2.26020826516296e-06	0.00641315029083088	-4.28441656040262
NW_017171239.1	1166000	1166500	*	2.28496944216497e-06	0.00641315029083088	-7.20014176408562
NW_017132891.1	8500	9000	*	2.31027138407617e-06	0.00641315029083088	4.08334413267852
NW_017176894.1	361500	362000	*	2.37550733078978e-06	0.0065157378090352	-5.19302227315658
NW_017167275.1	215000	215500	*	2.4100491666037e-06	0.00652748126544435	-6.74325350867361
NW_017132550.1	229500	230000	*	2.43645039660972e-06	0.00652748126544435	-10.6694687236312
NW_017172225.1	424500	425000	*	2.566574191627e-06	0.00679705965343826	-10.4237533385106
NW_017149416.1	34000	34500	*	2.60735739576853e-06	0.00680850968648659	-0.440149882526105
NW_017176693.1	312000	312500	*	2.64990754305774e-06	0.00680850968648659	0.6982066666713
NW_017165837.1	1122500	1123000	*	2.65954937754838e-06	0.00680850968648659	0.941176470588235
NW_017176894.1	1107000	1107500	*	2.97781528401565e-06	0.00751947857257224	-7.93298123207317
NW_017151448.1	3500	4000	*	3.02053734299705e-06	0.00751947857257224	-1.10608936002339
NW_017139431.1	110500	111000	*	3.06593914354149e-06	0.00751947857257224	-1.28165314646855
NW_017151812.1	164000	164500	*	3.06781430712174e-06	0.00751947857257224	-5.87237036715386
NW_017160008.1	1076500	1077000	*	3.10072245898277e-06	0.00752013783663738	-15.4273865294524
NW_017176894.1	791500	792000	*	3.19232946370661e-06	0.00766166192226522	-5.12767567824791
NW_017136308.1	1643500	1644000	*	3.36794680019375e-06	0.00799981603024274	-6.7947034173219
NW_017152577.1	359500	360000	*	3.47556145844326e-06	0.00817119186369166	0.914318688315823
NW_017159898.1	926500	927000	*	3.55381356174182e-06	0.00827077025062558	-0.690633720170162
NW_017151702.1	14000	14500	*	3.59909661589602e-06	0.00829239567458832	0.615312181012309
NW_017153562.1	337000	337500	*	3.65521162709272e-06	0.00833830283370328	-3.90146532640175
NW_017144747.1	269500	270000	*	3.84529072720037e-06	0.0086859139010481	-11.5906631918637
NW_017172225.1	677000	677500	*	3.92528683316929e-06	0.00878052904880523	-5.79293258069973
NW_017178600.1	15500	16000	*	4.05173844455072e-06	0.00897624244302394	-1.07854375695064
NW_017170028.1	75000	75500	*	4.16444200047912e-06	0.00913806052100361	0.938478711273148
NW_017163090.1	1002500	1003000	*	4.31266693617569e-06	0.00931766643335917	-0.81008100810081
NW_017180367.1	545000	545500	*	4.39894129220195e-06	0.00931766643335917	2.47422680412371
NW_017163168.1	500	1000	*	4.41714008707413e-06	0.00931766643335917	0.507311250373023
NW_017151492.1	1084000	1084500	*	4.42267827781716e-06	0.00931766643335917	1.08853410740203
NW_017179946.1	426500	427000	*	4.44849731594813e-06	0.00931766643335917	-1.23568217097561
NW_017179316.1	278500	279000	*	4.78984614508924e-06	0.00994225953939488	-8.12998183368554
NW_017178472.1	199500	200000	*	4.84502045775322e-06	0.00996699186305058	-1.22010867355297
NW_017167275.1	130500	131000	*	5.09587580683641e-06	0.010390271666156	-3.38957201745388
NW_017139974.1	102000	102500	*	5.15893195102979e-06	0.0104265699028693	1.74395545326925
NW_017137815.1	86500	87000	*	5.30580157130273e-06	0.0106301569038841	-1.88302499033314
NW_017179105.1	3470000	3470500	*	5.5532619098036e-06	0.0110300296194167	-1.17314708272092
NW_017158043.1	545500	546000	*	5.97798486284529e-06	0.0117721411430844	-6.76295746243523
NW_017147017.1	1236500	1237000	*	6.2175496254785e-06	0.0121401419327029	0.651650251716155
NW_017136529.1	385000	385500	*	6.50481083654024e-06	0.0125943054305276	-0.968610400584323
NW_017131558.1	4000	4500	*	6.74924145318952e-06	0.012958664031133	-1.49476937504924
NW_017131077.1	144000	144500	*	7.15432933298248e-06	0.0136229156917452	1.13744075829384
NW_017157935.1	127500	128000	*	7.36299170945811e-06	0.0139053201399485	-0.524765208521189
NW_017172225.1	3096500	3097000	*	7.80654610016708e-06	0.014623129581518	-4.95263285741275
NW_017176565.1	489000	489500	*	8.0801079202555e-06	0.0150135013522922	-16.9239094239094
NW_017156497.1	17000	17500	*	8.14734372565583e-06	0.0150173235298254	-4.68489435504231
NW_017179105.1	3317000	3317500	*	8.27446727230702e-06	0.0151305950682601	-0.898768057490651
NW_017145181.1	355500	356000	*	8.34644948264318e-06	0.0151420459370547	0.686293357009938
NW_017162322.1	2784500	2785000	*	8.43720056758246e-06	0.0151470200332719	-0.476974889928119
NW_017167384.1	821000	821500	*	8.56643027795973e-06	0.0151470200332719	-5.78799624475986
NW_017151702.1	55500	56000	*	8.59131052056371e-06	0.0151470200332719	-4.17138207918439
NW_017179105.1	3104000	3104500	*	8.61215790868872e-06	0.0151470200332719	-7.22524157881156
