chr	start	end	name	NcpgMeasured	Nmcpg	mCpG_per_CpG	fracMeth	mnMeth	medMeth	sdMeth	stdErrMeth	maxMeth	minMeth
Spis.scaffold1000|size75405	69018	70018	SpisGene22569	24	1	0.041666666666666664	0.011848341232227487	1.5692640692640705	0	4.083475709992204	0.8335359888775132	16.6666666666667	0
Spis.scaffold1000|size75405	53171	54171	SpisGene22568	487	1	0.002053388090349076	0.0012253024965538366	0.2983465012393627	0	4.593525688904599	0.20815251799754914	100	0
Spis.scaffold1000|size75405	0	748	SpisGene22565	357	301	0.8431372549019608	0.13077917879081796	13.718003052844505	13.0769230769231	9.720063471787329	0.5144403118354788	75	0
Spis.scaffold1000|size75405	46553	47553	SpisGene22567	1058	1	9.45179584120983e-4	7.32377174244736e-4	0.0643760817499749	0	0.7044939633943286	0.021658802557439877	15.3846153846154	0
Spis.scaffold1000|size75405	35180	36180	SpisGene22566	1321	1	7.57002271006813e-4	0.0015486129814166441	0.12419174761447742	0	0.7902561019810832	0.021742848967884264	14.2857142857143	0
Spis.scaffold1001|size75394	3917	4917	SpisGene22570	853	10	0.011723329425556858	0.004566473988439307	0.3599297786035265	0	1.4719706127579701	0.05039931386448309	25	0
Spis.scaffold1001|size75394	48607	49607	SpisGene22572	652	0	0	9.78841954672088e-4	0.08692780428511301	0	0.642547135545153	0.025164087926278497	6.66666666666667	0
Spis.scaffold1001|size75394	34747	35747	SpisGene22571	1352	3	0.0022189349112426036	0.0013008567711837796	0.12724924854830572	0	1.1661302385212315	0.031714561515579415	25	0
Spis.scaffold1001|size75394	73233	74233	SpisGene22574	1057	0	0	0.004405286343612335	0.36476400714811325	0	2.0626720510097605	0.06344431172807927	16.6666666666667	0
Spis.scaffold1001|size75394	58519	59519	SpisGene22573	936	0	0	0.001495628163828808	0.13784944874688468	0	1.2289160926549358	0.040168379083434215	16.6666666666667	0
Spis.scaffold1002|size75132	7900	8900	SpisGene22577	696	6	0.008620689655172414	0.0028045574057843996	0.34784739526118835	0	2.5516150445151147	0.09671871866067161	25	0
Spis.scaffold1002|size75132	305	1305	SpisGene22575	1004	0	0	6.238025219444816e-4	0.06169942548569913	0	0.5380274470046922	0.01697999566311814	7.69230769230769	0
Spis.scaffold1002|size75132	71861	72861	SpisGene22580	329	1	0.00303951367781155	0.0017594018033868484	0.22445639466916062	0	1.6069429107653443	0.0885936304882993	20	0
Spis.scaffold1002|size75132	23202	24202	SpisGene22578	1152	151	0.1310763888888889	0.06577633549675486	2.206340755465142	0	5.804375931373305	0.1710130659012513	36.3636363636364	0
Spis.scaffold1002|size75132	58818	59818	SpisGene22579	908	3	0.003303964757709251	0.0019157088122605363	0.19133674695348707	0	2.0809248274207044	0.0690579158823126	37.5	0
Spis.scaffold1002|size75132	8320	9320	SpisGene22576	889	0	0	0.0015316067947646894	0.11350416862227881	0	1.0235699430710692	0.03432943406390396	11.1111111111111	0
Spis.scaffold1003|size75004	40121	41121	SpisGene22582	96	96	1	0.7033457249070632	68.06903079567111	69.78260869565216	17.634611751682115	1.799825025154543	100	28.5714285714286
Spis.scaffold1003|size75004	60000	61000	SpisGene22584	385	0	0	4.833252779120348e-4	0.039960039960039946	0	0.553700678345101	0.028219199561568913	7.69230769230769	0
Spis.scaffold1003|size75004	10613	11613	SpisGene22581	1246	0	0	0.003112924001717475	0.24846875970471477	0	1.6507443428429374	0.04676498468382418	16.6666666666667	0
Spis.scaffold1003|size75004	72984	73984	SpisGene22585	120	112	0.9333333333333333	0.49314079422382673	58.38937148132027	55.9027777777778	30.432823740368487	2.778124008529761	100	0
Spis.scaffold1003|size75004	58433	59433	SpisGene22583	1262	40	0.03169572107765452	0.009420098722634614	0.6855021346236521	0	2.1568503367824174	0.06071420785844307	21.4285714285714	0
Spis.scaffold1004|size74917	41979	42979	SpisGene22588	1320	2	0.0015151515151515152	0.0011211729193617939	0.11236553850190217	0	1.2258831431889239	0.03374132302325507	20	0
Spis.scaffold1004|size74917	4502	5502	SpisGene22586	311	243	0.7813504823151125	0.4053806175481504	37.06076130191356	35.7142857142857	25.524557437382427	1.4473648661846477	100	0
Spis.scaffold1004|size74917	39318	40318	SpisGene22587	1436	155	0.10793871866295264	0.048870204939569103	3.782040176248806	0	8.058404274597994	0.21265315544682056	58.3333333333333	0
Spis.scaffold1004|size74917	70184	71184	SpisGene22590	192	187	0.9739583333333334	0.4963308872581721	49.05988109113109	50	16.307399112686554	1.1768851584365305	88.8888888888889	0
Spis.scaffold1004|size74917	49582	50582	SpisGene22589	1129	0	0	0.0010021295252411375	0.07996260210609193	0	0.9744515893618645	0.029001021636960653	16.6666666666667	0
Spis.scaffold1005|size74808	53946	54946	SpisGene22593	771	0	0	7.301935012778386e-4	0.0668948297876994	0	0.6638043957501347	0.023906331366392346	8.33333333333333	0
Spis.scaffold1005|size74808	25111	26111	SpisGene22591	597	2	0.0033500837520938024	9.957679860592482e-4	0.1288851665736087	0	1.72860891024824	0.07074725302110965	33.3333333333333	0
Spis.scaffold1005|size74808	25326	26326	SpisGene22592	499	12	0.02404809619238477	0.012082045518404047	0.7338448446981303	0	3.1736350115796452	0.1420714149550951	33.3333333333333	0
Spis.scaffold1005|size74808	74521	75521	SpisGene22594	317	1	0.0031545741324921135	6.635700066357001e-4	0.06309148264984227	0	1.1233119126034634	0.06309148264984227	20	0
Spis.scaffold1006|size74469	68938	69938	SpisGene22597	865	0	0	0.0017040129504984239	0.16421969778679193	0	1.1900094145192859	0.04046153395788262	16.6666666666667	0
Spis.scaffold1006|size74469	30042	31042	SpisGene22595	582	0	0	0.0011629670829751732	0.11375354528102113	0	0.5950175331998119	0.02466427027513258	5.55555555555556	0
Spis.scaffold1006|size74469	63706	64706	SpisGene22596	576	0	0	4.298302170642596e-4	0.034722222222222224	0	0.5887430317956417	0.02453095965815169	10	0
Spis.scaffold1007|size74466	41322	42322	SpisGene22600	818	807	0.9865525672371638	0.5094807153630683	62.460322005635604	66.6666666666667	26.858036569177177	0.9390692267635797	100	0
Spis.scaffold1008|size74275	0	733	SpisGene22601	62	0	0	0	0	0	0	0	0	0
Spis.scaffold1008|size74275	63103	64103	SpisGene22604	30	0	0	0	0	0	0	0	0	0
Spis.scaffold1008|size74275	16554	17554	SpisGene22602	77	1	0.012987012987012988	0.011904761904761904	1.2987012987012987	0	11.396057645963793	1.2987012987012987	100	0
Spis.scaffold1008|size74275	38177	39177	SpisGene22603	102	0	0	0	0	0	0	0	0	0
Spis.scaffold1008|size74275	64244	65244	SpisGene22605	86	0	0	0	0	0	0	0	0	0
Spis.scaffold1009|size73623	59608	60608	SpisGene22608	648	0	0	6.740563211503894e-4	0.0655285374825898	0	0.5862063503717146	0.02302836030680316	8.33333333333333	0
Spis.scaffold1009|size73623	0	105	SpisGene22606	36	0	0	0.002320185614849188	0.1485339506172839	0	0.6304114883707328	0.10506858139512204	3.125	0
Spis.scaffold1009|size73623	10935	11935	SpisGene22607	1017	0	0	0.0018484288354898336	0.2043050626844556	0	1.2552081541674376	0.03936001682635154	12.5	0
