chr	start	end	strand	pvalue	qvalue	meth.diff
Spis.scaffold89|size807476	75426	75926	*	6.04301754271013e-22	1.2535049601018e-17	7.70713718900247
Spis.scaffold68|size919859	696563	697063	*	4.89651441993483e-19	5.07842734959665e-15	8.84003880167213
Spis.scaffold77|size865837	475915	476415	*	9.19624285943888e-17	6.35859814357889e-13	6.08814450990514
Spis.scaffold673|size151775	63802	64302	*	1.14024374029101e-12	5.91302761442427e-09	-3.70500258224809
Spis.scaffold889|size93265	76647	77147	*	5.16979944364509e-12	2.14474613040238e-08	5.51371763508984
Spis.scaffold106|size728953	452455	452955	*	7.89111681303186e-12	2.7280945862912e-08	4.39544966263096
Spis.scaffold97|size745624	276012	276512	*	1.70812902601862e-11	5.06168173545569e-08	-1.99070478390299
Spis.scaffold875|size97096	29129	29629	*	4.22875589748676e-10	9.8983173493055e-07	-6.52227171840483
Spis.scaffold82|size829494	736424	736924	*	4.2946886179275e-10	9.8983173493055e-07	4.46026059079381
Spis.scaffold280|size416857	218106	218606	*	7.00262648486573e-10	1.45255693376372e-06	-9.01711812264721
Spis.scaffold1157|size56529	947	1447	*	9.85933246926603e-10	1.8592039288876e-06	-2.21407048570006
Spis.scaffold161|size594135	436186	436686	*	1.12701612595168e-09	1.9481441377183e-06	59.7727272727273
Spis.scaffold4494|size1269	809	1309	*	2.21148187208587e-09	3.52867965286765e-06	4.57266956821131
Spis.scaffold422|size288843	64479	64979	*	2.99669553483385e-09	4.17698884416886e-06	15.3045783283414
Spis.scaffold97|size745624	397818	398318	*	3.0205245688418e-09	4.17698884416886e-06	-16.46453189076
Spis.scaffold259|size437420	255758	256258	*	4.14222227116933e-09	5.37014013079702e-06	20.952380952381
Spis.scaffold16|size1433473	1075989	1076489	*	4.62779207744228e-09	5.64673125285346e-06	0.613352124201577
Spis.scaffold16|size1433473	1076198	1076698	*	6.92379655114453e-09	7.89447098280318e-06	0.523841834990108
Spis.scaffold865|size98437	28804	29304	*	7.23110107260211e-09	7.89447098280318e-06	3.2618210356329
Spis.scaffold124|size669885	639630	640130	*	8.06181189784826e-09	8.36132042471984e-06	-3.3486645771782
Spis.scaffold778|size120596	115409	115909	*	1.2078738685654e-08	1.19309353609002e-05	6.94006309148265
Spis.scaffold24|size1311709	11760	12260	*	1.27223506376044e-08	1.19954593091639e-05	2.60919505698482
Spis.scaffold129|size656430	94352	94852	*	2.27388311132679e-08	1.93294454260315e-05	-9.91379310344828
Spis.scaffold2026|size14134	41	541	*	2.32921038924117e-08	1.93294454260315e-05	2.73705368522664
Spis.scaffold440|size275035	175511	176011	*	2.35393879913865e-08	1.93294454260315e-05	-0.712252978708097
Spis.scaffold631|size165656	120646	121146	*	2.42281659784009e-08	1.93294454260315e-05	1.77540541528529
Spis.scaffold96|size773654	646377	646877	*	3.29209031623418e-08	2.52918256259105e-05	6.11124542679553
Spis.scaffold133|size651902	497987	498487	*	3.45852258919697e-08	2.56215138826527e-05	-22.9603935171576
Spis.scaffold77|size865837	270302	270802	*	3.79418904804415e-08	2.71389580686226e-05	-1.84156279339021
Spis.scaffold175|size571308	549487	549987	*	6.4527920463326e-08	4.46168203187433e-05	-1.45189788752021
Spis.scaffold37|size1173565	220678	221178	*	7.31101372184163e-08	4.8920186831623e-05	11.4368279196421
Spis.scaffold739|size131785	125675	126175	*	8.82336718364594e-08	5.6940542389724e-05	6.51165919253227
Spis.scaffold3369|size2465	0	251	*	9.05864703184851e-08	5.6940542389724e-05	6.98594364919243
Spis.scaffold758|size123632	60814	61314	*	1.09428942208596e-07	6.6761407772396e-05	-3.20404721753794
Spis.scaffold378|size318656	93214	93714	*	1.17405025092077e-07	6.95810283775138e-05	5.51424965274663
Spis.scaffold484|size241899	230084	230584	*	1.29722165843001e-07	7.47453004737806e-05	4.23588777764803
Spis.scaffold822|size108893	68685	69185	*	1.49241107486266e-07	8.30153260599827e-05	-5.43619256417283
Spis.scaffold105|size730061	705128	705628	*	1.52079148716207e-07	8.30153260599827e-05	-15.4115863515853
Spis.scaffold153|size607975	262450	262950	*	1.58314643520446e-07	8.42032166143092e-05	2.47697896523159
Spis.scaffold386|size312804	45858	46358	*	1.95045615646647e-07	0.00010114592789579	3.67182715966911
Spis.scaffold41|size1098636	786353	786853	*	2.40484977188948e-07	0.0001216679797379	-2.38787613052816
Spis.scaffold65|size951192	71454	71954	*	3.22191550924399e-07	0.000159124502481075	0.705879667687496
Spis.scaffold534|size208876	103651	104151	*	3.37860921928561e-07	0.000162982775390091	2.03038319016402
Spis.scaffold1097|size63166	60522	61022	*	3.46149529625849e-07	0.000163186140509288	1.5648676250962
Spis.scaffold85|size820951	269176	269676	*	3.81016259503069e-07	0.000175631818151543	-2.13253548355542
Spis.scaffold2236|size10507	5245	5745	*	5.48884090825353e-07	0.000247455563511237	2.94549941393836
Spis.scaffold770|size121928	41100	41600	*	5.60690087953498e-07	0.000247455563511237	-7.55048705155619
Spis.scaffold727|size136689	120180	120680	*	5.78468002911206e-07	0.000249982902369178	10.2621536419446
Spis.scaffold469|size249087	164593	165093	*	5.99643263890261e-07	0.000253845273344565	-0.999423503958035
Spis.scaffold240|size468294	435035	435535	*	6.82667072959261e-07	0.000283211675625499	2.49213282007721
Spis.scaffold724|size137401	75830	76330	*	7.54903046597673e-07	0.000307038760224028	2.00401107405227
Spis.scaffold13|size1486765	304959	305459	*	7.97817293784302e-07	0.000318252851947104	-2.00020771872906
Spis.scaffold3661|size1826	1250	1750	*	9.52485852027046e-07	0.000372781941354805	32.1497405485545
Spis.scaffold595|size177931	83858	84358	*	1.24936998231168e-06	0.000479920729681254	-1.25178389398573
Spis.scaffold378|size318656	192759	193259	*	1.371522994364e-06	0.000517264418789005	-4.23032949603845
Spis.scaffold669|size153243	14343	14843	*	1.9984775387122e-06	0.000729706735899541	-1.08765195137556
Spis.scaffold482|size242258	139543	140043	*	2.00516912614246e-06	0.000729706735899541	10.1393331911566
Spis.scaffold836|size103141	46509	47009	*	2.11686937968931e-06	0.000757073891214697	3.29226665322231
Spis.scaffold91|size804025	418686	419186	*	2.20675027202211e-06	0.00076723995303089	-3.17338848749001
Spis.scaffold167|size590539	574057	574557	*	2.21927059399457e-06	0.00076723995303089	-4.3672990665381
Spis.scaffold380|size316698	103157	103657	*	2.76463327418407e-06	0.000940112652183049	9.59915920779456
Spis.scaffold594|size178163	24075	24575	*	2.8867788356804e-06	0.000954700976628313	-2.54759871269959
Spis.scaffold110|size717754	597653	598153	*	2.89958413254582e-06	0.000954700976628313	18.5384545205729
Spis.scaffold53|size1026093	767797	768297	*	2.99248653451448e-06	0.000969894357294437	-2.0530280574098
Spis.scaffold100|size737703	266388	266888	*	3.5423873352509e-06	0.00111370866793581	3.6995793340971
Spis.scaffold283|size415529	355597	356097	*	3.54358890721117e-06	0.00111370866793581	2.15089994301061
Spis.scaffold818|size110821	45158	45658	*	4.43207717207684e-06	0.00135586001810762	-7.54336963438069
Spis.scaffold360|size338342	258251	258751	*	4.55215418682384e-06	0.00135586001810762	-4.20094683261945
Spis.scaffold40|size1103938	425041	425541	*	4.55410830305878e-06	0.00135586001810762	22.7598566308244
Spis.scaffold346|size353960	29314	29814	*	4.58216890072033e-06	0.00135586001810762	-14.0511601301348
Spis.scaffold197|size528546	8254	8754	*	4.64088707769848e-06	0.00135586001810762	13.9545041375972
Spis.scaffold380|size316698	253970	254470	*	5.47326048272483e-06	0.00157683344513249	0.916954353663214
Spis.scaffold815|size111472	73501	74001	*	5.56106266479631e-06	0.00158018207360165	1.08974358974359
Spis.scaffold60|size987432	932405	932905	*	6.15646939187268e-06	0.00172572744804451	0.672418125821025
Spis.scaffold960|size80391	45293	45793	*	6.34313387415855e-06	0.00175434424223798	-11.1864166961443
Spis.scaffold831|size103815	40135	40635	*	6.53555207724361e-06	0.00178377835243812	5.27824314978568
Spis.scaffold1483|size32493	0	270	*	6.63009554539765e-06	0.00178608146506714	-2.72678105737316
Spis.scaffold146|size623878	533143	533643	*	6.98801676569462e-06	0.00185836722472932	4.22413624287682
Spis.scaffold68|size919859	739410	739910	*	8.10877661858426e-06	0.0020969869457842	5.99511648700397
Spis.scaffold233|size477284	292576	293076	*	8.17459017845909e-06	0.0020969869457842	0.865717460559173
Spis.scaffold907|size89550	73919	74419	*	8.18857901314959e-06	0.0020969869457842	-8.92343365682935
Spis.scaffold2380|size8657	7474	7974	*	8.90728192576968e-06	0.00225321974273018	-0.829537178821836
Spis.scaffold238|size470170	352287	352787	*	9.56555177785333e-06	0.00239058470353274	-1.94929340183806
Spis.scaffold130|size653794	203477	203977	*	1.02879710410939e-05	0.00254052017931082	2.14514473022035
Spis.scaffold140|size628096	407093	407593	*	1.04721396130891e-05	0.00255557540390436	-1.39484978540773
Spis.scaffold96|size773654	311590	312090	*	1.06158558069469e-05	0.00256052347321047	0.540072310330358
Spis.scaffold134|size650799	29300	29800	*	1.09106998488108e-05	0.00260139054702471	5.051397365885
Spis.scaffold1172|size55077	15741	16241	*	1.24271102214437e-05	0.00292927186252846	3.66481208629297
Spis.scaffold213|size503823	226447	226947	*	1.35871846710708e-05	0.00316673464454933	2.05785489942956
Spis.scaffold228|size482955	99808	100308	*	1.49399730739799e-05	0.00344333682444469	0.819252432155658
Spis.scaffold341|size359216	323019	323519	*	1.58844812134549e-05	0.0036207942325122	11.7006802721088
Spis.scaffold10|size1615166	668745	669245	*	1.63863707444591e-05	0.0036945976620544	-0.885921270838788
Spis.scaffold4383|size1311	540	1040	*	1.67218023202036e-05	0.00372968658332544	4.23291530854649
Spis.scaffold154|size605954	478421	478921	*	1.7314313298397e-05	0.00382075878111499	7.24798202677276
Spis.scaffold390|size305563	71245	71745	*	1.77755160151252e-05	0.00388124281424991	10.2470766174545
Spis.scaffold1|size2969787	1012187	1012687	*	2.05279377581635e-05	0.00443553786433652	-5.22587639049005
Spis.scaffold1214|size50811	11003	11503	*	2.09138872932285e-05	0.00447234430801649	18.2548568959082
Spis.scaffold456|size261370	238043	238543	*	2.27965848298121e-05	0.00477409909863565	-3.57973856760635
Spis.scaffold134|size650799	303384	303884	*	2.29741938760961e-05	0.00477409909863565	-6.47058823529412
Spis.scaffold213|size503823	178756	179256	*	2.30154371318554e-05	0.00477409909863565	-3.64457593405094
Spis.scaffold103|size733759	645685	646185	*	2.45256980214172e-05	0.00496835957266918	16.3404496504818
Spis.scaffold126|size661918	103657	104157	*	2.45945077748922e-05	0.00496835957266918	-5.6088763428213
Spis.scaffold105|size730061	177794	178294	*	2.46705051532498e-05	0.00496835957266918	-9.01839952416705
Spis.scaffold352|size344925	336466	336966	*	2.68948977373305e-05	0.00531679321468245	0.970497351143297
Spis.scaffold372|size322966	36864	37364	*	2.69132947012136e-05	0.00531679321468245	6.00977772533021
Spis.scaffold977|size78613	2018	2518	*	2.80364555578848e-05	0.00548642497383742	-0.63391442155309
Spis.scaffold361|size336447	20396	20896	*	3.02386042848288e-05	0.00586205873833221	11.9971146793718
Spis.scaffold255|size440107	110750	111250	*	3.18682452243135e-05	0.00612077755918828	2.76211794279049
Spis.scaffold261|size435758	315292	315792	*	3.25450523304425e-05	0.00619342207985391	2.87664192192956
Spis.scaffold146|size623878	517010	517510	*	3.36433560942205e-05	0.00634422868143687	1.58898305084746
Spis.scaffold1260|size46650	12316	12816	*	3.42157873563016e-05	0.00639404607183608	3.83827485619014
Spis.scaffold285|size414883	360537	361037	*	4.07195611226854e-05	0.00754149187762462	-1.69238560173804
Spis.scaffold6|size2077585	680749	681249	*	4.23564210781004e-05	0.00771765131546092	-1.67386628249772
Spis.scaffold87|size810829	31957	32457	*	4.24148370372874e-05	0.00771765131546092	3.60066213387411
Spis.scaffold33|size1214876	1101935	1102435	*	4.49963497986542e-05	0.00811617954260204	2.15490649438555
Spis.scaffold939|size83648	6503	7003	*	4.60809486292863e-05	0.00824015960180748	-3.99017345343557
Spis.scaffold358|size339200	247420	247920	*	4.66217343973719e-05	0.00825064533872681	6.77923379878267
Spis.scaffold1214|size50811	31463	31963	*	4.69350975121285e-05	0.00825064533872681	14.4965147453083
Spis.scaffold12|size1521465	781422	781922	*	4.92732079367727e-05	0.00858887096941167	2.44706234087768
Spis.scaffold1950|size16086	807	1307	*	5.5019791529191e-05	0.00944528514347854	0.309373430068317
Spis.scaffold175|size571308	549147	549647	*	5.50970367234117e-05	0.00944528514347854	-0.918964076858814
