chr	start	end	strand	pvalue	qvalue	meth.diff
NW_004582014.1	7129641	7129861	*	2.42737708979359e-22	7.09579804725618e-18	21.5714329957571
NW_004582014.1	7138193	7138321	*	4.84034428673654e-22	7.09579804725618e-18	23.4422072994044
NW_004582011.1	7953515	7953651	*	1.05688456258511e-17	1.03290716129656e-13	25.5876962307754
NW_004581750.1	261937	262039	*	1.05379326012288e-14	6.48338805267534e-11	29.0103908955962
NW_004581739.1	1378327	1378518	*	1.10564837494205e-14	6.48338805267534e-11	21.4399072208997
NW_004581708.1	1754783	1756119	*	1.75986921923817e-14	8.59971648677626e-11	28.5391371738569
NW_004581685.1	189544	189711	*	3.69967781448325e-13	1.45435704931422e-09	32.9149706015378
NW_004582016.1	6476357	6477141	*	3.96831408540168e-13	1.45435704931422e-09	13.7608531290203
NW_004582011.1	7961468	7961701	*	6.02983431163323e-13	1.96434541746721e-09	18.4637746819194
NW_004582025.1	1760743	1761022	*	6.96315276327023e-13	2.041554189265e-09	23.0237378153438
NW_004581726.1	565604	565762	*	1.47326408258093e-12	3.92683727399546e-09	24.1449004975124
NW_004582019.1	2794211	2794428	*	4.40331472815814e-12	9.22160851100028e-09	35.6017283009277
NW_004582019.1	2794211	2794428	*	4.40331472815814e-12	9.22160851100028e-09	35.6017283009277
NW_004582019.1	2794211	2794428	*	4.40331472815814e-12	9.22160851100028e-09	35.6017283009277
NW_004581720.1	670606	670829	*	9.56537976808047e-12	1.8696742506684e-08	37.8684807256236
NW_004582020.1	4353149	4353433	*	1.39269384025824e-11	2.55205870871867e-08	33.9654762847415
NW_004582028.1	2292206	2293512	*	2.07273977229943e-11	3.5747925834057e-08	24.0739866194412
NW_004582029.1	5053816	5054078	*	4.66495935486573e-11	7.01228268501322e-08	26.4895729890765
NW_004582021.1	828288	828430	*	4.78337492207942e-11	7.01228268501322e-08	19.2598923479779
NW_004582021.1	828288	828430	*	4.78337492207942e-11	7.01228268501322e-08	19.2598923479779
NW_004582078.1	34510	34851	*	1.81385153110541e-10	2.36852958292863e-07	34.032634032634
NW_004582078.1	34510	34851	*	1.81385153110541e-10	2.36852958292863e-07	34.032634032634
NW_004581684.1	3023614	3025072	*	1.9636085803117e-10	2.36852958292863e-07	25.921444527178
NW_004581684.1	3023614	3025072	*	1.9636085803117e-10	2.36852958292863e-07	25.921444527178
NW_004581728.1	528318	528550	*	2.18116032245634e-10	2.36852958292863e-07	29.7009833433675
NW_004581728.1	528318	528550	*	2.18116032245634e-10	2.36852958292863e-07	29.7009833433675
NW_004581728.1	528318	528550	*	2.18116032245634e-10	2.36852958292863e-07	29.7009833433675
NW_004582020.1	4266511	4267623	*	2.34788311154109e-10	2.45851820967584e-07	33.0758962623951
NW_004582173.1	13644	14354	*	2.44735309566744e-10	2.47430722485066e-07	17.7127067678574
NW_004582023.1	1895864	1896053	*	4.68136598862888e-10	4.28197445215531e-07	26.8969077002487
NW_004582023.1	1895864	1896053	*	4.68136598862888e-10	4.28197445215531e-07	26.8969077002487
NW_004582026.1	5156219	5156337	*	5.11160312983379e-10	4.28197445215531e-07	36.5034965034965
NW_004582026.1	5156219	5156337	*	5.11160312983379e-10	4.28197445215531e-07	36.5034965034965
NW_004582026.1	5156219	5156337	*	5.11160312983379e-10	4.28197445215531e-07	36.5034965034965
NW_004582026.1	5156219	5156337	*	5.11160312983379e-10	4.28197445215531e-07	36.5034965034965
NW_004582014.1	5396979	5399720	*	5.75821726407506e-10	4.68965112094545e-07	13.6238056866582
NW_004581681.1	1279513	1283224	*	8.20872083912773e-10	6.50472216272699e-07	19.6389160426891
NW_004581717.1	2031741	2031855	*	1.01365701235994e-09	7.82100243810792e-07	31.1182795698925
NW_004582023.1	2586709	2586954	*	1.05886646585005e-09	7.96033924140292e-07	33.2147852147852
NW_004582008.1	3920240	3921054	*	1.19271834001519e-09	8.74244471741136e-07	36.2261268143621
NW_004581687.1	1795505	1795652	*	1.29107648869883e-09	9.23258053123184e-07	21.8697691719535
NW_004582016.1	2026351	2026622	*	1.52384846949406e-09	9.50602416617851e-07	29.5238095238095
NW_004582016.1	2026351	2026622	*	1.52384846949406e-09	9.50602416617851e-07	29.5238095238095
NW_004582016.1	2026351	2026622	*	1.52384846949406e-09	9.50602416617851e-07	29.5238095238095
NW_004582016.1	2026351	2026622	*	1.52384846949406e-09	9.50602416617851e-07	29.5238095238095
NW_004582016.1	2026351	2026622	*	1.52384846949406e-09	9.50602416617851e-07	29.5238095238095
NW_004582016.1	2026351	2026622	*	1.52384846949406e-09	9.50602416617851e-07	29.5238095238095
NW_004581723.1	146403	147404	*	1.63371139038284e-09	9.97904746623114e-07	24.4640088593577
NW_004581714.1	929983	932995	*	1.8128646922384e-09	1.06965819161315e-06	21.0832557273235
NW_004581715.1	837190	837666	*	1.82414785555295e-09	1.06965819161315e-06	22.5009397318632
NW_004581733.1	434260	437145	*	2.16487890944958e-09	1.23004241975504e-06	19.2553191489362
