chr	start	end	strand	pvalue	qvalue	meth.diff
NW_004582016.1	4009895	4010395	*	5.68839241654263e-08	0.000231963449385128	27.409200968523
NW_004582145.1	4288	4788	*	7.53348742583895e-06	0.0126098603359071	17.3274988484569
NW_004582024.1	3253165	3253665	*	1.22953418514566e-05	0.0126098603359071	39.0350877192982
NW_004624697.1	0	257	*	1.23691614516981e-05	0.0126098603359071	19.3459915611814
NW_004620323.1	0	417	*	1.72536014835888e-05	0.0140714796778459	23.8517324738114
NW_004582012.1	6048999	6049499	*	2.12243252981676e-05	0.0144248947286567	31.4339981006648
NW_004582173.1	7509	8009	*	2.82840342232673e-05	0.0164768172007769	16.5139556044607
NW_004582011.1	7962120	7962620	*	4.01097715988964e-05	0.0204451457741213	8.06621987257969
NW_004582275.1	18117	18617	*	0.000121464663440526	0.0522679514087534	23.0357142857143
NW_004581684.1	1789767	1790267	*	0.000128175632501538	0.0522679514087534	15.8248227802475
NW_004581695.1	2785783	2786283	*	0.000201340478103131	0.0739998093856317	41.1111111111111
NW_004581681.1	235901	236401	*	0.000217761870148401	0.0739998093856317	-1.35542168674699
