chr	start	end	strand	pvalue	qvalue	meth.diff
KK853545.1	1469	2469	*	1.25453452491448e-75	5.27976557239919e-72	22.3517970297077
KK853545.1	2175	3175	*	3.62913321586938e-67	7.6366860497935e-64	26.8202296536444
KK852865.1	189803	190803	*	4.90166348002884e-34	6.87629118619562e-31	14.7465772693173
KK852670.1	290129	291129	*	1.49682703807386e-20	1.57486615683162e-17	11.6342497504805
KK852451.1	355858	356858	*	7.7831226761151e-18	6.55112511214678e-15	9.08512267713337
KK852549.1	1756587	1757587	*	1.76526554998901e-17	1.23820005107866e-14	-3.65745642325622
KK853294.1	15891	16891	*	2.92383428456049e-15	1.75786992687589e-12	-4.36972728952157
KK852846.1	715463	716463	*	5.04298736259819e-15	2.6529551927741e-12	-5.14568467550119
KK853117.1	72571	73571	*	7.13316378285044e-15	3.33558266831594e-12	-11.1325611325611
KK853559.1	9086	10086	*	6.20676017407804e-14	2.61214323180699e-11	6.34359825003814
KK853116.1	4072	5072	*	2.95031438919969e-13	1.12877565564967e-10	17.4324206487618
KK852936.1	636910	637910	*	1.83980541412252e-11	6.45242059404454e-09	11.3862735006509
KK852859.1	18186	19186	*	2.3104463529519e-11	7.47970653591296e-09	13.297089670984
KK852470.1	1142993	1143993	*	5.22664387277283e-11	1.571183450949e-08	5.65068891343526
KK852432.1	758823	759823	*	6.61437676790972e-11	1.85579368541583e-08	5.7635464844494
KK853559.1	3786	4786	*	1.04243209918819e-10	2.74195179544422e-08	-9.81227779742471
KK853185.1	32902	33902	*	1.83305039588105e-10	4.53792700678703e-08	6.52765413991276
KK853101.1	188877	189877	*	2.06741698318378e-10	4.83378797068233e-08	12.6317834031589
KK853185.1	28413	29413	*	1.79552096749399e-09	3.97712189804626e-07	7.56845092864612
KK852415.1	1122664	1123664	*	2.62815758859942e-09	5.53036033666462e-07	3.50363931877606
KK852406.1	270743	271743	*	2.79854544342233e-09	5.60847890726378e-07	-3.42079031408948
KK853641.1	8013	9013	*	4.98705452608703e-09	9.43581752155448e-07	14.6093704160066
KK853256.1	98022	99022	*	5.20921889201356e-09	9.43581752155448e-07	16.0106382978723
KK852543.1	629782	630782	*	5.38094747848616e-09	9.43581752155448e-07	5.77384758381161
KK853040.1	35079	36079	*	8.11270198828968e-09	1.36570700307594e-06	5.57022988505746
KK853622.1	1140	2140	*	1.27163207551715e-08	2.05835438125843e-06	11.1642305656735
KK852921.1	60528	61528	*	3.43515901941683e-08	5.35445291733613e-06	-19.3058932014419
KK852584.1	1434	2434	*	4.56205882163578e-08	6.85701139898724e-06	11.401389308366
KK853218.1	126369	127369	*	6.47241436248734e-08	9.39291380868304e-06	12.1100917431193
KK853090.1	191963	192963	*	7.2823532448424e-08	1.02160382156586e-05	3.42994820232614
KK852670.1	290594	291594	*	7.63880611389536e-08	1.03704073383188e-05	10.4860658194521
KK852921.1	652757	653757	*	9.81372856679526e-08	1.29067258599778e-05	-6.05557757083416
KK852417.1	491748	492748	*	1.34179351504741e-07	1.71121181778526e-05	7.78717659412115
KK852931.1	85838	86838	*	1.71853222135541e-07	2.12721204961036e-05	-16.8312428883454
KK852572.1	858370	859370	*	2.84061758828913e-07	3.41567663979889e-05	10.2497059478018
KK852457.1	46512	47512	*	5.11724231965223e-07	5.9822630289389e-05	-5.90996944683581
KK853664.1	12361	13361	*	6.61448963236038e-07	7.52361629092117e-05	8.37070663588099
KK853191.1	323983	324983	*	7.58861038488114e-07	8.18897736964307e-05	-9.5
KK853191.1	324372	325372	*	7.58861038488114e-07	8.18897736964307e-05	-9.5
KK853277.1	80482	81482	*	8.24367913869561e-07	8.67347459197216e-05	-7.3944041302595
