chr	start	end	strand	pvalue	qvalue	meth.diff
NW_020825136.1	15000	16000	*	7.15411706915276e-18	1.44831342346941e-12	6.11237980048551
NC_039512.1	12099000	12100000	*	8.17087530324317e-13	8.27075393706357e-08	-5.32435531594071
NC_039516.1	2567000	2568000	*	2.0984026761582e-11	1.41603533291727e-06	7.48598069125824
NC_039519.1	337000	338000	*	3.98115264482988e-11	2.01490860460252e-06	-3.60022220076377
NC_039510.1	12243000	12244000	*	1.92035361229635e-10	7.77531004207108e-06	5.61239943761302
NC_039518.1	4478000	4479000	*	1.74587915433893e-09	5.89073440869282e-05	4.92269431338018
NC_039506.1	12619000	12620000	*	2.76382773888515e-09	7.09460492363379e-05	1.81416167502385
NC_039514.1	7348000	7349000	*	2.8035718435298e-09	7.09460492363379e-05	1.58140921233399
NC_039512.1	13781000	13782000	*	1.25332651636315e-08	0.000281921522342826	1.5690594617412
NC_039512.1	9162000	9163000	*	1.74223404798029e-08	0.000352706131885278	-11.8151343230283
NC_039509.1	2240000	2241000	*	2.04116169886317e-08	0.000375656786074074	9.49856012562344
NC_039515.1	6610000	6611000	*	2.980223471741e-08	0.000502775490129101	2.47368033697956
NC_039511.1	2216000	2217000	*	3.3986353905856e-08	0.000529258371850647	3.14589164366278
NC_039508.1	4270000	4271000	*	3.70344128803515e-08	0.000535530168817021	8.50207771648772
NC_039513.1	15709000	15710000	*	4.68931427910753e-08	0.000620814950910463	2.67628842217891
NC_039512.1	13344000	13345000	*	4.90654331044397e-08	0.000620814950910463	4.11078089838449
NC_039508.1	1806000	1807000	*	5.40710672143752e-08	0.000643906091053194	-5.21496635145572
NC_039517.1	5745000	5746000	*	6.59668052482272e-08	0.000741924068344067	5.9133378557314
NC_039512.1	10900000	10901000	*	7.54279576780212e-08	0.000803683886561207	-4.699387165064
NC_039516.1	8818000	8819000	*	8.67885849570867e-08	0.000848419488047483	4.96969303762869
NC_039516.1	7329000	7330000	*	8.80082564316448e-08	0.000848419488047483	-4.84272317595362
NC_039511.1	8708000	8709000	*	1.18825840298298e-07	0.00109343941966653	-3.86584532635558
NC_039513.1	11974000	11975000	*	1.58779616459927e-07	0.00138494040331002	3.20048351670141
NC_039518.1	4435000	4436000	*	1.64185883279519e-07	0.00138494040331002	1.16145849760849
NC_039514.1	10775000	10776000	*	1.94587056021657e-07	0.00157572509672635	2.9230431836151
NC_039518.1	4589000	4590000	*	2.03805391486518e-07	0.00158689734667231	1.71231159350474
NC_039509.1	7071000	7072000	*	2.98573561695776e-07	0.0022386907148199	4.56463521658814
NC_039511.1	5622000	5623000	*	4.39676870283127e-07	0.0031789383205341	0.725246162366664
NC_039512.1	8840000	8841000	*	4.70772676856085e-07	0.00328639502359107	6.90780216303075
NC_039515.1	5489000	5490000	*	5.96139439750658e-07	0.00402284327800198	-8.94465415857592
NC_039511.1	11557000	11558000	*	6.97291741405931e-07	0.00455364679048873	3.96447246782317
NC_039511.1	8630000	8631000	*	7.39934183626517e-07	0.00468111840475636	2.69643532587831
NC_039508.1	18011000	18012000	*	7.86582048362416e-07	0.00471104591345217	1.89960305729363
