chr	start	end	strand	pvalue	qvalue	meth.diff
NC_015776.1	4895000	4896000	*	4.22598347668616e-12	7.83758920686151e-07	-7.77940020217904
NC_015763.1	2028000	2029000	*	1.79772720629963e-08	0.00166704950773068	1.2316715542522
NC_015779.1	2821000	2822000	*	1.52917881774237e-07	0.00945348024778761	-26.8236341877487
NC_015772.1	4475000	4476000	*	2.61043759319086e-07	0.0105262041703239	1.76125244618395
NC_015771.1	6169000	6170000	*	2.83783467861966e-07	0.0105262041703239	-1.41313495060335
NC_015771.1	6610000	6611000	*	3.5211408434844e-07	0.0108839577907252	1.66582958635507
NC_015772.1	6576000	6577000	*	4.97327230826572e-07	0.0119695121408894	24.0255931751533
NC_015776.1	10571000	10572000	*	5.16311423794546e-07	0.0119695121408894	18.3108236082579
NC_015772.1	2785000	2786000	*	8.53437454146672e-07	0.0175866812127941	1.34288272157565
NC_015771.1	2351000	2352000	*	9.61441636414183e-07	0.017831079165733	8.32643921251516
NC_015768.1	10687000	10688000	*	1.16990301849407e-06	0.0197247668585387	1.56981204449559
NC_015776.1	3741000	3742000	*	1.39931468555526e-06	0.0204473809366644	-1.82421180881629
NW_003565557.1	985000	986000	*	1.43326447979008e-06	0.0204473809366644	1.07401068535522
NC_015767.1	8012000	8013000	*	1.58660141473045e-06	0.0210181508082836	1.41744307804444
NW_003566370.1	8000	9000	*	1.83003224883776e-06	0.0222437134146261	1.4
NC_015777.1	2646000	2647000	*	1.91898938041933e-06	0.0222437134146261	-5.67940527622024
NC_015776.1	9353000	9354000	*	2.08707054062955e-06	0.0227689450465313	-1.1015911872705
NC_015769.1	305000	306000	*	2.38797100977235e-06	0.0239846646586134	0.945185766614338
NC_015763.1	3807000	3808000	*	2.45715497897751e-06	0.0239846646586134	-1.1313639220616
NC_015772.1	11345000	11346000	*	2.99343259664605e-06	0.0277583846936121	1.85915698736212
NC_015776.1	7231000	7232000	*	3.67346838624447e-06	0.0324423058472505	-0.90373428605121
