chr	start	end	strand	pvalue	qvalue	meth.diff
chr9	18374888	18380265	*	2.62151231683365e-320	2.94595756844009e-316	-42.5112881624828
chr5	14245919	14279843	*	1.52427955484039e-179	8.56464197852933e-176	-18.2052340462091
Sc0000193	117350	122191	*	1.06906198843985e-154	4.00457302588903e-151	-29.8118391818574
chr11	1968017	1970915	*	3.15503803420807e-143	8.86378456820033e-140	18.9084403517044
chr12	22635252	22651626	*	1.00795971745803e-118	2.26541491851514e-115	42.2961937438552
chr6	14569624	14572013	*	5.86685557753822e-110	1.09882550528632e-106	-16.3503751303088
chr9	18238962	18243156	*	9.86022581214977e-105	1.58293617917199e-101	-33.0964652678482
chr5	21620392	21628044	*	1.15738544771446e-80	1.62578313790218e-77	44.7006167936401
xpSc0000587	92157	149038	*	4.69799783820053e-78	5.86603820981374e-75	-20.599106116598
chr6	4511161	4517379	*	5.62819923867704e-77	6.32475995758503e-74	-21.3749586718558
chr2	13733761	13736392	*	5.19403033617394e-76	5.30623379224235e-73	-23.158473663696
Sc0000155	227218	232150	*	6.01481031755067e-76	5.63268253243524e-73	15.4165189649061
Sc0000030	140437	156161	*	7.70239437783868e-73	6.65820225734652e-70	23.3002719619294
Sc0000271	52367	55255	*	9.11618162659102e-73	7.31744586156073e-70	10.6804403569592
Sc0000192	172417	184771	*	5.72581278567045e-71	4.28963627567544e-68	12.5105223397858
xfSc0000243	21112	30269	*	2.38854004719212e-67	1.67759502272879e-64	-13.6008864535544
Sc0000165	204642	211650	*	2.21262770290394e-59	1.46262842256281e-56	28.3471427481498
chr4	23624938	23629905	*	7.04433490787574e-58	4.39786683130441e-55	16.691292371144
Sc0000050	356753	361671	*	2.08885503172029e-57	1.23546169280415e-54	-43.8618905150805
chr5	11098489	11107285	*	1.8566399998987e-56	1.0432113211552e-53	11.5071946165008
xfSc0000152	159055	161688	*	1.73099190787903e-53	9.26297148779757e-51	-31.1413545816733
chr8	4462281	4464443	*	8.47626423741601e-53	4.32968589106118e-50	-18.1855161979167
chr2	34583184	34587224	*	2.26897354100557e-51	1.10860333276558e-48	-13.2005945361989
chr14	9394289	9401914	*	2.92857497385641e-50	1.37125962659495e-47	-19.4752620769538
Sc0000050	676533	690257	*	3.58721705156047e-49	1.61247218193427e-46	-30.8111325417395
chr11	15601290	15616979	*	4.08693345583222e-48	1.76643964372562e-45	24.3401863154513
Sc0000050	966833	976502	*	1.7597629920206e-46	7.32428104264017e-44	-24.7668261562998
chr6	7959332	7959770	*	1.53386252413918e-45	6.15606206590168e-43	-88.5968126030409
chr13	7571809	7582985	*	3.55346736955028e-43	1.37698407708427e-40	-91.1233211233211
xpSc0000572	51326	76238	*	2.08983849873959e-42	7.82827466602784e-40	-9.64405469753063
Sc0000209	219320	220453	*	4.2516163559948e-42	1.54122824583028e-39	26.4634312228889
xfSc0000241	51593	55976	*	7.22489729958895e-42	2.53720923870745e-39	-5.19140697191453
chr2	4176852	4198338	*	1.26866842978103e-40	4.32024898941579e-38	-33.585178752352
Sc0000050	310333	328089	*	9.59775412763081e-40	3.17223452490864e-37	-20.4021955987817
chr9	15486568	15498462	*	1.71998131649579e-37	5.52243063242275e-35	-36.2712601206325
Sc0000146	326619	347632	*	2.29751523561169e-35	7.17183820847051e-33	-7.78711484593838
chr6	4517581	4519171	*	2.51810864825572e-35	7.64799023723913e-33	-29.9933507237481
chr14	9457858	9459996	*	4.49960803943051e-35	1.33065561777444e-32	-18.8918263934787
chr10	9504132	9505141	*	2.58463189094706e-34	7.44746851716104e-32	28.9473684210526
chr5	18506880	18508245	*	1.32134508612781e-33	3.70217471727202e-31	97.0149253731343
chr6	14568350	14569561	*	1.35072265139275e-33	3.70217471727202e-31	-11.2529245035216
Sc0000200	108086	115697	*	2.46429503524618e-32	6.59353014450999e-30	10.9873711080448
chr5	14726380	14732253	*	1.41204573204798e-31	3.69024237267248e-29	-8.6185573703587
chr4	15796334	15801676	*	1.59749215324355e-31	4.08000449446116e-29	15.0201744266938
Sc0000102	454264	459300	*	1.68152535083645e-31	4.19918965418478e-29	-7.19975232333859
chr1	28261461	28262651	*	1.97410259856425e-31	4.82265808842269e-29	64.8860315604909
xpSc0000652	38615	48219	*	3.03415269061733e-31	7.25461148104244e-29	47.6683937823834
chr1	4282876	4288474	*	7.92631081270063e-31	1.85568580321965e-28	-21.0413011738371
chr5	11108557	11110090	*	1.88577460723763e-30	4.32482250034434e-28	18.7111896040467
chr1	4296373	4299253	*	3.71368714848189e-30	8.34660564619155e-28	-26.6124578320447
Sc0000104	289787	291646	*	4.04403307377756e-30	8.91084946604155e-28	75.1405768184292
chr11	1966886	1967488	*	4.20590201081266e-30	9.08929901821942e-28	19.370483534604
chr8	9825196	9825732	*	4.29564183324234e-30	9.10807876982644e-28	-30.718877849211
chr4	2227032	2230698	*	1.89302600913065e-29	3.93946644371133e-27	-42.0828667413214
chr10	5379605	5385969	*	2.66334046895534e-29	5.44174996368143e-27	29.7565179918121
chr7	17609912	17630203	*	3.11489730488329e-29	6.25072352834647e-27	18.9381322041872
chr1	21780502	21786582	*	3.21903256746994e-29	6.34636577551745e-27	-12.2274141785838
Sc0000077	350196	354527	*	8.20542853355938e-29	1.58981964111776e-26	-10.4629117306283
Sc0000146	540354	543894	*	2.10103874136003e-28	4.00181154893266e-26	-7.80303235895594
Sc0000030	45452	47631	*	3.12297304602951e-28	5.84913398658919e-26	8.82232030911353
chr2	30029861	30031521	*	4.09697455730401e-28	7.54758506270018e-26	11.4765336691548
chr1	37282841	37310583	*	5.18210856428709e-28	9.39267730609888e-26	2.03337315859207
chr4	736927	741006	*	9.53704246706235e-28	1.70117014120066e-25	8.48256659162191
chr3	5839943	5851522	*	1.23134554155289e-27	2.16209390564415e-25	-49.9282802355428
xpSc0000564	19790	21149	*	1.516730060785e-26	2.62222239452188e-24	-77.1683673469388
chr11	9720182	9736804	*	2.33247341541927e-26	3.97143401666564e-24	-54.3307086614173
chr8	12849008	12867183	*	4.36607513823569e-26	7.32303293105029e-24	-23.1258667101721
chr5	29085980	29094143	*	5.15288815235516e-26	8.5156222396003e-24	100
chr2	30031528	30033597	*	5.29259233070436e-26	8.61973544534748e-24	8.10256262020793
chr8	17343275	17346294	*	2.26423608893398e-25	3.63494841968439e-23	-55.9629583281191
