chr	start	end	strand	pvalue	qvalue	meth.diff
NW_018384957.1	174910	175410	*	1.24231739215698e-26	2.30757318428028e-22	-10.9742436881284
NW_018385777.1	210751	211251	*	9.49551463489209e-19	8.81883932429448e-15	-5.25003971116566
NW_018386561.1	397189	397689	*	5.83515514421789e-13	3.6128844426607e-09	1.7674230504319
NW_018385777.1	210972	211472	*	2.0537088462851e-12	9.53678080160019e-09	-4.34223071195874
NW_018384441.1	11130	11630	*	7.36394505981858e-12	2.73566839808089e-08	-3.88268818708888
NW_018384191.1	58959	59459	*	8.15418405879878e-11	2.52436516257998e-07	2.96570898980538
NW_018384817.1	176693	177193	*	2.00047340737052e-10	5.30832691026502e-07	-3.96260046196108
NW_018384202.1	572256	572756	*	1.09375765022226e-09	2.53953401893145e-06	-4.05054414327792
NW_018388180.1	378034	378534	*	1.6338437872315e-09	3.3720261956678e-06	6.01610764707863
NW_018388207.1	17875	18375	*	2.23135444828039e-09	4.14468454034627e-06	-6.45228794245931
NW_018385723.1	314181	314681	*	3.00347666307347e-09	5.07171096026244e-06	-1.77581413902446
NW_018386934.1	779799	780299	*	4.19524737296791e-09	6.25781330105366e-06	2.53534736422485
NW_018388016.1	53707	54207	*	4.37968661615969e-09	6.25781330105366e-06	-9.86820036898306
NW_018384957.1	300352	300852	*	4.95756512567189e-09	6.57753716421215e-06	0.959309943341027
NW_018384914.1	945899	946399	*	6.85740046895251e-09	8.49163213626719e-06	-1.55127474568402
NW_018385674.1	48209	48709	*	1.10642321984532e-08	1.28447074430149e-05	-9.55450508523134
NW_018384214.1	446213	446713	*	1.27947968335243e-08	1.39800070690242e-05	-2.71674687870545
NW_018385438.1	298937	299437	*	1.38386698487399e-08	1.42805443237081e-05	-8.33464388920561
NW_018388052.1	4516	5016	*	1.6866154073545e-08	1.64886606729622e-05	7.68238784861414
NW_018384103.1	439576	440076	*	2.6932366687244e-08	2.50130955056429e-05	-6.15470250191758
NW_018387928.1	47098	47598	*	3.69552488154687e-08	3.26873530768472e-05	-1.69483824063977
