chr	start	end	strand	pvalue	qvalue	meth.diff	gene.chr	gene.start	gene.end	gene.strand	gene.startSite	gene.description	gene.withinWindow	gene.enclosesWindow	gene.distance	gene.direction	gene.closest
NW_004582011.1	7953500	7954000	*	8.52062792822911e-28	2.19602229661198e-22	17.1972342451859	NW_004582011.1	7921339	7938684	+	7921339	ID=gene-LOC101739604;Dbxref=GeneID:101739604;Name=LOC101739604;gbkey=Gene;gene=LOC101739604;gene_biotype=protein_coding	FALSE	FALSE	32161	leftOfWindowStart	FALSE
NW_004582011.1	7953500	7954000	*	8.52062792822911e-28	2.19602229661198e-22	17.1972342451859	NW_004582011.1	7922325	7922403	+	7922325	ID=gene-Mir745;Dbxref=GeneID:102464377,miRBase:MI0012310;Name=Mir745;description=microRNA 745;gbkey=Gene;gene=Mir745;gene_biotype=miRNA;gene_synonym=bmo-mir-745	FALSE	FALSE	31175	leftOfWindowStart	TRUE
NW_004582011.1	7953500	7954000	*	8.52062792822911e-28	2.19602229661198e-22	17.1972342451859	NW_004582011.1	7940470	7955222	-	7955222	ID=gene-LOC101739743;Dbxref=GeneID:101739743;Name=LOC101739743;gbkey=Gene;gene=LOC101739743;gene_biotype=protein_coding;partial=true	FALSE	TRUE	1222	rightOfWindowEnd	TRUE
NW_004582011.1	7953500	7954000	*	8.52062792822911e-28	2.19602229661198e-22	17.1972342451859	NW_004582011.1	7959991	7962633	+	7959991	ID=gene-LOC105842046;Dbxref=GeneID:105842046;Name=LOC105842046;gbkey=Gene;gene=LOC105842046;gene_biotype=protein_coding	FALSE	FALSE	5991	rightOfWindowEnd	FALSE
NW_004582011.1	7953500	7954000	*	8.52062792822911e-28	2.19602229661198e-22	17.1972342451859	NW_004582011.1	7962273	7962370	-	7962370	ID=gene-Mir2787;Dbxref=GeneID:102464405,miRBase:MI0012360;Name=Mir2787;description=microRNA 2787;gbkey=Gene;gene=Mir2787;gene_biotype=miRNA;gene_synonym=bmo-mir-2787	FALSE	FALSE	8370	rightOfWindowEnd	FALSE
NW_004582011.1	7953500	7954000	*	8.52062792822911e-28	2.19602229661198e-22	17.1972342451859	NW_004582011.1	7964516	7965845	-	7965845	ID=gene-LOC110385670;Dbxref=GeneID:110385670;Name=LOC110385670;gbkey=Gene;gene=LOC110385670;gene_biotype=protein_coding	FALSE	FALSE	11845	rightOfWindowEnd	FALSE
NW_004582011.1	7953500	7954000	*	8.52062792822911e-28	2.19602229661198e-22	17.1972342451859	NW_004582011.1	7973115	7991544	-	7991544	ID=gene-LOC101740014;Dbxref=GeneID:101740014;Name=LOC101740014;gbkey=Gene;gene=LOC101740014;gene_biotype=protein_coding	FALSE	FALSE	37544	rightOfWindowEnd	FALSE
NW_004582011.1	7953500	7954000	*	8.52062792822911e-28	2.19602229661198e-22	17.1972342451859	NW_004582011.1	7987236	7988479	-	7988479	ID=gene-LOC101739881;Dbxref=GeneID:101739881;Name=LOC101739881;gbkey=Gene;gene=LOC101739881;gene_biotype=protein_coding	FALSE	FALSE	34479	rightOfWindowEnd	FALSE
NW_004582011.1	7953500	7954000	*	8.52062792822911e-28	2.19602229661198e-22	17.1972342451859	NW_004582011.1	7993610	8032726	+	7993610	ID=gene-LOC101745292;Dbxref=GeneID:101745292;Name=LOC101745292;gbkey=Gene;gene=LOC101745292;gene_biotype=protein_coding	FALSE	FALSE	39610	rightOfWindowEnd	FALSE
NW_004581724.1	1771000	1771500	*	1.37509447843072e-24	1.77201619412191e-19	20.676476173101	NW_004581724.1	1745693	1772436	-	1772436	ID=gene-LOC101743822;Dbxref=GeneID:101743822;Name=LOC101743822;gbkey=Gene;gene=LOC101743822;gene_biotype=protein_coding;partial=true	FALSE	TRUE	936	rightOfWindowEnd	TRUE
NW_004581724.1	1771000	1771500	*	1.37509447843072e-24	1.77201619412191e-19	20.676476173101	NW_004581724.1	1772520	1793628	+	1772520	ID=gene-LOC105841481;Dbxref=GeneID:105841481;Name=LOC105841481;gbkey=Gene;gene=LOC105841481;gene_biotype=protein_coding	FALSE	FALSE	1020	rightOfWindowEnd	FALSE
NW_004582014.1	7138000	7138500	*	3.48912186407909e-24	2.86131156698313e-19	18.1518941334584	NW_004582014.1	7096425	7097344	-	7097344	ID=gene-LOC105842147;Dbxref=GeneID:105842147;Name=LOC105842147;gbkey=Gene;gene=LOC105842147;gene_biotype=lncRNA	FALSE	FALSE	40656	leftOfWindowStart	FALSE
NW_004582014.1	7138000	7138500	*	3.48912186407909e-24	2.86131156698313e-19	18.1518941334584	NW_004582014.1	7111370	7120022	+	7111370	ID=gene-LOC101745727;Dbxref=GeneID:101745727;Name=LOC101745727;gbkey=Gene;gene=LOC101745727;gene_biotype=protein_coding	FALSE	FALSE	26630	leftOfWindowStart	FALSE
NW_004582014.1	7138000	7138500	*	3.48912186407909e-24	2.86131156698313e-19	18.1518941334584	NW_004582014.1	7120106	7123431	+	7120106	ID=gene-LOC733120;Dbxref=GeneID:733120;Name=LOC733120;description=vacuolar ATP synthase subunit D;gbkey=Gene;gene=LOC733120;gene_biotype=protein_coding	FALSE	FALSE	17894	leftOfWindowStart	FALSE
