chr	start	end	strand	pvalue	qvalue	meth.diff
NC_037647.1	9167174	9167263	*	0.0102045199170957	0.0955781378742106	6.06060606060606
NC_037651.1	2391039	2391169	*	0.0408159070255621	0.0955781378742106	-15.2055660974067
NC_037645.1	3458623	3458860	*	0.0468842690800964	0.0955781378742106	-4.47761194029851
NC_037638.1	27723768	27723883	*	0.0500448448653623	0.0955781378742106	13.3603238866397
NC_037638.1	27723768	27723883	*	0.0500448448653623	0.0955781378742106	13.3603238866397
NC_037638.1	243958	244098	*	0.0526286950743499	0.0955781378742106	-0.612244897959184
NC_037638.1	243958	244098	*	0.0526286950743499	0.0955781378742106	-0.612244897959184
NC_037643.1	5370490	5370543	*	0.0530170806125175	0.0955781378742106	2.77777777777778
NW_020555867.1	28475	28604	*	0.081028409842326	0.0955781378742106	0.412371134020619
NC_037638.1	21785812	21785906	*	0.0873741449658452	0.0955781378742106	-13.6363636363636
NC_037640.1	4585444	4585550	*	0.0901241288457939	0.0955781378742106	-10.893011216566
NC_037640.1	6868097	6868236	*	0.0949303818622399	0.0955781378742106	14.7426647426647
NC_037647.1	8015056	8015269	*	0.0996884288218416	0.0955781378742106	13.4248665141114
NC_037639.1	8138103	8138177	*	0.104161186737634	0.0955781378742106	-2.56410256410256
NW_020555867.1	31618	31876	*	0.107793154561092	0.0955781378742106	-0.239234449760766
NC_037639.1	9034050	9034182	*	0.108147185550264	0.0955781378742106	8.25870646766169
NC_037639.1	9034050	9034182	*	0.108147185550264	0.0955781378742106	8.25870646766169
NC_037641.1	3342515	3342659	*	0.14187982456723	0.0955781378742106	-12.5641025641026
NC_037641.1	3342515	3342659	*	0.14187982456723	0.0955781378742106	-12.5641025641026
NC_037641.1	3342515	3342659	*	0.14187982456723	0.0955781378742106	-12.5641025641026
NC_037641.1	3342515	3342659	*	0.14187982456723	0.0955781378742106	-12.5641025641026
NC_037640.1	7607022	7607338	*	0.143724953688139	0.0955781378742106	-11.5491835921943
NC_037640.1	7607022	7607338	*	0.143724953688139	0.0955781378742106	-11.5491835921943
NC_037640.1	7607022	7607338	*	0.143724953688139	0.0955781378742106	-11.5491835921943
NC_037641.1	10190759	10190783	*	0.152727630727422	0.0955781378742106	1.81818181818182
NC_037639.1	10069072	10069182	*	0.154247632831278	0.0955781378742106	-1.12359550561798
NC_037650.1	6856418	6857989	*	0.154377847262602	0.0955781378742106	-9.45090834864258
NC_037643.1	2980653	2980849	*	0.170920116088874	0.0955781378742106	-8.87392900856794
NC_037643.1	2980653	2980849	*	0.170920116088874	0.0955781378742106	-8.87392900856794
NC_037643.1	2980653	2980849	*	0.170920116088874	0.0955781378742106	-8.87392900856794
NC_001566.1	12302	13219	*	0.182986103523922	0.0955781378742106	-0.595238095238095
NC_037651.1	7188768	7188928	*	0.187060531704223	0.0955781378742106	-3.51102941176471
NC_037651.1	7188768	7188928	*	0.187060531704223	0.0955781378742106	-3.51102941176471
NC_037651.1	7188768	7188928	*	0.187060531704223	0.0955781378742106	-3.51102941176471
NC_037653.1	60020	60152	*	0.207866446184751	0.0955781378742106	1.02040816326531
NC_037653.1	60020	60152	*	0.207866446184751	0.0955781378742106	1.02040816326531
NC_037652.1	7276906	7277021	*	0.213185414825416	0.0955781378742106	4.04761904761904
NC_037652.1	7276906	7277021	*	0.213185414825416	0.0955781378742106	4.04761904761904
NC_037642.1	5396402	5396526	*	0.213912910610031	0.0955781378742106	5.23809523809523
NC_037642.1	5396402	5396526	*	0.213912910610031	0.0955781378742106	5.23809523809523
NC_037642.1	5396402	5396526	*	0.213912910610031	0.0955781378742106	5.23809523809523
NC_037642.1	5396402	5396526	*	0.213912910610031	0.0955781378742106	5.23809523809523
NC_037642.1	5396402	5396526	*	0.213912910610031	0.0955781378742106	5.23809523809523
NC_037642.1	5396402	5396526	*	0.213912910610031	0.0955781378742106	5.23809523809523
NC_037642.1	5396402	5396526	*	0.213912910610031	0.0955781378742106	5.23809523809523
NC_037642.1	5396402	5396526	*	0.213912910610031	0.0955781378742106	5.23809523809523
NC_037653.1	58027	58144	*	0.223507705369387	0.0955781378742106	0.267379679144385
NC_037653.1	58027	58144	*	0.223507705369387	0.0955781378742106	0.267379679144385
NC_037642.1	4997328	4997522	*	0.236478556969619	0.0955781378742106	4.61538461538462
NC_037640.1	7105115	7105145	*	0.237834013928793	0.0955781378742106	-1.40845070422535
NC_037640.1	7105115	7105145	*	0.237834013928793	0.0955781378742106	-1.40845070422535
NC_037640.1	7105115	7105145	*	0.237834013928793	0.0955781378742106	-1.40845070422535
NC_037640.1	7105115	7105145	*	0.237834013928793	0.0955781378742106	-1.40845070422535
NC_037640.1	7105115	7105145	*	0.237834013928793	0.0955781378742106	-1.40845070422535
NC_037643.1	16520138	16520743	*	0.240564114713258	0.0955781378742106	-1.78571428571429
NW_020555891.1	12060	12172	*	0.240778195040155	0.0955781378742106	0.680272108843537
NC_037647.1	12339342	12339491	*	0.248423670676883	0.0955781378742106	1.51515151515152
NC_037647.1	12339342	12339491	*	0.248423670676883	0.0955781378742106	1.51515151515152
NC_037650.1	11148718	11148834	*	0.248574824337349	0.0955781378742106	-1.53846153846154
NC_037650.1	11148718	11148834	*	0.248574824337349	0.0955781378742106	-1.53846153846154
NC_037650.1	11148718	11148834	*	0.248574824337349	0.0955781378742106	-1.53846153846154
NC_037650.1	11148718	11148834	*	0.248574824337349	0.0955781378742106	-1.53846153846154
NC_037650.1	11148718	11148834	*	0.248574824337349	0.0955781378742106	-1.53846153846154
NC_037650.1	11148718	11148834	*	0.248574824337349	0.0955781378742106	-1.53846153846154
NC_037650.1	11148718	11148834	*	0.248574824337349	0.0955781378742106	-1.53846153846154
NC_037650.1	11148718	11148834	*	0.248574824337349	0.0955781378742106	-1.53846153846154
NC_037650.1	11148718	11148834	*	0.248574824337349	0.0955781378742106	-1.53846153846154
NC_037650.1	11148718	11148834	*	0.248574824337349	0.0955781378742106	-1.53846153846154
NC_037650.1	5650235	5650372	*	0.256298373099314	0.0955781378742106	7.98790250845045
NC_037650.1	5650235	5650372	*	0.256298373099314	0.0955781378742106	7.98790250845045
NC_037647.1	2189394	2189483	*	0.267478701768412	0.0955781378742106	-0.390625
NC_037638.1	4729328	4729488	*	0.274069132442437	0.0955781378742106	-1.16279069767442
NC_037642.1	2769879	2769938	*	0.277476380673652	0.0955781378742106	-5.87341772151899
NC_037653.1	60224	60274	*	0.279036433109042	0.0955781378742106	0.284090909090909
NC_037653.1	60224	60274	*	0.279036433109042	0.0955781378742106	0.284090909090909
NC_037652.1	6210213	6210473	*	0.279465349284644	0.0955781378742106	1.31578947368421
NW_020555850.1	17146	17388	*	0.284163737887422	0.0955781378742106	-0.343642611683849
NC_037646.1	8657831	8658049	*	0.307023089243309	0.0955781378742106	-8.91414141414142
NC_037646.1	8657831	8658049	*	0.307023089243309	0.0955781378742106	-8.91414141414142
NC_037646.1	5996941	5997017	*	0.309716035635425	0.0955781378742106	-5.83765752409192
NC_037646.1	5996941	5997017	*	0.309716035635425	0.0955781378742106	-5.83765752409192
NC_037646.1	5996941	5997017	*	0.309716035635425	0.0955781378742106	-5.83765752409192
NC_037649.1	8702407	8703579	*	0.318729972692798	0.0955781378742106	-0.970873786407767
NW_020555891.1	9422	9770	*	0.318987046056334	0.0955781378742106	-0.505050505050505
NC_037651.1	6755193	6755425	*	0.319428302427688	0.0955781378742106	-6.0650406504065
NC_037639.1	5318431	5318536	*	0.338356536196209	0.0955781378742106	-5.8972073677956
NC_037640.1	6181533	6185342	*	0.340472749196949	0.0955781378742106	-0.854700854700855
NC_037640.1	6181533	6185342	*	0.340472749196949	0.0955781378742106	-0.854700854700855
NC_037640.1	6181533	6185342	*	0.340472749196949	0.0955781378742106	-0.854700854700855
NC_037640.1	6181533	6185342	*	0.340472749196949	0.0955781378742106	-0.854700854700855
NC_037640.1	6181533	6185342	*	0.340472749196949	0.0955781378742106	-0.854700854700855
NC_037640.1	6181533	6185342	*	0.340472749196949	0.0955781378742106	-0.854700854700855
NC_037638.1	21048621	21048814	*	0.340592889797982	0.0955781378742106	-7.68719539211342
NC_037638.1	21048621	21048814	*	0.340592889797982	0.0955781378742106	-7.68719539211342
NC_037638.1	21048705	21048814	*	0.340592889797982	0.0955781378742106	-7.68719539211342
NC_037645.1	1301473	1301766	*	0.350957804295939	0.0955781378742106	-2.42193450114242
NC_037645.1	1301473	1301766	*	0.350957804295939	0.0955781378742106	-2.42193450114242
NC_037645.1	1301473	1301766	*	0.350957804295939	0.0955781378742106	-2.42193450114242
NC_037645.1	1301473	1301766	*	0.350957804295939	0.0955781378742106	-2.42193450114242
NC_037645.1	1301473	1301766	*	0.350957804295939	0.0955781378742106	-2.42193450114242
NC_037645.1	1301473	1301766	*	0.350957804295939	0.0955781378742106	-2.42193450114242
NC_037653.1	3058865	3059140	*	0.351411325490044	0.0955781378742106	7.13716108452951
NC_037647.1	6489974	6490121	*	0.365843195273859	0.0955781378742106	-3.43237704918032
NC_037647.1	6489974	6490121	*	0.365843195273859	0.0955781378742106	-3.43237704918032
NC_037646.1	6078634	6082922	*	0.372143707828739	0.0955781378742106	0.782878348838392
NC_037639.1	9033783	9033956	*	0.400470329242964	0.0955781378742106	-2.50925545043192
NC_037639.1	9033783	9033956	*	0.400470329242964	0.0955781378742106	-2.50925545043192
NC_037641.1	5233496	5233650	*	0.40118508165671	0.0955781378742106	3.57142857142857
NC_037641.1	5233496	5233650	*	0.40118508165671	0.0955781378742106	3.57142857142857
NC_037641.1	5233496	5233650	*	0.40118508165671	0.0955781378742106	3.57142857142857
NC_037641.1	5233496	5233650	*	0.40118508165671	0.0955781378742106	3.57142857142857
NC_037649.1	10708737	10709144	*	0.405351172869393	0.0955781378742106	4.67836257309941
NC_037649.1	10708737	10709144	*	0.405351172869393	0.0955781378742106	4.67836257309941
NW_020555891.1	13537	13899	*	0.405566979551121	0.0955781378742106	-0.0843413423966634
NC_037638.1	2476520	2476869	*	0.428499788134846	0.0955781378742106	-2.49210249210249
NC_037638.1	21689153	21689303	*	0.440567655961974	0.0955781378742106	6.40230394328755
NC_037642.1	6566860	6567166	*	0.451246459536869	0.0955781378742106	6.26865671641791
NC_037642.1	6566860	6567166	*	0.451246459536869	0.0955781378742106	6.26865671641791
NC_037639.1	8140444	8140549	*	0.500745937391062	0.0955781378742106	2.95508274231678
NC_037647.1	8808112	8808277	*	0.527678305027412	0.0955781378742106	4.02071276271703
NC_037638.1	26843913	26843974	*	0.577771447838995	0.0955781378742106	4.52083333333333
NC_037638.1	12414264	12414440	*	0.60533785438944	0.0955781378742106	-3.56589147286821
NC_037648.1	382888	382937	*	0.610234619663866	0.0955781378742106	-1.88463735008566
NC_037641.1	12824960	12825176	*	0.624778708781255	0.0955781378742106	4.02298850574713
NW_020555867.1	37988	38171	*	0.627548351766801	0.0955781378742106	-0.0737118576650861
NC_037652.1	3908983	3909145	*	0.639299834158028	0.0955781378742106	-1.23188405797101
NC_037652.1	3908983	3909145	*	0.639299834158028	0.0955781378742106	-1.23188405797101
NC_037652.1	3908983	3909145	*	0.639299834158028	0.0955781378742106	-1.23188405797101
NC_037642.1	13163561	13163638	*	0.662868793903856	0.0955781378742106	-2.32919254658386
NC_037647.1	9159459	9159581	*	0.668248637806164	0.0955781378742106	3.51731601731601
NC_037647.1	9159459	9159581	*	0.668248637806164	0.0955781378742106	3.51731601731601
NC_037647.1	9159459	9159581	*	0.668248637806164	0.0955781378742106	3.51731601731601
NC_037647.1	6963548	6963750	*	0.688810658452514	0.0955781378742106	-0.683526999316475
NC_037649.1	6228112	6228339	*	0.699359422088028	0.0955781378742106	1.08008429926238
