chr	start	end	strand	pvalue	qvalue	meth.diff
NW_017179316.1	854140	855509	*	2.17423836750851e-22	2.26321457048804e-17	-6.89298950221221
NW_017179316.1	854380	855509	*	1.12194261285782e-13	5.83927895537263e-09	-5.269693703991
NW_017153562.1	46965	50373	*	4.02534744325566e-13	6.98346075342581e-09	-2.85583707370932
NW_017153562.1	46965	50373	*	4.02534744325566e-13	6.98346075342581e-09	-2.85583707370932
NW_017153562.1	46965	50373	*	4.02534744325566e-13	6.98346075342581e-09	-2.85583707370932
NW_017153562.1	46965	50373	*	4.02534744325566e-13	6.98346075342581e-09	-2.85583707370932
NW_017132978.1	1009402	1010379	*	1.68316957781043e-12	2.19006225928898e-08	-4.59770601061799
NW_017132978.1	1009402	1010379	*	1.68316957781043e-12	2.19006225928898e-08	-4.59770601061799
NW_017171239.1	543528	544617	*	4.28758705591023e-12	4.46304767783653e-08	1.10666581690175
NW_017171239.1	543528	544617	*	4.28758705591023e-12	4.46304767783653e-08	1.10666581690175
NW_017167275.1	131175	131864	*	1.78553605395804e-11	1.68964129058558e-07	4.43079040092113
NW_017176894.1	359666	362011	*	3.03888994734669e-11	1.75736123655053e-07	-3.93065179880958
NW_017176894.1	359666	362011	*	3.03888994734669e-11	1.75736123655053e-07	-3.93065179880958
NW_017176894.1	359666	362011	*	3.03888994734669e-11	1.75736123655053e-07	-3.93065179880958
NW_017176894.1	359666	362011	*	3.03888994734669e-11	1.75736123655053e-07	-3.93065179880958
NW_017176894.1	359666	362011	*	3.03888994734669e-11	1.75736123655053e-07	-3.93065179880958
NW_017176894.1	359666	362011	*	3.03888994734669e-11	1.75736123655053e-07	-3.93065179880958
NW_017176894.1	359666	362011	*	3.03888994734669e-11	1.75736123655053e-07	-3.93065179880958
NW_017176894.1	791122	791922	*	5.23875010118946e-11	2.59673100055417e-07	-5.8172594761496
NW_017176894.1	791122	791922	*	5.23875010118946e-11	2.59673100055417e-07	-5.8172594761496
