# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/honeybee_genome/GCF_003254395.2_Amel_HAv3.1_genomic.gff" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "36" "--primary" "SRR445999_dupsRemoved.bam" "SRR446000_dupsRemoved.bam" "SRR446001_dupsRemoved.bam" "SRR446002_dupsRemoved.bam" "SRR446003_dupsRemoved.bam" "SRR446004_dupsRemoved.bam" "SRR446005_dupsRemoved.bam" "SRR446006_dupsRemoved.bam" "SRR446007_dupsRemoved.bam" "SRR446008_dupsRemoved.bam" "SRR446009_dupsRemoved.bam" "SRR446010_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR445999_dupsRemoved.bam	SRR446000_dupsRemoved.bam	SRR446001_dupsRemoved.bam	SRR446002_dupsRemoved.bam	SRR446003_dupsRemoved.bam	SRR446004_dupsRemoved.bam	SRR446005_dupsRemoved.bam	SRR446006_dupsRemoved.bam	SRR446007_dupsRemoved.bam	SRR446008_dupsRemoved.bam	SRR446009_dupsRemoved.bam	SRR446010_dupsRemoved.bam
gene-LOC551580	NC_037638.1	9273	12174	-	2902	721	909	557	569	596	817	576	690	509	649	701	589
gene-LOC551555	NC_037638.1	10792	17180	+	6389	18680	28348	16063	15815	16554	24820	17237	21387	12729	17193	20630	15617
gene-LOC726347	NC_037638.1	17090	23457	-	6368	3491	6882	3420	3633	3298	5583	2960	4462	2095	3496	4479	2809
gene-Rfwd3	NC_037638.1	23613	26208	+	2596	17865	23406	16167	16651	17232	25874	16037	19320	12026	16101	20708	14111
gene-LOC726145	NC_037638.1	28123	30958	-	2836	5457	7333	4645	4708	4671	6914	4870	5718	3564	4954	5466	3940
gene-LOC551448	NC_037638.1	29940	39215	+	9276	9895	15284	9078	9821	9253	14893	9475	11063	5691	8415	10071	7377
gene-LOC410665	NC_037638.1	39046	41744	-	2699	3128	4628	2814	3003	3018	4575	2932	3454	2056	2798	3505	2481
gene-LOC408567	NC_037638.1	42765	45255	+	2491	5557	8898	6185	6166	6130	8672	4802	6382	3515	5456	5769	4330
gene-LOC107964061	NC_037638.1	45528	79393	+	33866	1422	3584	774	885	812	1112	1362	1683	956	1266	1278	993
gene-LOC107964068	NC_037638.1	86674	88128	-	1455	42	132	31	41	37	55	38	78	44	39	49	34
