chr	start	end	strand	pvalue	qvalue	meth.diff
NC_039517.1	5745283	5745885	*	3.92843625887876e-09	0.000222792334158084	6.92835069520988
NC_039517.1	5745283	5745885	*	3.92843625887876e-09	0.000222792334158084	6.92835069520988
NC_039517.1	5745283	5745885	*	3.92843625887876e-09	0.000222792334158084	6.92835069520988
NC_039507.1	15741135	15741467	*	1.53964940141644e-08	0.000654882874486112	6.06747407015853
NC_039510.1	11735570	11736959	*	3.08938955839983e-08	0.00105124624478845	2.43876027018162
NC_039517.1	703741	703959	*	3.97895573393451e-08	0.00112828715684441	6.33086318496424
NC_039506.1	23576308	23576434	*	8.81480211421527e-08	0.0019686041236785	-14.5351740343663
NC_039510.1	12243197	12243653	*	9.25649540927737e-08	0.0019686041236785	5.96426558164267
NC_039511.1	11582080	11582397	*	1.93046050180176e-07	0.00322788347074193	5.92610158530602
NC_039515.1	1527988	1528071	*	2.26194626433921e-07	0.00322788347074193	-10.6230368776175
NC_039513.1	10530653	10531037	*	2.46637672221561e-07	0.00322788347074193	3.9348414316675
NC_039513.1	10530653	10531037	*	2.46637672221561e-07	0.00322788347074193	3.9348414316675
NC_039513.1	10530653	10531037	*	2.46637672221561e-07	0.00322788347074193	3.9348414316675
NC_039506.1	5038742	5039059	*	5.34904552655015e-07	0.00650054914535658	-4.54051903618932
NC_039508.1	13314813	13315089	*	1.61701071271986e-06	0.0169506691224706	1.59762708751674
NC_039508.1	13314813	13315089	*	1.61701071271986e-06	0.0169506691224706	1.59762708751674
NC_039515.1	1559013	1561424	*	1.79331905950734e-06	0.0169506691224706	1.03674033524782
NC_039515.1	1559013	1561424	*	1.79331905950734e-06	0.0169506691224706	1.03674033524782
NC_039506.1	21913139	21913474	*	2.17192708086765e-06	0.0187215605513268	4.72576471018408
NC_039513.1	10162615	10163550	*	2.20074769240612e-06	0.0187215605513268	4.17020271026096
NC_039516.1	13518557	13519039	*	2.38467119240194e-06	0.0193201724242601	4.01759637126345
NC_039511.1	5332106	5332318	*	2.61496521055766e-06	0.0202229739291855	4.44886744592764
NC_039512.1	2416431	2416654	*	2.77970140995822e-06	0.0205623192994664	6.86201509869099
NC_039509.1	12451581	12451827	*	4.81413003540307e-06	0.0341278054691574	0.938838796921884
NC_039517.1	359688	359902	*	7.37727605017349e-06	0.0484274402308917	-5.38793805541497
NC_039519.1	3415874	3415991	*	7.81469859875689e-06	0.0484274402308917	17.0286602209945
NC_039519.1	3415874	3415991	*	7.81469859875689e-06	0.0484274402308917	17.0286602209945
NC_039516.1	12878239	12881496	*	8.25444207577501e-06	0.0484274402308917	-0.602689133519327
NC_039516.1	12878239	12881496	*	8.25444207577501e-06	0.0484274402308917	-0.602689133519327
NC_039507.1	16959497	16960007	*	8.98591579525503e-06	0.0493176572701927	3.13923992014325
NC_039507.1	16959497	16960007	*	8.98591579525503e-06	0.0493176572701927	3.13923992014325
NC_039511.1	2017603	2018026	*	9.40562932721168e-06	0.0500080210183614	3.28854506912648
NC_039518.1	8781967	8782218	*	1.36725314336351e-05	0.0645254522666314	-3.98098320291734
NC_039518.1	8781967	8782218	*	1.36725314336351e-05	0.0645254522666314	-3.98098320291734
NC_039518.1	8781967	8782218	*	1.36725314336351e-05	0.0645254522666314	-3.98098320291734
NC_039514.1	13698378	13699051	*	1.40323689153837e-05	0.0645254522666314	7.4917009341129
NC_039514.1	13698378	13699051	*	1.40323689153837e-05	0.0645254522666314	7.4917009341129
NC_039513.1	10934358	10934652	*	1.54738338557362e-05	0.0682531901401968	6.01403829105969
NC_039515.1	5969426	5969510	*	1.56453677065403e-05	0.0682531901401968	14.2247510668563
NC_039506.1	13181261	13181396	*	1.61638023126157e-05	0.0687519984184241	5.18103538599793
NC_039508.1	1941956	1942206	*	2.14865504008139e-05	0.0848722056768514	-1.17194829121919
NC_039508.1	1941956	1942206	*	2.14865504008139e-05	0.0848722056768514	-1.17194829121919
NC_039508.1	1941956	1942206	*	2.14865504008139e-05	0.0848722056768514	-1.17194829121919
NC_039515.1	5472175	5475682	*	2.19490828564996e-05	0.0848722056768514	0.758398660873656
NC_039509.1	129010	129494	*	2.61515673686735e-05	0.0890536104357025	2.16132763000452
NC_039509.1	129010	129494	*	2.61515673686735e-05	0.0890536104357025	2.16132763000452
NC_039518.1	8781979	8782218	*	2.64433305933102e-05	0.0890536104357025	-3.89554004853382
NC_039518.1	8781979	8782218	*	2.64433305933102e-05	0.0890536104357025	-3.89554004853382
NC_039511.1	2518021	2518865	*	2.65076401627262e-05	0.0890536104357025	1.90274214229254
NC_039506.1	17776576	17776682	*	2.66626923673584e-05	0.0890536104357025	3.44881684412986
NC_039510.1	16221266	16222006	*	2.71061254622328e-05	0.0890536104357025	-1.98330447747454
NC_039516.1	11081513	11081786	*	3.08259607528215e-05	0.0890536104357025	4.79413946944283
NC_039508.1	1941956	1942217	*	3.1631503455906e-05	0.0890536104357025	-1.02073257975441
NC_039516.1	3079406	3079769	*	3.1928578162326e-05	0.0890536104357025	5.68117414430791
NC_039516.1	3079406	3079769	*	3.1928578162326e-05	0.0890536104357025	5.68117414430791
NC_039516.1	3079406	3079769	*	3.1928578162326e-05	0.0890536104357025	5.68117414430791
NC_039516.1	3079406	3079769	*	3.1928578162326e-05	0.0890536104357025	5.68117414430791
NC_039516.1	3079406	3079769	*	3.1928578162326e-05	0.0890536104357025	5.68117414430791
NC_039516.1	3079406	3079769	*	3.1928578162326e-05	0.0890536104357025	5.68117414430791
NC_039516.1	3079406	3079769	*	3.1928578162326e-05	0.0890536104357025	5.68117414430791
NC_039516.1	3079406	3079769	*	3.1928578162326e-05	0.0890536104357025	5.68117414430791
NC_039506.1	20568806	20571268	*	3.70169418695919e-05	0.0923804642948114	0.767687287703002
NC_039506.1	20568806	20571268	*	3.70169418695919e-05	0.0923804642948114	0.767687287703002
NC_039516.1	11808430	11808559	*	3.78191438427824e-05	0.0923804642948114	6.52097762916965
NC_039516.1	11808430	11808559	*	3.78191438427824e-05	0.0923804642948114	6.52097762916965
NC_039515.1	3437442	3437603	*	3.80081204085475e-05	0.0923804642948114	1.35953484683769
NC_039515.1	3437442	3437603	*	3.80081204085475e-05	0.0923804642948114	1.35953484683769
NC_039515.1	3437442	3437603	*	3.80081204085475e-05	0.0923804642948114	1.35953484683769
NC_039515.1	3437442	3437603	*	3.80081204085475e-05	0.0923804642948114	1.35953484683769
NC_039515.1	3437442	3437603	*	3.80081204085475e-05	0.0923804642948114	1.35953484683769
NC_039508.1	5375859	5376062	*	4.28338859561553e-05	0.0958180687496515	-1.83810419165559
NC_039508.1	5375859	5376062	*	4.28338859561553e-05	0.0958180687496515	-1.83810419165559
NC_039508.1	5375859	5376062	*	4.28338859561553e-05	0.0958180687496515	-1.83810419165559
NC_039508.1	5375859	5376062	*	4.28338859561553e-05	0.0958180687496515	-1.83810419165559
NC_039512.1	11135454	11135603	*	4.53571425600184e-05	0.0958180687496515	-23.8745210727969
NC_039517.1	7384815	7384996	*	4.72345734868636e-05	0.0958180687496515	-5.35766612083082
NC_039517.1	7384815	7384996	*	4.72345734868636e-05	0.0958180687496515	-5.35766612083082
NC_039517.1	7384815	7384996	*	4.72345734868636e-05	0.0958180687496515	-5.35766612083082
NC_039509.1	1198439	1198544	*	4.79406131195465e-05	0.0958180687496515	-2.15003684340569
NC_039509.1	1198439	1198544	*	4.79406131195465e-05	0.0958180687496515	-2.15003684340569
NC_039509.1	1198439	1198544	*	4.79406131195465e-05	0.0958180687496515	-2.15003684340569
NC_039509.1	1198439	1198544	*	4.79406131195465e-05	0.0958180687496515	-2.15003684340569
NC_039509.1	1198439	1198544	*	4.79406131195465e-05	0.0958180687496515	-2.15003684340569
NC_039509.1	1198439	1198544	*	4.79406131195465e-05	0.0958180687496515	-2.15003684340569
NC_039509.1	1198439	1198544	*	4.79406131195465e-05	0.0958180687496515	-2.15003684340569
NC_039515.1	12599430	12599709	*	5.29481905343403e-05	0.0958180687496515	4.43051074405114
NC_039515.1	12599430	12599709	*	5.29481905343403e-05	0.0958180687496515	4.43051074405114
NC_039515.1	12599430	12599709	*	5.29481905343403e-05	0.0958180687496515	4.43051074405114
NC_039515.1	12599430	12599709	*	5.29481905343403e-05	0.0958180687496515	4.43051074405114
NC_039515.1	12599430	12599709	*	5.29481905343403e-05	0.0958180687496515	4.43051074405114
NC_039515.1	12599430	12599709	*	5.29481905343403e-05	0.0958180687496515	4.43051074405114
NC_039515.1	12599430	12599709	*	5.29481905343403e-05	0.0958180687496515	4.43051074405114
NC_039515.1	2231409	2231530	*	5.54939641583954e-05	0.0958180687496515	-2.72719672268205
NC_039506.1	20568806	20571412	*	5.6446091309248e-05	0.0958180687496515	0.744367435823584
NC_039506.1	20568806	20571412	*	5.6446091309248e-05	0.0958180687496515	0.744367435823584
NC_039506.1	20568806	20571412	*	5.6446091309248e-05	0.0958180687496515	0.744367435823584
NC_039506.1	20568806	20571412	*	5.6446091309248e-05	0.0958180687496515	0.744367435823584
NC_039514.1	10866430	10866737	*	5.67375917683828e-05	0.0958180687496515	-3.29850707061863
NC_039513.1	6293592	6293739	*	5.7444148679741e-05	0.0958180687496515	4.06399372015631
NC_039513.1	6293592	6293739	*	5.7444148679741e-05	0.0958180687496515	4.06399372015631
NC_039513.1	6293592	6293739	*	5.7444148679741e-05	0.0958180687496515	4.06399372015631
NC_039513.1	6293592	6293739	*	5.7444148679741e-05	0.0958180687496515	4.06399372015631
NC_039512.1	203882	205927	*	5.86199825748232e-05	0.0968300704222712	1.60012560661986
NC_039517.1	8237286	8237458	*	6.09139480226648e-05	0.0977715883390889	-1.77514792899408
