chr	start	end	name	NcpgMeasured	Nmcpg	mCpG_per_CpG	fracMeth	mnMeth	medMeth	sdMeth	stdErrMeth	maxMeth	minMeth
KK852401.1	3632	7927	gene0	998	887	0.8887775551102205	0.7183978068839476	70.94532309017914	80	32.45705869227884	1.0274102406337777	100	0
KK852401.1	37417	39803	gene1	495	462	0.9333333333333333	0.7992073976221928	78.62604857780296	100	29.179688446623082	1.3115294624955716	100	0
KK852403.1	12674	12946	gene2	208	12	0.057692307692307696	0.022099447513812154	3.1778638028638038	0	11.220471071347939	0.7779996881270251	100	0
KK852403.1	15353	17113	gene3	357	302	0.84593837535014	0.7405189620758483	71.30449732340489	87.5	35.841840682432014	1.8969513677504233	100	0
KK852403.1	19007	29059	gene4	2663	2171	0.8152459631993991	0.7018467700066751	67.12722885437935	83.3333333333333	38.0410905164705	0.7371695285939789	100	0
KK852403.1	29673	40599	gene5	3555	2851	0.8019690576652602	0.6677837496048056	65.58644086011135	78.5714285714286	38.00213315215862	0.6373649437181583	100	0
KK852404.1	4730	4979	gene6	162	18	0.1111111111111111	0.022602989427633977	3.1324894525144202	0	12.041039637550613	0.9460334200275601	100	0
KK852404.1	11304	15513	gene7	921	663	0.7198697068403909	0.47519863791146427	45.04452136270789	52.3809523809524	33.461881378695544	1.1026064793073405	100	0
KK852404.1	17080	17558	gene8	123	89	0.7235772357723578	0.6016771488469602	56.57313553655017	70	41.497629169867324	3.741715213315885	100	0
KK852404.1	26282	28904	gene9	291	271	0.9312714776632303	0.6258078414476519	64.20268364801781	66.6666666666667	25.51523977890531	1.4957298451504033	100	0
KK852404.1	50732	51973	gene10	635	627	0.9874015748031496	0.8547291962734881	84.5973813178667	89.4736842105263	17.931408337005326	0.7115862340031018	100	0
KK852404.1	52717	53010	gene11	144	142	0.9861111111111112	0.8996929375639714	88.83442185108123	94.19191919191914	16.46481253544146	1.372067711286788	100	0
KK852404.1	54728	55081	gene12	180	158	0.8777777777777778	0.6892325409229251	64.87338392726541	72.80431432973805	27.84417217509077	2.0753820586903715	100	0
KK852404.1	72738	73058	gene13	194	6	0.030927835051546393	0.016420361247947456	1.478890525282278	0	7.015065734167592	0.5036523677085376	50	0
KK852405.1	440	1519	gene14	881	29	0.032917139614074914	0.012735166425470333	1.3300211547158045	0	6.902390112406335	0.2325474315155452	100	0
KK852405.1	3295	12892	gene15	7563	72	0.009520031733439112	0.005356529701270459	0.5092381186742685	0	3.6319781569805634	0.04176343173364961	100	0
KK852405.1	20707	30110	gene16	6727	40	0.005946187007581388	0.0034457743924555676	0.38347266123610296	0	4.009438937231782	0.04888469274107896	100	0
KK852405.1	35259	44670	gene17	4154	3899	0.938613384689456	0.8708673141348855	85.11588265170462	100	26.31774482834273	0.4083338896575822	100	0
KK852405.1	46810	48819	gene18	677	641	0.946824224519941	0.8423104181431609	82.8451697654061	100	26.60704763674581	1.022591910575615	100	0
KK852405.1	57349	58578	gene19	425	403	0.9482352941176471	0.77728285077951	78.89260524174018	93.3333333333333	28.66013183184368	1.3902205974919817	100	0
KK852405.1	72872	95233	gene20	14047	85	0.0060511141168932865	0.004097702072955166	0.380132155909237	0	3.8443435394844947	0.03243623207757227	100	0
KK852405.1	108712	111574	gene21	2544	18	0.007075471698113208	0.003933333333333333	0.4479423527465907	0	4.326774662863441	0.0857838876857228	100	0
KK852405.1	206445	208853	gene22	1362	30	0.022026431718061675	0.010245663057398999	0.8258325592684482	0	4.5643555547305015	0.12367756154239917	100	0
KK852405.1	219703	226832	gene23	2422	2246	0.9273327828241124	0.8215596589304873	78.91827065956433	90	28.685899545838073	0.5828830197214276	100	0
KK852405.1	235677	252081	gene24	1640	1487	0.9067073170731708	0.8378807564602281	81.84448559863874	100	30.6585896180695	0.757059908932521	100	0
KK852405.1	253141	282696	gene25	7914	7590	0.959059893858984	0.8737803380445218	86.18333114501183	100	24.079523114826944	0.27067606777586595	100	0
KK852405.1	286228	291272	gene26	966	882	0.9130434782608695	0.8258670520231214	82.30314214333166	100	30.370405448363673	0.9771517780825734	100	0
KK852405.1	291788	299542	gene27	2503	1959	0.7826608070315622	0.7057095211625506	69.98374265500695	93.75	39.83917233739514	0.7963058065130966	100	0
KK852405.1	299859	315324	gene28	3965	3733	0.9414880201765448	0.8565731444121235	84.85326965718767	100	26.57939337706712	0.4221078889752667	100	0
KK852405.1	316484	323163	gene29	1619	1423	0.8789376158122297	0.8509078606067441	79.50472060413439	100	32.96666865397992	0.8193163822627797	100	0
KK852405.1	323941	329490	gene30	1508	1183	0.7844827586206896	0.6194284216046145	71.95638453231483	100	40.26209117364687	1.0368015963444535	100	0
KK852405.1	330207	339149	gene31	2855	2783	0.9747810858143607	0.9107979022288818	90.00358278672917	100	19.782236359101084	0.37023061652249895	100	0
KK852405.1	339321	340000	gene32	156	72	0.46153846153846156	0.2585034013605442	37.054980276134124	0	42.65079312814835	3.414796380966548	100	0
KK852405.1	340663	343909	gene33	1333	1108	0.8312078019504876	0.8372093023255814	76.78812995044491	100	36.75122015106573	1.006599447424824	100	0
KK852405.1	349170	350382	gene34	570	557	0.9771929824561404	0.9123746738085428	90.7114632280279	100	17.702775234521024	0.7414876594588566	100	0
KK852405.1	360653	361682	gene35	871	5	0.0057405281285878304	0.004301373664492854	0.44309242321917697	0	2.8274635999950894	0.09580494924583298	50	0
KK852405.1	363344	364721	gene36	542	9	0.016605166051660517	0.005698778833107192	0.7788470804717099	0	5.055952640933662	0.21717176151338421	50	0
KK852405.1	365604	367787	gene37	884	49	0.05542986425339366	0.02881236823612087	2.309746644518229	0	9.505285082597107	0.31969733371210163	100	0
KK852405.1	368506	383349	gene38	11701	253	0.021622083582599778	0.009715917494339966	1.045336859056716	0	5.275078648307429	0.048766035381249344	100	0
KK852405.1	387892	389439	gene39	682	655	0.9604105571847508	0.8726767784661397	85.52531024305785	100	23.77676573276328	0.9104594153959531	100	0
KK852405.1	390555	394402	gene40	842	734	0.8717339667458432	0.8131363545617888	77.26020439385125	100	34.205761442923134	1.178808386155692	100	0
KK852405.1	395060	395826	gene41	176	172	0.9772727272727273	0.9352	92.48791136243202	100	17.202646143408213	1.2966982422486217	100	0
KK852406.1	11504	12012	gene42	200	12	0.06	0.015040106951871657	3.5515609111212574	0	15.968209093382894	1.129122893333574	100	0
