chr	start	end	strand	pvalue	qvalue	meth.diff
chr14	9401664	9402164	*	8.69751826962893e-58	3.14505774778578e-54	-33.0642872240843
chr6	7959082	7959582	*	1.53386252413918e-45	2.77325443076534e-42	-88.5968126030409
chr11	1970665	1971165	*	1.6429683896955e-39	1.98034669323338e-36	21.0101531721375
Sc0000209	220203	220703	*	5.74943190191041e-36	5.19754451439673e-33	35.5974842767296
xfSc0000080	232598	233098	*	1.25750995149209e-33	9.09441358615661e-31	-13.0255790533736
chr9	18380677	18381177	*	1.33306348167633e-28	8.03401901815399e-26	-17.4022723661211
chr14	9457608	9458108	*	8.13837916323499e-28	4.20410112537975e-25	-55.4383788254756
chr1	5911045	5911545	*	1.03270348155088e-22	4.66787189335146e-20	36.4828431372549
chr6	5204214	5204714	*	1.53027190545813e-22	6.14836115478278e-20	12.5769363762102
chr11	1967238	1967738	*	1.76005342724912e-22	6.36442430620262e-20	23.0757429855368
Sc0000030	155911	156411	*	2.18720538362345e-22	7.19002094465189e-20	21.7581047381546
xpSc0000616	66146	66646	*	6.28826519787679e-22	1.8184130399491e-19	28.4762444075756
Sc0000030	47381	47881	*	6.53736321444988e-22	1.8184130399491e-19	11.9239043320538
chr1	28289750	28290250	*	1.89602980419919e-21	4.89722884232077e-19	-39.6992420577326
Sc0000193	121941	122441	*	8.30903630124143e-21	2.00305406559516e-18	-30.4055633473586
chr8	6734277	6734777	*	9.49862961509928e-19	2.14671427945086e-16	-34.929700136867
Sc0000050	603440	603940	*	5.66492640298363e-18	1.20497663288848e-15	29.934215389164
Sc0000050	79287	79787	*	1.39885264588225e-17	2.81017093711614e-15	-29.9944747020286
chr4	25778937	25779437	*	1.51117871261738e-17	2.87604383292116e-15	27.4710359203064
chr11	16744677	16745177	*	5.51621401100812e-17	9.97342637056957e-15	-51.3157894736842
xfSc0000243	30019	30519	*	1.79044805418004e-16	3.08301547869074e-14	-12.8887774199731
chr5	25062657	25063157	*	3.60654367977137e-16	5.92791257499538e-14	-7.23769030311343
chr9	908051	908551	*	4.68614120376814e-16	7.36751127472354e-14	26.448549272458
Sc0000094	931031	931531	*	5.44007351178446e-16	8.19646900815109e-14	18.7637627305257
Sc0000102	459050	459550	*	9.6391033731808e-16	1.39421549024576e-13	-13.3472841236594
chr9	18374638	18375138	*	1.43517234834582e-15	1.99601584553079e-13	-31.7472915591889
xpSc0000572	150319	150819	*	1.74324962112281e-15	2.33468928307711e-13	-31.8501229734478
chr2	30031278	30031778	*	2.33601647600592e-15	3.01683212919339e-13	11.2462462820602
Sc0000126	456052	456552	*	6.70190942215833e-15	8.35668112232538e-13	34.4387096774194
Sc0000050	966583	967083	*	2.04010728289294e-14	2.45903678783932e-12	-16.9197860962567
chr13	20601023	20601523	*	2.71901167046725e-14	3.17163098692483e-12	40.5256259915845
chr2	34582934	34583434	*	1.5317314736614e-12	1.73087590528124e-10	-12.3699015471167
chr6	14569374	14569874	*	2.0350336398197e-12	2.22992844399074e-10	-10.5274652015494
chr1	28289344	28289844	*	2.30810271373721e-12	2.45476254986737e-10	-46.8421052631579
chr10	10411878	10412378	*	2.71996214031275e-12	2.81014085623747e-10	-16.5724049223445
chr2	13691899	13692399	*	3.98380190834705e-12	4.00155240618784e-10	-32.7170005136107
chr2	13775737	13776237	*	8.99677593862861e-12	8.7926230541026e-10	-69.6969696969697
chr5	16062207	16062707	*	2.82538856139566e-11	2.68861031450534e-09	-44.5891608391608
chr1	2698625	2699125	*	3.86530653987902e-11	3.50395074387769e-09	-21.4792299898683
chr10	14830535	14831035	*	3.87600839853728e-11	3.50395074387769e-09	17.4877250409165
Sc0000137	581973	582473	*	6.78067033713948e-11	5.98028729404259e-09	28.5690193102285
chr10	6268144	6268644	*	7.35934847730683e-11	6.33611939079875e-09	-19.2298943276051
Sc0000050	599820	600320	*	7.86004994322572e-11	6.60982748197203e-09	-35.5956411341515
xpSc0000824	2043	2543	*	2.05786114517255e-10	1.69120660155655e-08	16.2541779404743
chr5	16652650	16653150	*	3.4554064316019e-10	2.77664205978968e-08	-21.0942596216569
chr10	14828601	14829101	*	6.98670809183426e-10	5.49222146767581e-08	18.9046535276742
chr10	9503882	9504382	*	8.22836470471305e-10	6.33065941094094e-08	18.9962978198272
Sc0000150	51379	51879	*	1.35908985407723e-09	1.0238591302218e-07	-42.5925925925926
chr3	12779875	12780375	*	1.4583976727004e-09	1.07624998155982e-07	23.4181689642983
chr1	28752309	28752809	*	1.50624259269007e-09	1.08932681469077e-07	-28.798551678736
chr1	19024214	19024714	*	2.44412462399849e-09	1.73295164566443e-07	-43.1385869565217
chr12	1754028	1754528	*	2.5349797521693e-09	1.76280561678241e-07	-27.9356829624817
xpSc0000599	115726	116226	*	2.65910930523838e-09	1.81423522386826e-07	-39.3939393939394
chr6	4517129	4517629	*	3.28583493927806e-09	2.16225373332451e-07	-20.7138708485136
Sc0000050	1043817	1044317	*	3.28878945047096e-09	2.16225373332451e-07	-46.1984536082474
chr1	4323108	4323608	*	4.32828336042818e-09	2.79486562704359e-07	-56.3244469653999
