chr	start	end	strand	pvalue	qvalue	meth.diff
Sc0000193	117350	122191	*	1.01043907692494e-07	0.00129952263489657	-6.45233914178936
chr13	7571809	7582985	*	2.20666341908344e-07	0.00141899156821218	-37.9521016617791
chr1	28261461	28262651	*	2.95092844741794e-06	0.00986359226086356	34.2359537158535
chr2	34583184	34587224	*	3.06776005022004e-06	0.00986359226086356	-4.13173650448569
xpSc0000636	24335	24790	*	5.43900848416498e-06	0.0139901846592814	28.1609195402299
xpSc0000649	1617	2630	*	6.87911438411155e-06	0.0147453469393412	9.64411467843962
chr5	18722251	18734010	*	3.20312804743288e-05	0.0588504753622115	-13.0549345257106
chr2	29697106	29700082	*	3.6883438466101e-05	0.0592945980540715	-7.80662678715371
chr9	17067058	17068668	*	5.67388737789709e-05	0.0734136146908611	-9.30374361883153
xpSc0000587	92157	149038	*	5.70824878843768e-05	0.0734136146908611	-4.33306031485891
chr10	4858747	4905640	*	7.04043320113561e-05	0.0796355687868441	-7.49682946088871
chr12	11152210	11154437	*	7.43044146715697e-05	0.0796355687868441	21.1505734369219
xpSc0000717	14516	15359	*	8.42643645299161e-05	0.0833631875964354	-19.8076923076923
xpSc0000656	3393	8801	*	9.40986820457557e-05	0.0864428784510894	-7.20498340804564
