chr	start	end	strand	pvalue	qvalue	meth.diff
KK853545.1	1925	2425	*	1.47084046253294e-71	5.28314008562337e-68	23.1533320441285
KK853387.1	429155	429655	*	9.79046081526632e-23	1.7583272050044e-19	14.667880348194
KK852940.1	199276	199776	*	1.2134958093373e-15	1.45292629562406e-12	18.0995364955507
KK852528.1	489735	490235	*	1.48670299848069e-13	1.33502925823165e-10	11.7108693006783
KK852498.1	1744545	1745045	*	4.40096387665323e-13	3.16158132229876e-10	-11.0697610470651
KK853589.1	16889	17389	*	1.03184781391481e-12	6.17718994323414e-10	7.39342620742339
KK852859.1	19870	20370	*	1.43022774113515e-12	7.1279032876551e-10	16.4914385844618
KK853664.1	12111	12611	*	1.63137770059593e-12	7.1279032876551e-10	10.4289549226098
KK852936.1	636660	637160	*	1.78598476639502e-12	7.1279032876551e-10	10.5892722920371
KK869316.1	21174	21674	*	5.74215428809603e-12	2.06253541903732e-09	-16.6146751661467
KK853277.1	80232	80732	*	9.57798147509445e-12	3.12757595274893e-09	-8.19098609603989
KK852486.1	376789	377289	*	2.04106260042668e-11	5.87503409383964e-09	9.1655894389262
KK852614.1	220270	220770	*	2.12631295803476e-11	5.87503409383964e-09	-18.3026408476014
KK853116.1	4822	5322	*	2.95286801844519e-11	7.2012669698773e-09	7.82094181584162
KK853040.1	34829	35329	*	3.0072782481068e-11	7.2012669698773e-09	6.83538142743408
KK853231.1	360332	360832	*	4.82270706852873e-11	1.08267337977829e-08	10.6947089031216
KK852846.1	716213	716713	*	9.22042693621614e-11	1.94817814528726e-08	-3.49923333662995
KK852670.1	290879	291379	*	1.0324855657747e-10	2.06033595504761e-08	28.1920828312581
KK852801.1	306232	306732	*	3.25317091295056e-10	6.15006686148442e-08	9.1762029303958
KK852470.1	1143743	1144243	*	8.1700583819048e-10	1.46730947505321e-07	5.45004620918597
KK853101.1	188627	189127	*	9.80662713442927e-10	1.67736248629295e-07	8.89117361238258
KK852461.1	283397	283897	*	4.37944050997154e-09	7.15027109892507e-07	12.2885572139303
KK852478.1	257169	257669	*	8.6287906163581e-09	1.34756167904126e-06	7.82120336992028
KK872168.1	241	741	*	1.00419368604345e-08	1.50290940554314e-06	-3.87066249321343
KK853600.1	5288	5788	*	1.63905117513478e-08	2.35493574900173e-06	13.3671308675559
KK852670.1	291344	291844	*	2.1301114967434e-08	2.94276475618475e-06	8.57148976212689
KK852901.1	361995	362495	*	3.44505821169888e-08	4.58310026217779e-06	11.4453199784848
KK852470.1	434147	434647	*	3.79034894947367e-08	4.8623668341733e-06	7.86042106796824
KK853622.1	890	1390	*	5.51363335137216e-08	6.829146707586e-06	9.27043415701302
KK853682.1	7696	8196	*	8.40150324908841e-08	1.0059173587124e-05	8.81180790173762
KK852921.1	653507	654007	*	9.81372856679526e-08	1.13710064462444e-05	-6.05557757083416
KK853114.1	592305	592805	*	1.26929854634126e-07	1.42475556527447e-05	23.2952887668412
KK852865.1	190553	191053	*	1.90779589702458e-07	2.07656021114767e-05	9.13751091681987
KK852432.1	759234	759734	*	2.00190620235374e-07	2.10069137664347e-05	5.17536189462776
KK853040.1	2303	2803	*	2.09038560442311e-07	2.10069137664347e-05	6.72966806926754
KK853332.1	566172	566672	*	2.10541734149531e-07	2.10069137664347e-05	0.638257577980294
KK853291.1	105266	105766	*	2.45153162679438e-07	2.37991986483233e-05	18.1120801033592
KK852605.1	35082	35582	*	2.78173727584103e-07	2.62941460736063e-05	7.48304286839728
KK853704.1	9550	10050	*	3.01411529053922e-07	2.7760150150628e-05	13.5643821391485
KK852509.1	41647	42147	*	3.54661680138824e-07	3.18479023882237e-05	42.6134632957661
KK853353.1	154256	154756	*	3.95229321922619e-07	3.41389572286098e-05	8.4005424954792
KK852669.1	622881	623381	*	4.03156760482145e-07	3.41389572286098e-05	8.93214536516854
KK852872.1	492767	493267	*	4.08688247812688e-07	3.41389572286098e-05	-8.79270743611829
