chr	start	end	strand	pvalue	qvalue	meth.diff
NW_004582021.1	746719	1158471	*	3.01503749085333e-54	3.40543307254779e-50	0.856168177796241
NW_004582021.1	811379	823423	*	9.03441436175322e-28	5.10210794259603e-24	2.74581575617554
NW_004582014.1	7128482	7130800	*	8.47857284407918e-24	3.19213414524419e-20	12.5666565140879
NW_004581831.1	58646	67162	*	3.36406673013531e-23	9.49913901221351e-20	2.98981560521654
NW_004581708.1	1753872	1759311	*	5.79777749390126e-23	1.30969802431323e-19	25.4393720678455
NW_004582014.1	7134654	7139617	*	5.16959779794495e-22	9.73161990317925e-19	7.65767199704202
NW_004581830.1	92512	101535	*	2.72058227711443e-19	4.38978709275908e-16	7.84849584898513
NW_004582145.1	4538	25511	*	7.46702934369718e-19	1.05423517774875e-15	1.55567955789259
NW_004582021.1	804040	807851	*	1.1034480410611e-18	1.38480623808983e-15	3.88334514563225
NW_004582028.1	2289358	2293790	*	1.00233729424437e-17	1.1321227619965e-14	26.5842654223564
NW_004582011.1	7940470	7955222	*	1.18287484642846e-17	1.21457893368058e-14	2.47423258844601
NW_004582011.1	7959991	7962633	*	1.71886104322226e-17	1.55630927773889e-14	13.3716078697422
NW_004582030.1	1821522	1837188	*	1.79126411699102e-17	1.55630927773889e-14	10.4229068229321
NW_004582035.1	3483581	3485315	*	3.45975025339518e-17	2.79123464382645e-14	10.3029485215872
NW_004581726.1	195872	203480	*	5.49474321496288e-17	4.13747873808278e-14	20.3616779175816
NW_004582020.1	2794028	2804509	*	9.60166664705324e-16	6.77807350046414e-13	10.8660840503982
NW_004582021.1	1889594	1891366	*	2.69329842740791e-15	1.78943195599905e-12	12.4906596162591
NW_004581687.1	51138	98832	*	3.16535532018348e-15	1.98623026642275e-12	2.77497292358786
NW_004581686.1	3463809	3466469	*	2.41710122621133e-14	1.43688122590899e-11	15.1621811205039
NW_004582021.1	807846	810761	*	5.35379553453799e-14	3.02351006119898e-11	8.59266434944537
NW_004582031.1	3986202	3993842	*	6.25720320271804e-14	3.36543027168874e-11	11.8722366008843
NW_004582014.1	7111370	7120022	*	3.98521509996858e-13	2.04601455564907e-10	1.43319946895675
NW_004582027.1	1591591	1596622	*	4.20267728639741e-13	2.06384862078268e-10	3.51534920500438
NW_004581808.1	91740	99269	*	5.4568708096224e-13	2.56810078151097e-10	12.830008783766
NW_004582016.1	6474263	6478924	*	2.09557792207368e-12	9.46767711324333e-10	11.144593252026
NW_004581714.1	198986	205034	*	3.05772673703656e-12	1.32832686271696e-09	3.5581096962064
NW_004581698.1	2382990	2385193	*	4.42048213104288e-12	1.8492069110163e-09	26.43516270034
NW_004581715.1	1073405	1086117	*	5.53458477923883e-12	2.23257802493778e-09	5.86803125652791
NW_004581750.1	260210	267559	*	7.02111382871235e-12	2.73456120860335e-09	11.7075275689599
NW_004582023.1	4538424	4556416	*	9.98399489889435e-12	3.75891693198818e-09	4.67696029984392
NW_004582145.1	6056	11518	*	1.17147427955061e-11	4.26825833073361e-09	2.29966474534827
NW_004581752.1	453525	472885	*	1.46799472683652e-11	5.18148386241122e-09	7.85579276808283
NW_004582013.1	6644201	6647296	*	2.49672626739745e-11	8.54548316953971e-09	20.7253365481214
NW_004581773.1	646376	650587	*	6.2067995718921e-11	2.06190398089569e-08	19.435099968264
NW_004582017.1	5113111	5116324	*	7.18130925154399e-11	2.31747585263073e-08	20.8665026294206
NW_004581724.1	1745693	1772436	*	7.53141055058151e-11	2.36294413600832e-08	6.49390317235954
NW_004581786.1	125524	135673	*	9.27376263295102e-11	2.83096098580788e-08	9.82864214952028
NW_004582020.1	5842592	5854220	*	9.8613962590528e-11	2.93112572039281e-08	9.80819957346504
NW_004581726.1	561363	567913	*	1.21959603948238e-10	3.53208406163359e-08	11.7711171662125
NW_004582145.1	1769	5877	*	1.47235107479558e-10	4.07649748844671e-08	1.98682347451776
NW_004581715.1	956838	991701	*	1.48027737174526e-10	4.07649748844671e-08	2.66834088503258
NW_004582019.1	2786759	2800092	*	1.51585212477342e-10	4.07649748844671e-08	7.06000691192077
NW_004581739.1	1350432	1374591	*	1.8445313130709e-10	4.84503824265946e-08	2.46680299043283
NW_004581738.1	240907	244954	*	2.99758633441821e-10	7.69482338868328e-08	20.077614379085
NW_004582026.1	1160788	1174408	*	3.08150854253458e-10	7.73446885333259e-08	7.03039721744279
NW_004582017.1	6763029	6771716	*	3.30621001644196e-10	8.11805965275628e-08	10.1048096652338
NW_004582034.1	4415713	4427593	*	4.26320464838465e-10	1.02451413698e-07	14.8183581124758
NW_004581680.1	540590	549870	*	4.76999479554298e-10	1.10497779598222e-07	12.125340599455
NW_004581691.1	1477753	1488476	*	4.7936905854022e-10	1.10497779598222e-07	29.2455808080808
NW_004581684.1	1785914	1793181	*	5.18185738061973e-10	1.17056378600413e-07	8.93893762059971
NW_004582014.1	5396850	5400103	*	5.75821726407506e-10	1.27525637672442e-07	13.6238056866582
NW_004582009.1	2347786	2357738	*	6.15348845116549e-10	1.33658837300541e-07	7.38262799959828
NW_004582173.1	12962	15126	*	6.66298237956761e-10	1.41994795903258e-07	9.41096975627941
NW_004582010.1	1415163	1423877	*	7.48017912893074e-10	1.56458034789017e-07	2.84962095696633
NW_004582034.1	4524504	4541070	*	7.62629745055477e-10	1.56614036614159e-07	7.47325941772197
NW_004582021.1	2669001	2714780	*	1.04367063026587e-09	2.10501438440788e-07	2.10532236986085
NW_004582023.1	5357782	5375020	*	1.06524125969258e-09	2.11082756280901e-07	8.5535420731178
NW_004581714.1	191462	267702	*	1.15222466685413e-09	2.2438240957511e-07	1.87959364654864
NW_004581738.1	1050608	1079599	*	1.27138668576252e-09	2.43391428758676e-07	2.76238318808964
NW_004582011.1	3263244	3283595	*	1.80022719016296e-09	3.32313496628387e-07	3.34029890912
NW_004581714.1	928873	933643	*	1.8128646922384e-09	3.32313496628387e-07	21.0832557273235
NW_004581715.1	837190	837666	*	1.82414785555295e-09	3.32313496628387e-07	22.5009397318632
NW_004582035.1	2688028	2699880	*	1.86018173144732e-09	3.3349894018336e-07	11.1025702134516
NW_004581698.1	1980239	1982392	*	2.34526031621035e-09	4.13276976469908e-07	41.5750915750916
NW_004581704.1	2471929	2487735	*	2.37834545137656e-09	4.13276976469908e-07	4.24093305251677
NW_004581709.1	893540	903694	*	2.70772904216184e-09	4.63383857085533e-07	12.8448802511751
NW_004582009.1	10960960	10982897	*	2.91310185632246e-09	4.9108933190374e-07	2.02627286376838
NW_004582014.1	1991212	1997168	*	3.30437344693658e-09	5.44127163825178e-07	35.0732202406844
NW_004581810.1	75843	95842	*	3.32406773824239e-09	5.44127163825178e-07	6.29447176633538
NW_004582016.1	2516226	2531227	*	3.49791468193143e-09	5.64404938291422e-07	3.68741365536799
NW_004582017.1	6425334	6435246	*	3.56776850543242e-09	5.67568065094961e-07	4.53909209902191
NW_004581742.1	1477607	1511309	*	3.93393021834293e-09	6.1712592073351e-07	2.33080373910264
NW_004581689.1	1825235	1828032	*	4.03386281376501e-09	6.24134079424143e-07	3.36679741495077
NW_004581681.1	1279023	1286162	*	4.83847138158292e-09	7.38509505491326e-07	18.0524285245568
NW_004582030.1	3225168	3361959	*	5.18941100824827e-09	7.81513416362442e-07	4.13177701776531
NW_004581715.1	392288	439616	*	5.6958153104933e-09	8.46490208720082e-07	1.51523370666251
NW_004582011.1	3552449	3559560	*	6.25943393470617e-09	9.18171836885902e-07	6.48296344552899
NW_004582024.1	4539291	4556247	*	6.7369014120639e-09	9.6716558039348e-07	5.42970545140319
NW_004582021.1	826998	1046605	*	6.76469610142247e-09	9.6716558039348e-07	0.795031715997823
NW_004582011.1	4705295	4712377	*	7.76006173143769e-09	1.0956070590092e-06	19.8283062645012
NW_004581692.1	540802	566440	*	8.07768267226138e-09	1.12637084822679e-06	4.32065382267465
NW_004581682.1	1245589	1261094	*	8.45764582085375e-09	1.15727775279764e-06	15.1996281663955
NW_004582023.1	854605	857562	*	8.50425089049267e-09	1.15727775279764e-06	26.467715680955
NW_004581760.1	176304	179187	*	8.83703970924519e-09	1.18824816719594e-06	19.846157561706
NW_004582173.1	7759	10874	*	9.240822090097e-09	1.22792351411544e-06	2.99890446016792
NW_004581684.1	3898300	3904023	*	9.59818920552493e-09	1.26058021979652e-06	7.46722701467227
NW_004581701.1	498130	526645	*	9.73453370479687e-09	1.26379180010443e-06	2.53162663390691
NW_004581752.1	741016	746046	*	9.89842408369177e-09	1.27046591245353e-06	15.7190016139873
NW_004582010.1	4557558	4577785	*	1.12741911354246e-08	1.42209696763755e-06	6.68535747454242
NW_004582010.1	3132282	3143688	*	1.13316222152719e-08	1.42209696763755e-06	6.23908811196121
NW_004582016.1	4010145	4011072	*	1.15129917829229e-08	1.42898093637063e-06	26.2026002166847
NW_004581691.1	2615541	2639530	*	1.18405280415619e-08	1.45366011964625e-06	3.37867959269623
NW_004581757.1	228270	247773	*	1.57173853100703e-08	1.90887277561604e-06	1.85482155836987
NW_004581723.1	282594	285347	*	1.59642437711216e-08	1.9182275751067e-06	26.8448813234236
NW_004582015.1	611386	625117	*	1.73803562965264e-08	2.06640147224884e-06	27.0854967116649
NW_004581773.1	454939	461910	*	1.81696442759062e-08	2.1377397089212e-06	7.47835695714333
NW_004582026.1	689330	695276	*	1.92757102694021e-08	2.24449317033451e-06	7.81847980253623
NW_004582019.1	3235586	3245049	*	2.56251722464992e-08	2.95338694124598e-06	16.4503773797454
NW_004581802.1	251606	284816	*	2.60999153436962e-08	2.97771779801419e-06	2.42793000093978
NW_004582019.1	3031366	3036208	*	2.72882577101325e-08	3.08216184973513e-06	7.53963482314637
NW_004582017.1	5624339	5637629	*	2.80696540841711e-08	3.13902893900101e-06	7.94103615082378
NW_004581684.1	189204	200216	*	3.27228545774637e-08	3.62351983702368e-06	25.3480126889345
NW_004582020.1	6262857	6264620	*	3.64538008983954e-08	3.99747011071639e-06	26.889400921659
NW_004582036.1	2521054	2528417	*	3.81138459910233e-08	4.13932063141127e-06	12.8444900596799
NW_004582024.1	3772467	3802870	*	4.12882198464368e-08	4.44136526923017e-06	4.45256093588839
NW_004582031.1	3994618	3998511	*	4.23068498455702e-08	4.50800569993506e-06	8.33333333333333
NW_004582028.1	3930461	3933214	*	4.58868692981837e-08	4.84377859027637e-06	32.8469802555168
NW_004582029.1	89369	93983	*	5.21287785906009e-08	5.45171854420753e-06	14.9193752444046
NW_004582029.1	1454555	1464604	*	5.36259932434128e-08	5.55684757046292e-06	1.73618235444986
NW_004582011.1	3108124	3141414	*	5.74906768765271e-08	5.90315748349038e-06	1.29851203758793
NW_004582025.1	3796373	3809580	*	5.89201315537642e-08	5.99543034505785e-06	4.90107797328435
NW_004618906.1	8	657	*	5.96374786768008e-08	6.01424179352946e-06	32.7536231884058
NW_004582010.1	4937483	4941441	*	6.45303970979665e-08	6.41732008880303e-06	16.0943864200059
NW_004582016.1	5716460	5732687	*	6.47707492141133e-08	6.41732008880303e-06	4.54440220046303
NW_004582125.1	759	8403	*	8.73892573983655e-08	8.58301440068193e-06	1.5769721078898
NW_004581768.1	711109	713391	*	8.82021415559895e-08	8.58817278493634e-06	5.11819298185702
NW_004581684.1	4341810	4346407	*	8.96627730797793e-08	8.65577457519921e-06	3.14770711107989
NW_004581700.1	2564302	2570752	*	1.03931892033274e-07	9.87216810242601e-06	12.9223617567474
NW_004582011.1	7013114	7076124	*	1.04011143398678e-07	9.87216810242601e-06	1.93658427529444
NW_004581727.1	103292	115930	*	1.09859624263294e-07	1.03403799272496e-05	9.31156662316949
NW_004582028.1	2278853	2287331	*	1.12584384340862e-07	1.05092668467601e-05	5.03043491973381
NW_004581706.1	286443	298571	*	1.20403935756531e-07	1.11470637618583e-05	5.4876988629575
NW_004581757.1	222249	280058	*	1.25723263636371e-07	1.15448997880453e-05	0.88363331721023
NW_004581727.1	601534	607501	*	1.26811620168057e-07	1.15509312424633e-05	10.4503234666956
NW_004581808.1	275438	277879	*	1.33942775286653e-07	1.21028851727057e-05	31.4953886693017
NW_004582026.1	5818931	5842404	*	1.36897236302877e-07	1.22716728288474e-05	2.16247847447017
NW_004582024.1	855029	861947	*	1.41713796527979e-07	1.26034094259149e-05	10.0689884860596
NW_004581723.1	145386	147954	*	1.47192005967283e-07	1.29042558174536e-05	18.7596932933281
NW_004582035.1	3004928	3006978	*	1.47381523540495e-07	1.29042558174536e-05	6.43312827523354
NW_004581687.1	1793574	1797046	*	1.56574863964652e-07	1.36037400145226e-05	17.4384647476012
NW_004582009.1	1123443	1126589	*	1.61031805700349e-07	1.38708238727133e-05	22.8235294117647
NW_004582025.1	263924	269006	*	1.62105054220414e-07	1.38708238727133e-05	13.1137389829365
NW_004581684.1	1790017	1791591	*	1.88518457726055e-07	1.60096511891685e-05	15.9900040098528
NW_004582009.1	9115381	9116640	*	1.93123556440479e-07	1.62783388609277e-05	28.6896745230079
