chr	start	end	strand	pvalue	qvalue	meth.diff	gene.chr	gene.start	gene.end	gene.strand	gene.startSite	gene.description	gene.withinWindow	gene.enclosesWindow	gene.distance	gene.direction	gene.closest
NW_020825136.1	15500	16000	*	7.15411706915276e-18	2.72235147117713e-12	6.11237980048551	NW_020825136.1	4908	5062	-	5062	ID=gene-LOC113563513;Dbxref=GeneID:113563513;Name=LOC113563513;gbkey=Gene;gene=LOC113563513;gene_biotype=rRNA	FALSE	FALSE	10438	leftOfWindowStart	FALSE
NW_020825136.1	15500	16000	*	7.15411706915276e-18	2.72235147117713e-12	6.11237980048551	NW_020825136.1	6260	8179	-	8179	ID=gene-LOC113563515;Dbxref=GeneID:113563515;Name=LOC113563515;gbkey=Gene;gene=LOC113563515;gene_biotype=rRNA	FALSE	FALSE	7321	leftOfWindowStart	FALSE
NW_020825136.1	15500	16000	*	7.15411706915276e-18	2.72235147117713e-12	6.11237980048551	NW_020825136.1	8707	10625	+	8707	ID=gene-LOC113563516;Dbxref=GeneID:113563516;Name=LOC113563516;gbkey=Gene;gene=LOC113563516;gene_biotype=rRNA	FALSE	FALSE	6793	leftOfWindowStart	FALSE
NW_020825136.1	15500	16000	*	7.15411706915276e-18	2.72235147117713e-12	6.11237980048551	NW_020825136.1	11825	11979	+	11825	ID=gene-LOC113563514;Dbxref=GeneID:113563514;Name=LOC113563514;gbkey=Gene;gene=LOC113563514;gene_biotype=rRNA	FALSE	FALSE	3675	leftOfWindowStart	FALSE
NW_020825136.1	15500	16000	*	7.15411706915276e-18	2.72235147117713e-12	6.11237980048551	NW_020825136.1	14974	15780	-	15780	ID=gene-LOC113563512;Dbxref=GeneID:113563512;Name=LOC113563512;gbkey=Gene;gene=LOC113563512;gene_biotype=protein_coding	TRUE	FALSE	-280	leftOfWindowStart	TRUE
NW_020825136.1	15500	16000	*	7.15411706915276e-18	2.72235147117713e-12	6.11237980048551	NW_020825136.1	17960	20459	+	17960	ID=gene-LOC113563511;Dbxref=GeneID:113563511;Name=LOC113563511;gbkey=Gene;gene=LOC113563511;gene_biotype=protein_coding	FALSE	FALSE	1960	rightOfWindowEnd	TRUE
NC_039509.1	4855500	4856000	*	1.06617971758922e-12	2.0285633395862e-7	10.5674690774029	NC_039509.1	4806359	4825429	-	4825429	ID=gene-LOC105286152;Dbxref=GeneID:105286152;Name=LOC105286152;gbkey=Gene;gene=LOC105286152;gene_biotype=protein_coding	FALSE	FALSE	30071	leftOfWindowStart	FALSE
NC_039509.1	4855500	4856000	*	1.06617971758922e-12	2.0285633395862e-7	10.5674690774029	NC_039509.1	4829663	4850219	-	4850219	ID=gene-LOC105286155;Dbxref=GeneID:105286155;Name=LOC105286155;gbkey=Gene;gene=LOC105286155;gene_biotype=protein_coding	FALSE	FALSE	5281	leftOfWindowStart	FALSE
NC_039509.1	4855500	4856000	*	1.06617971758922e-12	2.0285633395862e-7	10.5674690774029	NC_039509.1	4851308	4854263	-	4854263	ID=gene-LOC105286154;Dbxref=GeneID:105286154;Name=LOC105286154;gbkey=Gene;gene=LOC105286154;gene_biotype=protein_coding	FALSE	FALSE	1237	leftOfWindowStart	FALSE
NC_039509.1	4855500	4856000	*	1.06617971758922e-12	2.0285633395862e-7	10.5674690774029	NC_039509.1	4855260	4859028	+	4855260	ID=gene-LOC105286153;Dbxref=GeneID:105286153;Name=LOC105286153;gbkey=Gene;gene=LOC105286153;gene_biotype=protein_coding	FALSE	TRUE	240	leftOfWindowStart	TRUE
