chr	start	end	strand	pvalue	qvalue	meth.diff	gene.chr	gene.start	gene.end	gene.strand	gene.startSite	gene.description	gene.withinWindow	gene.enclosesWindow	gene.distance	gene.direction	gene.closest
chr7	7900000	7901000	*	5.25635473173827e-8	0.00246298569132937	-32.2268907563025	chr7	7850147	7851835	+	7850147	ID=Amillepora11473;Name=Amillepora11473;Alias=maker-chr7-augustus-gene-78.21;	FALSE	FALSE	49853	leftOfWindowStart	FALSE
chr7	7900000	7901000	*	5.25635473173827e-8	0.00246298569132937	-32.2268907563025	chr7	7852241	7852708	-	7852708	ID=Amillepora11475;Name=Amillepora11475;Alias=augustus_masked-chr7-processed-gene-78.13;	FALSE	FALSE	47292	leftOfWindowStart	TRUE
chr7	7900000	7901000	*	5.25635473173827e-8	0.00246298569132937	-32.2268907563025	chr7	7908254	7909081	+	7908254	ID=Amillepora11479;Name=Amillepora11479;Alias=augustus_masked-chr7-processed-gene-79.0;	FALSE	FALSE	7254	rightOfWindowEnd	FALSE
chr7	7900000	7901000	*	5.25635473173827e-8	0.00246298569132937	-32.2268907563025	chr7	7902974	7906609	-	7906609	ID=Amillepora11478;Name=Amillepora11478;Alias=maker-chr7-augustus-gene-79.5;	FALSE	FALSE	5609	rightOfWindowEnd	TRUE
chr7	11162000	11163000	*	8.22709207959706e-8	0.00246298569132937	-31.768342041357	chr7	11134690	11166017	+	11134690	ID=Amillepora11793;Name=Amillepora11793;Alias=maker-chr7-snap-gene-111.14;	FALSE	TRUE	27310	leftOfWindowStart	TRUE
chr7	11162000	11163000	*	8.22709207959706e-8	0.00246298569132937	-31.768342041357	chr7	11111995	11115731	-	11115731	ID=Amillepora11792;Name=Amillepora11792;Alias=maker-chr7-augustus-gene-111.13;	FALSE	FALSE	46269	leftOfWindowStart	FALSE
chr7	11162000	11163000	*	8.22709207959706e-8	0.00246298569132937	-31.768342041357	chr7	11199878	11201164	+	11199878	ID=Amillepora11795;Name=Amillepora11795;Alias=maker-chr7-augustus-gene-112.17;	FALSE	FALSE	36878	rightOfWindowEnd	FALSE
chr7	11162000	11163000	*	8.22709207959706e-8	0.00246298569132937	-31.768342041357	chr7	11202327	11203985	-	11203985	ID=Amillepora11796;Name=Amillepora11796;Alias=maker-chr7-augustus-gene-112.18;	FALSE	FALSE	40985	rightOfWindowEnd	FALSE
chr7	11162000	11163000	*	8.22709207959706e-8	0.00246298569132937	-31.768342041357	chr7	11197166	11199046	-	11199046	ID=Amillepora11794;Name=Amillepora11794;Alias=maker-chr7-snap-gene-112.22;	FALSE	FALSE	36046	rightOfWindowEnd	TRUE
chr13	7578000	7579000	*	2.20666341908344e-7	0.00440413240725403	-37.9521016617791	chr13	7571840	7573505	+	7571840	ID=Amillepora15524;Name=Amillepora15524;Alias=maker-chr13-augustus-gene-75.17;	FALSE	FALSE	6160	leftOfWindowStart	TRUE
chr13	7578000	7579000	*	2.20666341908344e-7	0.00440413240725403	-37.9521016617791	chr13	7559723	7569792	+	7559723	ID=Amillepora15522;Name=Amillepora15522;Alias=maker-chr13-snap-gene-75.22;	FALSE	FALSE	18277	leftOfWindowStart	FALSE
chr13	7578000	7579000	*	2.20666341908344e-7	0.00440413240725403	-37.9521016617791	chr13	7571809	7582985	-	7582985	ID=Amillepora15523;Name=Amillepora15523;Alias=maker-chr13-augustus-gene-75.18;	FALSE	TRUE	3985	rightOfWindowEnd	TRUE
chr13	7578000	7579000	*	2.20666341908344e-7	0.00440413240725403	-37.9521016617791	chr13	7611717	7616274	+	7611717	ID=Amillepora15527;Name=Amillepora15527;Alias=maker-chr13-augustus-gene-76.17;	FALSE	FALSE	32717	rightOfWindowEnd	FALSE
chr13	7578000	7579000	*	2.20666341908344e-7	0.00440413240725403	-37.9521016617791	chr13	7604641	7610541	+	7604641	ID=Amillepora15526;Name=Amillepora15526;Alias=maker-chr13-augustus-gene-76.16;	FALSE	FALSE	25641	rightOfWindowEnd	FALSE
chr13	7578000	7579000	*	2.20666341908344e-7	0.00440413240725403	-37.9521016617791	chr13	7584989	7604442	-	7604442	ID=Amillepora15525;Name=Amillepora15525;Alias=maker-chr13-snap-gene-76.24;	FALSE	FALSE	25442	rightOfWindowEnd	FALSE
chr1	28262000	28263000	*	4.39551154657271e-7	0.00657953134627603	30.9348739495798	chr1	28248540	28249595	+	28248540	ID=Amillepora02361;Name=Amillepora02361;Alias=augustus_masked-chr1-processed-gene-282.12;	FALSE	FALSE	13460	leftOfWindowStart	FALSE
chr1	28262000	28263000	*	4.39551154657271e-7	0.00657953134627603	30.9348739495798	chr1	28231749	28232561	+	28231749	ID=Amillepora02358;Name=Amillepora02358;Alias=snap_masked-chr1-processed-gene-282.24;	FALSE	FALSE	30251	leftOfWindowStart	FALSE
chr1	28262000	28263000	*	4.39551154657271e-7	0.00657953134627603	30.9348739495798	chr1	28259678	28260351	+	28259678	ID=Amillepora02362;Name=Amillepora02362;Alias=maker-chr1-snap-gene-282.43;	FALSE	FALSE	2322	leftOfWindowStart	FALSE
chr1	28262000	28263000	*	4.39551154657271e-7	0.00657953134627603	30.9348739495798	chr1	28234922	28243596	+	28234922	ID=Amillepora02359;Name=Amillepora02359;Alias=snap_masked-chr1-processed-gene-282.25;	FALSE	FALSE	27078	leftOfWindowStart	FALSE
chr1	28262000	28263000	*	4.39551154657271e-7	0.00657953134627603	30.9348739495798	chr1	28261461	28262651	+	28261461	ID=Amillepora02363;Name=Amillepora02363;Alias=maker-chr1-augustus-gene-282.38;	FALSE	FALSE	539	leftOfWindowStart	TRUE
