chr	start	end	strand	pvalue	qvalue	meth.diff
chr9	18379000	18379500	*	5.76820662201195e-85	3.70270563685797e-80	-44.0742693319856
chr5	21624500	21625000	*	1.15738544771446e-80	3.71472270507444e-76	44.7006167936401
chr9	18377500	18378000	*	1.24598185586658e-71	2.66605338739338e-67	-43.9565931320054
chr13	12293500	12294000	*	2.15709762351004e-71	3.46169011150889e-67	-27.89296473507
chr12	22647500	22648000	*	1.47905631066865e-69	1.89886059831641e-65	94.7019867549669
chr11	1970500	1971000	*	1.88792178265825e-63	2.01981282475782e-59	23.2710303388495
chr12	22649500	22650000	*	3.91418910725163e-60	3.58940234705628e-56	85.2521008403361
chr9	18380000	18380500	*	1.35442449849499e-55	1.08678389010419e-51	-30.7936014274899
Sc0000193	117500	118000	*	3.36112799210292e-54	2.39729190988803e-50	-29.7333144090484
chr2	13735500	13736000	*	5.21034843471947e-52	3.34460739419573e-48	-26.6771503454849
Sc0000152	206000	206500	*	2.3832128238066e-51	1.39074824445538e-47	19.4393239618418
chr7	7900500	7901000	*	6.7086276010522e-51	3.58864763084902e-47	-80.7017543859649
chr1	2862500	2863000	*	9.4281735868812e-50	4.65545996329418e-46	95.959595959596
chr14	9401500	9402000	*	4.95140969294281e-48	2.2702788605895e-44	-32.7822246867742
chr9	18378500	18379000	*	1.21391169607727e-47	5.19486439402821e-44	-40.0029642804209
chr4	16126000	16126500	*	1.53446028131029e-47	6.15621880579466e-44	-25.3889708934914
chr8	10560500	10561000	*	1.36885508815868e-45	5.16876671922213e-42	-22.7099548417922
chr6	7959000	7959500	*	1.53386252413918e-45	5.47006277154395e-42	-88.5968126030409
chr5	14255500	14256000	*	3.91852047382981e-45	1.32387474609754e-41	-24.911851649591
chr13	7578500	7579000	*	3.55346736955028e-43	1.14051424661305e-39	-91.1233211233211
chr12	14502500	14503000	*	2.36843135216614e-42	7.23968858033027e-39	-36.5880640465793
chr6	5204000	5204500	*	5.71901138473747e-42	1.66869382454897e-38	21.4673442034395
chr2	34584000	34584500	*	5.66951939930816e-40	1.58232900160478e-36	-22.8019416674688
chr14	6441000	6441500	*	1.33787534805242e-39	3.57834976367342e-36	-33.9965927282162
chr9	18241500	18242000	*	7.45519052877591e-39	1.91424321655942e-35	-60.0957592339261
Sc0000030	155500	156000	*	8.47250899616375e-39	2.09178511918647e-35	21.6537121102163
chr6	4515500	4516000	*	1.58164280723141e-38	3.76030459121369e-35	-23.3475163967183
chr6	14570500	14571000	*	1.47964004096148e-37	3.39216073259344e-34	-26.8711578680525
chr9	18240500	18241000	*	1.95148975332981e-37	4.31963106555489e-34	-32.7546616549459
Sc0000030	155000	155500	*	7.68728027094534e-37	1.64486340709528e-33	28.9064244770342
chr4	16125500	16126000	*	2.60707719091098e-36	5.39846853796049e-33	-22.9112554112554
Sc0000209	220000	220500	*	1.20399159290296e-35	2.41519307359285e-32	31.58419792498
Sc0000160	77500	78000	*	2.20876062722589e-35	4.29648292989359e-32	-34.5840412359259
Sc0000094	90500	91000	*	2.9458207676534e-35	5.56167722805559e-32	65.7729758570095
chr7	9381000	9381500	*	3.10874119139048e-35	5.70157579157055e-32	-55.2136752136752
chr1	5313000	5313500	*	4.43195436568196e-35	7.90262106263531e-32	-29.9663670274567
chr5	14254500	14255000	*	5.71059186755718e-35	9.90735618650335e-32	-17.5975975975976
chr4	16124500	16125000	*	6.10733893054451e-35	1.03168425812816e-31	-28.7877547192003
xpSc0000584	152000	152500	*	2.22125523528571e-34	3.65605092044518e-31	-32.4884713331957
chr8	8450000	8450500	*	3.0763882879793e-34	4.9369591805172e-31	-47.0260072766474
chr12	10833000	10833500	*	4.08506672681154e-34	6.3957823557409e-31	20.3940069975253
chr4	16126500	16127000	*	7.46221050060802e-34	1.13618486874076e-30	-25.8637905334916
chr5	9892000	9892500	*	7.61095367111735e-34	1.13618486874076e-30	-34.1135714620102
chr5	18507500	18508000	*	1.32134508612781e-33	1.92771113483351e-30	97.0149253731343
Sc0000030	295500	296000	*	1.72727670492405e-33	2.46392668210278e-30	-38.3169934640523
Sc0000152	486500	487000	*	2.68777134399452e-33	3.75070464332811e-30	-22.390601243953
Sc0000141	50500	51000	*	4.7060746270172e-33	6.42745922598972e-30	-31.0557721848044
chr9	18378000	18378500	*	1.40983798973496e-32	1.88541236099831e-29	-44.0384735983946
chr8	17531000	17531500	*	5.3080447631417e-32	6.95371480858945e-29	100
chr11	15608000	15608500	*	7.10296014479268e-32	9.11901125945724e-29	41.2008281573499
chr8	4464000	4464500	*	1.55591508174886e-31	1.95836704752953e-28	-19.7692454845446
chr1	28262000	28262500	*	1.97410259856425e-31	2.43693954252146e-28	64.8860315604909
Sc0000066	102500	103000	*	8.78715781078025e-31	1.06426783037797e-27	-18.4512254895174
Sc0000102	728000	728500	*	9.17539476309773e-31	1.09071020637931e-27	38.5559566787004
chr6	10449500	10450000	*	1.06277182621128e-30	1.2403827612837e-27	40.3651903651904
Sc0000104	290000	290500	*	4.04403307377756e-30	4.63559035117194e-27	75.1405768184292
chr8	9825000	9825500	*	4.29564183324234e-30	4.83761815995781e-27	-30.718877849211
chr6	14571500	14572000	*	1.21406331000127e-29	1.34366721128911e-26	-21.6572879836662
xfSc0000152	160500	161000	*	1.61232953622473e-29	1.75420432205985e-26	-42.2048525146778
chr12	12653500	12654000	*	1.8636278776968e-29	1.99207242759911e-26	93.4782608695652
chr4	2228500	2229000	*	1.89302600913065e-29	1.99207242759911e-26	-42.0828667413214
Sc0000152	488500	489000	*	2.04890344124014e-29	2.12132974110155e-26	-57.3358569377366
chr11	1968500	1969000	*	2.19718742685904e-29	2.2387465735536e-26	15.8894248424293
chr6	6472500	6473000	*	3.34540069111301e-29	3.35541735722904e-26	43.1428018762996
Sc0000271	54000	54500	*	4.5447270698277e-29	4.48820648510801e-26	12.8145518258681
chr11	1003500	1004000	*	6.03328638754857e-29	5.8679767412865e-26	38.4608026019993
chr1	28640000	28640500	*	2.12435484190182e-28	2.0277136360425e-25	-58.24534942182
chr9	18380500	18381000	*	2.14801423922125e-28	2.0277136360425e-25	-18.1544593921276
chr1	35666000	35666500	*	2.2855697379206e-28	2.12629620889519e-25	-43.7964624455268
Sc0000150	496000	496500	*	4.30715308268073e-28	3.94975944199086e-25	-21.7441649847332
chr10	20683000	20683500	*	4.67789562901098e-28	4.21769633611237e-25	-33.3059399359478
chr5	11099500	11100000	*	4.73074377267952e-28	4.21769633611237e-25	15.9737377838682
chr14	9457500	9458000	*	8.13837916323499e-28	7.15638073465652e-25	-55.4383788254756
chr5	11477000	11477500	*	1.88181530612626e-27	1.63238898413711e-24	43.5850454173327
chr3	6191000	6191500	*	2.38959613168231e-27	2.04522749071424e-24	64.9501661129568
chr1	4297500	4298000	*	5.77949356290448e-27	4.88151435233182e-24	-27.1238157223758
chr7	635500	636000	*	8.85261048026288e-27	7.38004497919018e-24	70.7692307692308
chr1	12576000	12576500	*	1.40138307340965e-26	1.15329562178312e-23	34.03926054265
xpSc0000564	20500	21000	*	1.516730060785e-26	1.23242239497723e-23	-77.1683673469388
chr7	17612500	17613000	*	2.1894250314312e-26	1.75678441684588e-23	52.7944862155388
chr11	9726000	9726500	*	2.33247341541927e-26	1.84846002160624e-23	-54.3307086614173
