chr	start	end	strand	pvalue	qvalue	meth.diff
NW_020825136.1	15500	16000	*	7.15411706915276e-18	2.72235147117713e-12	6.11237980048551
NC_039509.1	4855500	4856000	*	1.06617971758922e-12	2.0285633395862e-07	10.5674690774029
NC_039512.1	13781000	13781500	*	5.61545835954489e-11	7.12282227546837e-06	2.2212015344895
NC_039506.1	12619500	12620000	*	2.12415641048617e-10	2.02075961058538e-05	2.81250238501423
NC_039517.1	5745500	5746000	*	1.18104888334404e-08	0.000898847512285542	6.57763289342236
NC_039508.1	13314500	13315000	*	3.341188058079e-08	0.00211903349671912	4.62667002244175
NC_039506.1	15371000	15371500	*	4.92459070008254e-08	0.00267707323683612	-5.43618747791038
NC_039512.1	4767000	4767500	*	1.65108888344237e-07	0.00713255193537386	6.67360028677041
NC_039506.1	21913000	21913500	*	1.70694459268821e-07	0.00713255193537386	5.00527789555509
NC_039513.1	10530500	10531000	*	1.98673784691855e-07	0.00713255193537386	5.05164850714589
NC_039515.1	160000	160500	*	2.06181396107367e-07	0.00713255193537386	5.75870271557143
NC_039518.1	4478500	4479000	*	2.57009064613152e-07	0.0081499575511598	4.74647116620406
NC_039518.1	4435500	4436000	*	5.36391282862386e-07	0.0157009709762715	2.52959293794864
NC_039516.1	12963000	12963500	*	6.24292875063904e-07	0.0159481396687172	-2.73540945629477
NC_039512.1	1554000	1554500	*	6.28656105391864e-07	0.0159481396687172	1.35130701862822
NC_039511.1	11582000	11582500	*	8.3096180423819e-07	0.019762834361611	5.58420511725831
NC_039507.1	15741000	15741500	*	1.03982891650603e-06	0.0232756126401226	4.89706436857488
NC_039509.1	3480500	3481000	*	1.42121874832915e-06	0.0300453020654595	3.28688984610628
NC_039511.1	8655000	8655500	*	1.61297404801721e-06	0.032304418708875	6.41592651311499
NC_039514.1	7348500	7349000	*	1.71329584085519e-06	0.0325979670714709	3.03749592970275
NC_039508.1	7228000	7228500	*	3.04403504437349e-06	0.0526218151043636	1.54682965787266
NC_039516.1	13518500	13519000	*	3.12709055928368e-06	0.0526218151043636	3.93618817174048
NC_039508.1	14697000	14697500	*	3.27509687523088e-06	0.0526218151043636	0.683790990089028
NC_039506.1	5038500	5039000	*	3.56897371915904e-06	0.0526218151043636	-3.69761912194716
NC_039506.1	24043000	24043500	*	3.59837806778619e-06	0.0526218151043636	6.93980622552051
NC_039516.1	11900500	11901000	*	3.61863380645612e-06	0.0526218151043636	5.76105473129395
NC_039508.1	9082000	9082500	*	3.73371733962734e-06	0.0526218151043636	4.88625225200706
NC_039512.1	12099000	12099500	*	4.05673571666462e-06	0.05513239209818	-6.0351878365366
NC_039508.1	1737000	1737500	*	6.03265660130459e-06	0.0737842914702792	5.42061174093717
NC_039506.1	15519500	15520000	*	6.23374345074264e-06	0.0737842914702792	3.48662306919234
NC_039506.1	12620000	12620500	*	6.23929752943225e-06	0.0737842914702792	4.6151994994465
NC_039511.1	12779000	12779500	*	6.30156580743365e-06	0.0737842914702792	2.14380408418341
NC_039514.1	1127500	1128000	*	6.3986698017661e-06	0.0737842914702792	-8.8051545144695
NC_039514.1	1130500	1131000	*	6.85775067065128e-06	0.0767522164746871	2.59743606013933
NC_039508.1	17370000	17370500	*	7.79573873226022e-06	0.0825394899410625	3.93800130627169
NC_039509.1	14117500	14118000	*	7.8974521938678e-06	0.0825394899410625	7.99007035217288
NC_039511.1	5622000	5622500	*	8.02556013225362e-06	0.0825394899410625	0.700783484522317
NC_039518.1	8782000	8782500	*	8.25740847706648e-06	0.0826467842572315	-3.97220598473121
NC_039508.1	1523000	1523500	*	8.47037066035924e-06	0.0826467842572315	-4.64069032116898
NC_039507.1	16959500	16960000	*	8.98591579525503e-06	0.0840991345311112	3.13923992014325
NC_039507.1	15760000	15760500	*	9.06123161135532e-06	0.0840991345311112	5.4220326573188
NC_039517.1	9859500	9860000	*	1.05546297042661e-05	0.0956272931323094	-5.21862261380904
