chr	start	end	name	NcpgMeasured	Nmcpg	mCpG_per_CpG	fracMeth	mnMeth	medMeth	sdMeth	stdErrMeth	maxMeth	minMeth
NC_001566.1	0	502	gene-ND2	48	0	0	0.0030495015344891387	0.27057218480626455	0.203291887970928	0.1665123266831416	0.024033984158475682	0.649295893414285	0
NC_001566.1	794	1794	gene-COX1	46	0	0	0.003050806673388945	0.2874195613760241	0.19574241772788248	0.19063789567231404	0.028108024255179175	0.687848018342614	0
NC_001566.1	2618	3618	gene-COX2	327	0	0	0.0026259530381582165	0.20162241166224573	0.152155536770921	0.17136675093936635	0.009476602981009507	0.673854447439353	0
NC_001566.1	3444	4444	gene-ATP8	303	0	0	0.0026449872122519076	0.17703588687808533	0.134183160013418	0.171250839863711	0.009838103696176454	0.727834142037936	0
NC_001566.1	3584	4584	gene-ATP6	303	0	0	0.0026449872122519076	0.17703588687808533	0.134183160013418	0.171250839863711	0.009838103696176454	0.727834142037936	0
NC_001566.1	4285	5285	gene-COX3	145	1	0.006896551724137931	0.0028547595337836086	0.29675657769181973	0.17056530214425	0.774391530538991	0.06430971624828262	9.09090909090909	0
NC_001566.1	5185	6185	gene-ND3	229	0	0	0.002589331056313841	0.19293469236768718	0.130010834236186	0.17724755558512714	0.011712848161584941	0.642496558054153	0
NC_001566.1	8556	9556	gene-ND5	188	0	0	0.0026899692832470247	0.2420413099143573	0.1968431183371615	0.15673943592505146	0.011431398244296212	0.616612259702575	0
NC_001566.1	9987	10987	gene-ND4	127	0	0	0.0030190808309374755	0.20534559758603094	0.150583511105534	0.1982298336548928	0.017590053325414263	0.701669489474958	0
NC_001566.1	10254	11254	gene-ND4L	140	0	0	0.0028922156476159843	0.2564471331980734	0.198681556868177	0.18165776958661783	0.015352883687062257	0.701669489474958	0
NC_001566.1	9441	10441	gene-ND6	135	0	0	0.003171178808617382	0.20357191108378134	0.141693234148069	0.20969199221029908	0.018047413192523194	0.701669489474958	0
NC_001566.1	10004	11004	gene-CYTB	127	0	0	0.0030190808309374755	0.20534559758603094	0.150583511105534	0.1982298336548928	0.017590053325414263	0.701669489474958	0
NC_001566.1	13219	14219	gene-ND1	508	0	0	0.0027387173467294454	0.25730446824252035	0.208136502889297	0.17316614370185548	0.0076830052412163825	0.832033281331253	0
NC_037638.1	12174	13174	gene-LOC551580	2281	170	0.07452871547566857	0.04789619820589492	4.538377127358255	0	17.070896592307744	0.35743221212241244	100	0
NC_037638.1	9792	10792	gene-LOC551555	1527	3	0.0019646365422396855	0.0027223230490018148	0.2196479713808792	0	1.4711986888302788	0.03764885828896133	33.3333333333333	0
NC_037638.1	23457	24457	gene-LOC726347	1238	3	0.0024232633279483036	0.002920289374128891	0.2829989589731137	0	1.7891059322250993	0.05084821752175571	28.5714285714286	0
NC_037638.1	22613	23613	gene-Rfwd3	1350	5	0.003703703703703704	0.0026595744680851063	0.24220708598443752	0	1.8225652809619992	0.04960394401410151	33.3333333333333	0
NC_037638.1	30958	31958	gene-LOC726145	1429	4	0.0027991602519244225	0.002386444992442924	0.21034489514179977	0	1.9394996638369673	0.05130664236481777	50	0
NC_037638.1	28940	29940	gene-LOC551448	396	395	0.9974747474747475	0.8866459627329193	90.40473782688109	100	14.566140912885233	0.7319761219921997	100	0
NC_037638.1	41744	42744	gene-LOC410665	528	3	0.005681818181818182	0.0034802784222737818	0.341381728261233	0	1.8852974336438497	0.08204703950700364	25	0
NC_037638.1	41765	42765	gene-LOC408567	616	3	0.00487012987012987	0.0032378580323785804	0.31290511773040747	0	1.7817900664462167	0.07179036763073358	25	0
NC_037638.1	44528	45528	gene-LOC107964061	705	301	0.4269503546099291	0.2521880064829822	27.53056944964187	0	35.96229450405461	1.3544183677462627	100	0
NC_037638.1	88128	89128	gene-LOC107964068	2268	8	0.003527336860670194	0.003187073821523866	0.2086466331330944	0	1.895127150069816	0.0397939296978673	50	0
NC_037638.1	90244	91244	gene-LOC113219112	2712	10	0.003687315634218289	0.0029100716871318048	0.25444474681525703	0	2.788420866021182	0.05354432910427094	100	0
NC_037638.1	90682	91682	gene-LOC726450	3936	13	0.0033028455284552847	0.0025031289111389237	0.2383761681421294	0	3.5627445393024817	0.056788073821320555	100	0
NC_037638.1	98760	99760	gene-LOC107964063	1345	4	0.002973977695167286	0.0032907226933299584	0.26678057914606546	0	2.267906528558772	0.061839220854532105	50	0
NC_037638.1	112314	113314	gene-LOC113219111	352	6	0.017045454545454544	0.008799638989169675	1.0785622685271752	0	5.328030425471317	0.28398497586874283	66.6666666666667	0
NC_037638.1	117037	118037	gene-LOC410664	345	256	0.7420289855072464	0.46016949152542375	64.74775146083532	85.7142857142857	41.644998636924655	2.242091357735719	100	0
NC_037638.1	116008	117008	gene-LOC408565	529	126	0.2381852551984877	0.1579485431930482	17.678116616519	0	33.17700388614346	1.4424784298323228	100	0
NC_037638.1	125085	126085	gene-LOC410663	528	1	0.001893939393939394	0.0038401117123407227	0.3623228286833523	0	1.9151413215038424	0.0833458280178216	14.2857142857143	0
NC_037638.1	125477	126477	gene-LOC113219398	704	2	0.002840909090909091	0.0034261879934455535	0.333117195756335	0	2.1057219779365655	0.07936238310932549	25	0
NC_037638.1	241308	242308	gene-LOC726544	884	152	0.17194570135746606	0.1293629168288569	11.053175331405168	0	25.70592459976844	0.8645838061392366	100	0
