# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/human_genome/Homo_sapiens.GRCh38.99.gff3" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "48" "--primary" "human60705_heartReclassedAsLiver_rna_dupsRemoved.bam" "human60705_kidney_rna_dupsRemoved.bam" "human60705_liver_rna_dupsRemoved.bam" "human60705_lung_rna_dupsRemoved.bam" "human61317_heart_rna_dupsRemoved.bam" "human61317_kidney_rna_dupsRemoved.bam" "human61317_liver_rna_dupsRemoved.bam" "human61317_lung_rna_dupsRemoved.bam" "human62789_heart_rna_dupsRemoved.bam" "human62789_kidney_rna_dupsRemoved.bam" "human62789_liver_rna_dupsRemoved.bam" "human62789_lung_rna_dupsRemoved.bam" "human62905_heart_rna_dupsRemoved.bam" "human62905_kidney_rna_dupsRemoved.bam" "human62905_liver_rna_dupsRemoved.bam" "human62905_lung_rna_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	human60705_heartReclassedAsLiver_rna_dupsRemoved.bam	human60705_kidney_rna_dupsRemoved.bam	human60705_liver_rna_dupsRemoved.bam	human60705_lung_rna_dupsRemoved.bam	human61317_heart_rna_dupsRemoved.bam	human61317_kidney_rna_dupsRemoved.bam	human61317_liver_rna_dupsRemoved.bam	human61317_lung_rna_dupsRemoved.bam	human62789_heart_rna_dupsRemoved.bam	human62789_kidney_rna_dupsRemoved.bam	human62789_liver_rna_dupsRemoved.bam	human62789_lung_rna_dupsRemoved.bam	human62905_heart_rna_dupsRemoved.bam	human62905_kidney_rna_dupsRemoved.bam	human62905_liver_rna_dupsRemoved.bam	human62905_lung_rna_dupsRemoved.bam
gene:ENSG00000186092	1	65419	71585	+	6167	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
gene:ENSG00000284733	1	450703	451697	-	995	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
gene:ENSG00000284662	1	685679	686673	-	995	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000187634	1	923928	944581	+	20654	103	361	97	103	84	349	351	308	26	1110	131	155	48	891	41	560
gene:ENSG00000188976	1	944203	959309	-	15107	1131	1011	976	570	886	474	511	782	144	763	431	755	726	985	272	1316
gene:ENSG00000187961	1	960584	965719	+	5136	164	376	145	209	303	310	409	680	36	314	173	253	178	455	174	745
gene:ENSG00000187583	1	966482	975865	+	9384	10	187	9	43	11	10	12	71	0	40	3	26	248	47	11	90
gene:ENSG00000187642	1	975204	982093	-	6890	14	12	2	6	810	3	14	4	398	21	2	30	2586	26	2	184
gene:ENSG00000188290	1	998962	1000172	-	1211	25	183	27	239	97	48	75	282	184	206	23	278	419	94	54	210
gene:ENSG00000187608	1	1001138	1014540	+	13403	288	200	219	230	236	86	291	431	139	213	189	430	1711	405	634	539
gene:ENSG00000188157	1	1020120	1056118	+	35999	1176	7005	1122	1661	559	2208	1091	4764	457	4401	956	3709	1127	5932	870	4593
gene:ENSG00000237330	1	1070967	1074306	-	3340	0	21	1	20	0	6	0	25	0	4	0	66	0	9	0	12
gene:ENSG00000131591	1	1081818	1116361	-	34544	311	547	233	358	139	275	167	335	70	381	168	496	233	431	151	599
gene:ENSG00000162571	1	1173880	1197936	+	24057	16	43	13	282	13	32	12	155	20	56	12	521	14	81	21	484
gene:ENSG00000186891	1	1203508	1206592	-	3085	8	42	7	84	10	4	7	70	5	5	5	104	3	15	23	140
gene:ENSG00000186827	1	1211340	1214153	-	2814	6	34	8	79	47	15	8	162	114	25	11	256	103	34	26	188
gene:ENSG00000078808	1	1216908	1232067	-	15160	1925	1924	1768	1347	1489	1232	1218	1912	522	1760	1163	1515	1619	2181	962	2605
gene:ENSG00000176022	1	1232237	1235041	+	2805	263	370	173	209	224	121	222	125	62	289	287	132	149	221	158	246
gene:ENSG00000184163	1	1242446	1246722	-	4277	31	160	33	32	19	16	28	18	9	129	15	63	19	111	18	24
gene:ENSG00000160087	1	1253909	1273885	-	19977	686	1070	542	593	1202	758	913	970	245	884	574	805	971	1482	716	1780
gene:ENSG00000162572	1	1280436	1292029	+	11594	231	262	204	176	196	201	190	230	86	521	371	218	408	420	138	329
gene:ENSG00000131584	1	1292390	1309609	-	17220	975	1909	781	1118	1606	812	937	2455	666	1612	819	1843	2389	1852	701	3240
gene:ENSG00000169972	1	1308597	1311677	+	3081	92	106	66	49	146	42	138	150	29	90	93	86	89	110	74	151
gene:ENSG00000127054	1	1311585	1324691	-	13107	1365	1925	1163	1370	1798	1537	1237	2557	480	2143	1144	2239	2025	2533	901	3323
gene:ENSG00000224051	1	1324756	1328896	+	4141	648	454	524	178	1323	442	610	428	498	565	760	304	1204	703	430	438
gene:ENSG00000169962	1	1331280	1335314	+	4035	27	18	19	18	145	25	30	32	24	19	6	20	104	31	11	29
gene:ENSG00000107404	1	1335276	1349418	-	14143	1257	1241	1044	848	2021	980	980	1984	435	1093	863	1392	1800	1594	574	2052
gene:ENSG00000162576	1	1352689	1361777	-	9089	368	1274	344	1399	393	370	271	1108	352	1160	227	1164	687	1309	178	1921
gene:ENSG00000175756	1	1373730	1375495	-	1766	751	690	622	387	792	460	668	520	354	763	531	407	880	752	586	617
gene:ENSG00000221978	1	1385711	1399335	-	13625	3300	3834	2654	3127	1992	1644	2773	3322	874	3266	2685	3357	2754	4090	2805	5170
gene:ENSG00000242485	1	1401909	1407293	-	5385	751	745	584	563	770	536	602	638	213	773	565	625	795	863	592	1030
gene:ENSG00000235098	1	1418420	1421769	-	3350	18	84	22	175	25	69	12	270	14	55	4	249	66	194	22	359
gene:ENSG00000205116	1	1426128	1427787	+	1660	0	5	0	0	1	2	1	1	0	0	1	0	1	12	0	2
gene:ENSG00000179403	1	1434861	1442882	+	8022	997	932	809	409	305	385	814	798	168	900	563	564	466	977	884	886
gene:ENSG00000215915	1	1449689	1470163	+	20475	321	252	256	125	136	189	242	302	37	324	202	174	111	335	181	283
gene:ENSG00000160072	1	1471765	1497848	+	26084	754	1331	636	689	709	526	507	968	173	952	556	841	674	1193	455	1628
gene:ENSG00000197785	1	1512162	1534685	+	22524	660	728	507	340	601	321	375	552	150	589	454	489	582	766	354	892
gene:ENSG00000205090	1	1534778	1540624	-	5847	4	28	6	38	61	20	18	62	36	33	6	48	118	42	3	132
gene:ENSG00000160075	1	1541673	1574863	-	33191	1210	1455	1032	1059	1272	874	1254	1326	305	1343	1004	1173	1105	1462	981	1658
gene:ENSG00000228594	1	1598012	1600135	-	2124	10	61	9	42	14	42	5	37	16	142	9	52	57	104	8	41
