chr	start	end	strand	pvalue	qvalue	meth.diff
NC_039508.1	10922350	10923675	*	1.98958191800967e-20	2.37587431998153e-16	9.26773723326903
NW_020825136.1	14974	15780	*	3.24049207389889e-16	1.93482907961436e-12	7.8027674737931
NC_039507.1	15478459	15481895	*	9.37652472074071e-15	3.73234934318356e-11	2.55065557819572
NC_039515.1	4968642	4972845	*	1.45258926376407e-13	4.33655118446995e-10	1.10904638485637
NC_039518.1	4465993	4480094	*	5.86969294723541e-13	1.40186766006240e-09	1.41204132263952
NC_039514.1	10761534	10766474	*	7.48567496996084e-13	1.48984591250627e-09	1.93540389534868
NC_039515.1	7274230	7281163	*	1.1338663344948e-12	1.93430724747634e-09	-3.62747749655968
NC_039516.1	2241904	2245378	*	1.15195444097265e-11	1.58846905852656e-08	2.01085219899158
NC_039511.1	11555541	11559944	*	1.19718049083008e-11	1.58846905852656e-08	3.34572902509711
NC_039516.1	379913	395796	*	2.59480559253913e-11	3.09860675594872e-08	1.52270322521741
NC_039509.1	3479873	3483705	*	3.05012255096233e-11	3.31120631929153e-08	1.85217772712647
NC_039510.1	9874200	9882032	*	8.0696501614919e-11	8.03036156171574e-08	1.50198860849215
NC_039511.1	3544403	3545979	*	1.89274388666788e-10	1.73864188556406e-07	-3.92532441423527
NC_039511.1	2017094	2022391	*	2.54872289270495e-10	2.17398339345027e-07	1.55975060571353
NC_039516.1	12159221	12162705	*	3.51712056932747e-10	2.79999744847679e-07	2.81700188247153
NC_039508.1	4560757	4563676	*	3.02141000664208e-09	2.25502478056337e-06	2.61977254517585
NC_039510.1	9667566	9675451	*	5.8454087158159e-09	4.10608182434759e-06	1.68132567784033
NC_039513.1	11973656	11976849	*	7.94705048486018e-09	5.27223918967983e-06	1.34489144392593
NC_039514.1	7348206	7350313	*	1.58263949607703e-08	9.78611185568609e-06	1.64914512238748
NC_039518.1	5271839	5279853	*	1.63899841266388e-08	9.78611185568609e-06	-2.79308278699862
NC_039510.1	11734243	11737421	*	2.72002817124876e-08	1.5467344033194e-05	1.8248631637077
NC_039517.1	697898	705170	*	3.32661945290461e-08	1.80568537334025e-05	0.976709549599333
NC_039506.1	17244709	17247383	*	5.47752374323741e-08	2.8439245540778e-05	-3.12041808032664
NC_039514.1	15450738	15453449	*	7.15032198666822e-08	3.55775465395242e-05	-2.05395199984276
NC_039510.1	12731525	12733086	*	7.87109082792263e-08	3.75972909665591e-05	-4.22559556494508
NC_039514.1	156881	161760	*	8.33123236838747e-08	3.8264631723487e-05	1.41107036399727
NC_039509.1	17081004	17085897	*	1.01814599049652e-07	4.50306202880969e-05	1.03761972059692
NC_039509.1	15053232	15054850	*	1.24522499667199e-07	5.31069594035199e-05	-6.51261697630526
NC_039509.1	15228202	15233623	*	1.47024083409393e-07	6.05413527662551e-05	1.72911326843845
NC_039509.1	2240091	2244292	*	1.56882005210872e-07	6.09566753564468e-05	1.804739029594
NC_039510.1	16308222	16311972	*	1.59755327108381e-07	6.09566753564468e-05	1.46757599694035
NC_039509.1	4855260	4859028	*	1.63346416838567e-07	6.09566753564468e-05	1.41603941493477
NC_039517.1	10130817	10136878	*	1.85429603242678e-07	6.7100656206656e-05	-0.813515768030076
NC_039507.1	10330048	10342980	*	2.9101026812761e-07	0.000102209445972891	0.939871265190413
NC_039512.1	6524973	6528642	*	3.27783218948922e-07	0.000111835661175445	2.08209691817354
NC_039508.1	1377855	1381305	*	4.09278576311779e-07	0.000132888405865819	1.6498460652711
NC_039509.1	7069030	7075460	*	4.11743903556115e-07	0.000132888405865819	1.85825148142488
NC_039516.1	11712282	11716884	*	4.36068891618453e-07	0.000135959855390235	0.866532113855592
NC_039509.1	17226242	17229697	*	4.65056716631684e-07	0.000135959855390235	2.06879129861444
NC_039514.1	349087	351144	*	4.65721970400842e-07	0.000135959855390235	8.98128345476734
NC_039509.1	5247523	5249029	*	4.66802219754228e-07	0.000135959855390235	-4.39566806942053
NC_039517.1	4487600	4491549	*	5.7245927987262e-07	0.000155947087760226	2.09816995844688
NC_039513.1	3345106	3350418	*	5.77572183154891e-07	0.000155947087760226	0.609826103892674
NC_039508.1	4270207	4274807	*	5.82034509347292e-07	0.000155947087760226	1.93598360875412
NC_039513.1	8669434	8813318	*	5.87662724892749e-07	0.000155947087760226	0.0919227049151195
NC_039508.1	10535221	10537259	*	6.7470020268231e-07	0.000175151817043098	2.31890703548214
NC_039512.1	5154759	5157411	*	8.99208985895157e-07	0.000224050431687652	1.62958954588796
NC_039510.1	3170292	3171897	*	9.00586399930067e-07	0.000224050431687652	-3.39146934400183
NC_039508.1	17993076	17995145	*	1.28077680265507e-06	0.00031213251464186	-5.71495056245218
NC_039513.1	3175625	3180493	*	1.46210315733201e-06	0.000349196312373418	1.78090976206201
NC_039508.1	10763110	10766843	*	1.53257177343638e-06	0.000358849449733584	-1.34232902956908
NC_039514.1	7247846	7249130	*	1.59961066791092e-06	0.000367343691797781	1.81957202690111
