chr	start	end	strand	pvalue	qvalue	meth.diff
KK852670.1	291594	292277	*	4.8965867282341e-232	3.37411426324612e-228	26.8335792560759
KK853117.1	73571	79024	*	2.97606477922177e-78	1.02536554310537e-74	-14.4941369360115
KK852653.1	328902	348466	*	3.17141720637442e-77	7.28447836873175e-74	18.8271096920901
KK852484.1	28662	51813	*	2.6596203721192e-73	4.58169309074183e-70	36.7473014714331
KK852727.1	13438	42067	*	3.2727348667414e-59	4.51031790370327e-56	16.2097690589134
KK852508.1	353071	365543	*	1.23329703918299e-58	1.41638974306063e-55	29.0763985212922
KK853387.1	200860	206280	*	1.48183555711794e-54	1.4587078033145e-51	7.53685114199254
KK853284.1	331755	338185	*	2.90470532833229e-48	2.50194886326141e-45	44.6037619488128
KK852543.1	463913	481426	*	9.25023166054182e-48	7.08233449507864e-45	-7.80896163159563
KK852683.1	815782	824109	*	2.21641592812558e-45	1.52727624597214e-42	-11.2716503241109
KK852428.1	432703	441085	*	3.23322059315884e-43	2.02539151251008e-40	41.8009124677003
KK852614.1	220520	224273	*	1.05886415357978e-35	5.98713356925081e-33	-12.6812702114086
KK852562.1	373495	411235	*	1.12952530455504e-35	5.98713356925081e-33	5.75164401589133
KK852818.1	1282134	1308901	*	2.44708539232733e-34	1.20444624911936e-31	10.1029699206807
KK853097.1	768734	798963	*	1.61343952348776e-33	7.41186954808736e-31	4.17993794703859
KK853243.1	412857	428149	*	2.16182448282546e-33	9.31036662242303e-31	11.81629592115
KK853687.1	6206	11295	*	3.39998965787336e-33	1.37814530289167e-30	7.29592972532932
KK853582.1	65288	118052	*	2.74177482485307e-29	1.04960433059347e-26	6.51599937337208
KK853069.1	55969	86490	*	3.17020849807434e-28	1.14974243171204e-25	5.14746962972952
KK852715.1	562295	583157	*	1.51529969524688e-27	5.22077377425405e-25	17.1578587731141
KK853182.1	238098	255528	*	1.717302432283e-27	5.63499876125325e-25	3.93080457576328
KK852687.1	56403	75476	*	6.72046058176243e-27	2.10495439922361e-24	4.70716699667414
KK852713.1	134525	224519	*	4.81541634850519e-26	1.44268774101391e-23	-3.50801856312854
KK852829.1	613638	635123	*	2.3101353834726e-25	6.40678312652583e-23	24.326514771015
KK852683.1	668921	675042	*	2.32441514872108e-25	6.40678312652583e-23	12.2181991767768
KK852586.1	251491	253074	*	1.56880462068106e-24	4.15778326089624e-22	9.97267426919182
KK852530.1	1326860	1442430	*	2.38723142186383e-24	6.09252181179483e-22	-5.49278591099768
KK853235.1	258166	271809	*	2.64471880855261e-24	6.50860337551825e-22	10.6080321894929
KK852750.1	272070	284187	*	2.88617078831735e-24	6.85788761078887e-22	12.2919700908798
KK853545.1	1822	2175	*	4.06325676231993e-24	9.33295875806891e-22	21.0994942459781
KK852640.1	37561	50132	*	4.88254807439699e-24	1.08530341335433e-21	9.07433025483143
KK852818.1	1016881	1019212	*	8.55527830674603e-24	1.84225819962413e-21	11.1487603305785
KK853502.1	199515	217275	*	1.7444031985391e-23	3.64249755614386e-21	8.45737481046375
