chr	start	end	strand	pvalue	qvalue	meth.diff
Spis.scaffold278|size418646	11472	11852	*	5.41496816893663e-22	7.77888291544908e-17	-9.52796182789882
Spis.scaffold114|size706942	105349	105954	*	1.26167749382681e-18	9.06232612579079e-14	6.08040201005025
Spis.scaffold2251|size10283	7768	8000	*	4.51933170979287e-17	1.87665012199605e-12	30.8665472458576
Spis.scaffold156|size599814	491614	492297	*	5.22542929893322e-17	1.87665012199605e-12	22.1717901107214
Spis.scaffold1096|size63181	52530	52901	*	7.55609187277929e-17	2.17094365628631e-12	3.33184424093515
Spis.scaffold8|size1762381	440094	441222	*	1.72223329365667e-16	4.12346257216453e-12	-3.89127443537673
Spis.scaffold283|size415529	355847	356454	*	3.98958873793802e-16	8.18750194038762e-12	2.41813566683801
Spis.scaffold81|size835074	279598	279705	*	3.09388337250992e-15	5.55565512066887e-11	11.390796733809
Spis.scaffold153|size607975	146793	146862	*	2.00269440516043e-14	3.01545612210436e-10	8.5269397592749
Spis.scaffold267|size431158	272312	273627	*	2.09909303090179e-14	3.01545612210436e-10	2.27398777222847
Spis.scaffold583|size183455	95449	95796	*	2.42689776976811e-14	3.16942240803907e-10	-7.37915476158469
Spis.scaffold907|size89550	38230	38858	*	5.4128811166987e-14	6.47990396379269e-10	8.07531173943388
Spis.scaffold288|size412824	79875	79989	*	1.55977003794062e-13	1.7236081857705e-09	20
Spis.scaffold123|size673121	23544	24770	*	6.83808835587168e-13	6.5488459674876e-09	2.05961458532562
Spis.scaffold123|size673121	23544	24770	*	6.83808835587168e-13	6.5488459674876e-09	2.05961458532562
Spis.scaffold889|size93265	76471	76897	*	1.01696732934563e-12	9.13078980454342e-09	4.30777298776199
Spis.scaffold829|size106156	38625	38770	*	1.18865018820137e-12	1.0044457112403e-08	11.9113573407202
Spis.scaffold114|size706942	696518	696596	*	1.63136174822689e-12	1.30196436128424e-08	4.89170766041114
Spis.scaffold264|size433783	154119	155417	*	3.88428096897945e-12	2.93682698982531e-08	0.752662355158151
Spis.scaffold4|size2353699	1284333	1284637	*	4.36691043755874e-12	3.13664678500712e-08	12.6204077730239
Spis.scaffold114|size706942	185189	185708	*	4.66876553168256e-12	3.19377337371223e-08	1.68997645788787
Spis.scaffold462|size255399	237374	237483	*	8.75186528405506e-12	5.71477675923566e-08	14.4859813084112
Spis.scaffold396|size301867	81282	81398	*	9.55582581745171e-12	5.9684521380539e-08	-31.1136214994946
Spis.scaffold119|size685484	492865	494978	*	1.45695899712726e-11	8.72082184794625e-08	-2.1047349914099
Spis.scaffold154|size605954	479305	480875	*	1.84304470624706e-11	1.05905176396629e-07	9.11180911476437
Spis.scaffold1108|size61742	44962	46069	*	3.56416402646657e-11	1.95389479062803e-07	1.40496121913331
Spis.scaffold49|size1052455	67786	67950	*	3.67234616738616e-11	1.95389479062803e-07	40.3253849975161
Spis.scaffold1254|size46971	18508	18945	*	3.87939390279177e-11	1.99033955584177e-07	-1.24839374218728
Spis.scaffold727|size136689	66042	66559	*	5.85208757976897e-11	2.89890608413666e-07	6.0512380653241
Spis.scaffold34|size1204132	212672	212792	*	7.54237407203078e-11	3.51442909475834e-07	-9.2948717948718
