chr	start	end	strand	pvalue	qvalue	meth.diff
Sc0000193	117350	122191	*	1.01043907692494e-07	0.00160601126112962	-6.45233914178936
chr13	7578735	7578895	*	2.20666341908344e-07	0.00175365659419862	-37.9521016617791
Sc0000192	179999	180204	*	3.6347258054189e-07	0.00192570098416558	9.13636363636364
chr5	10510764	10511130	*	5.91321947378899e-07	0.00234964612941763	12.526805576288
chr1	28261993	28262197	*	2.95092844741794e-06	0.00812659450003787	34.2359537158535
chr2	34583184	34587224	*	3.06776005022004e-06	0.00812659450003787	-4.13173650448569
xpSc0000636	24335	24790	*	5.43900848416498e-06	0.0123498063853473	28.1609195402299
xpSc0000649	1617	2630	*	6.87911438411155e-06	0.0135873513856773	9.64411467843962
xpSc0000616	101974	102088	*	7.69376405499655e-06	0.0135873513856773	19.6685998342999
chr3	5017156	5017482	*	1.76811761904007e-05	0.0281028007727275	15.3846153846154
xpSc0000584	13305	13498	*	2.02810124721197e-05	0.0293045731406724	17.4058664447681
xpSc0000656	8453	8801	*	3.5031831809686e-05	0.0450948038169166	-19.7463538363982
chr2	29699249	29700082	*	3.6883438466101e-05	0.0450948038169166	-7.80662678715371
xpSc0000717	14516	15049	*	8.42643645299161e-05	0.0956652844133739	-19.8076923076923
