chr	start	end	strand	pvalue	qvalue	meth.diff
Spis.scaffold4|size2353699	148384	157139	*	3.42576797743552e-69	7.00649139934533e-65	-6.08781384220422
Spis.scaffold422|size288843	2066	5868	*	1.31788611284459e-46	1.34769163816438e-42	6.53523922201917
Spis.scaffold278|size418646	10213	11852	*	3.61851273270784e-20	2.46689973432059e-16	-3.04011346468103
Spis.scaffold4|size2353699	1275355	1284637	*	4.87820718326819e-20	2.49426675266105e-16	1.7038272879354
Spis.scaffold91|size804025	417209	418936	*	4.9708227606852e-18	2.03329747664246e-14	-4.48737790926281
Spis.scaffold94|size793893	608968	620176	*	2.32330222427752e-16	7.91948800954989e-13	1.29548536247642
Spis.scaffold154|size605954	509282	522177	*	1.41446651718593e-14	4.13273234439786e-11	4.44114893651085
Spis.scaffold123|size673121	16734	25325	*	1.95349450396199e-14	4.99418762844968e-11	1.39086800533976
Spis.scaffold36|size1176468	314036	328093	*	6.0880353520921e-14	1.3834940763422e-10	-4.1315871303644
Spis.scaffold495|size237585	167282	176252	*	1.014006596748e-12	2.06144499209396e-09	-2.64287226262083
Spis.scaffold26|size1286203	289869	297494	*	1.10871976036425e-12	2.06144499209396e-09	-0.636779418158386
Spis.scaffold204|size520609	299203	317065	*	1.43318066103883e-12	2.44265617749007e-09	3.35731750418868
Spis.scaffold161|size594135	63810	64677	*	3.75883145082088e-12	5.91360275446238e-09	1.56361525430479
Spis.scaffold727|size136689	66042	67662	*	5.9264996214538e-12	8.65790613530102e-09	5.39512183580303
Spis.scaffold145|size624068	499009	506129	*	8.07177009235369e-12	1.10057633990545e-08	1.70531824375764
Spis.scaffold82|size829494	65612	68680	*	1.00614586439767e-11	1.2861262773454e-08	9.82681390024878
Spis.scaffold127|size658435	118383	129030	*	1.62507283237176e-11	1.95508910845496e-08	2.37192175879872
Spis.scaffold156|size599814	491084	492297	*	2.15207071060411e-11	2.44526921067171e-08	14.2187423895573
Spis.scaffold78|size860928	545157	551204	*	2.564431306857e-11	2.76045147341729e-08	0.75516489100687
Spis.scaffold439|size275195	92243	104801	*	3.31691231089386e-11	3.39192813578367e-08	0.89785726745184
Spis.scaffold513|size221399	132097	137542	*	6.91055789914699e-11	6.73033161281136e-08	0.522684142325611
Spis.scaffold644|size163262	20649	28864	*	7.70260996106063e-11	7.1607394843693e-08	6.58111475852109
Spis.scaffold283|size415529	355847	360172	*	9.9276871884795e-11	8.50095319205714e-08	1.49939140866929
Spis.scaffold300|size400787	232552	245742	*	9.97553550722932e-11	8.50095319205714e-08	0.393879368658328
Spis.scaffold11|size1552712	1209882	1214173	*	1.26127706819867e-10	1.03184185137264e-07	4.49066830551021
Spis.scaffold422|size288843	29628	31394	*	1.66767689638578e-10	1.27378539380188e-07	4.48200258505541
Spis.scaffold242|size466765	254863	265276	*	1.68608527938481e-10	1.27378539380188e-07	3.10389889876099
Spis.scaffold1203|size51636	452	5732	*	1.7438601288134e-10	1.27378539380188e-07	21.0207666729406
Spis.scaffold1572|size27984	3063	16943	*	1.95370603905306e-10	1.37785611764328e-07	0.365586404725683
Spis.scaffold62|size977424	409552	430595	*	2.21778386264364e-10	1.51196108060727e-07	-1.07669703076834
Spis.scaffold899|size90465	5035	14347	*	5.58748026618359e-10	3.68635330510368e-07	-1.26662837119964
Spis.scaffold315|size382870	323250	341980	*	6.3211991381499e-10	4.0401002496664e-07	0.363314029549594
Spis.scaffold732|size134625	119999	121818	*	7.44046979952255e-10	4.61136040424771e-07	2.48109865583991
Spis.scaffold215|size501127	4248	7949	*	1.03289605418865e-09	6.13331264122374e-07	1.2007229750905
Spis.scaffold883|size94741	27775	60110	*	1.04959197057657e-09	6.13331264122374e-07	0.281978013012523
Spis.scaffold749|size127073	31186	44128	*	1.26839110828372e-09	7.20598470322869e-07	-5.05797749586279
Spis.scaffold598|size177342	107552	121778	*	1.36342683355745e-09	7.39080814612366e-07	0.853814202815113
Spis.scaffold581|size184205	7346	20587	*	1.37319710021421e-09	7.39080814612366e-07	-0.463517816615061
Spis.scaffold176|size570284	69906	79428	*	1.45032121284909e-09	7.60575339381657e-07	-7.46003643660402
Spis.scaffold167|size590539	536324	543022	*	1.57130874589847e-09	8.03422859222298e-07	-0.708355024394703
Spis.scaffold68|size919859	696813	697511	*	1.69576995125947e-09	8.45913052946822e-07	5.55359598258882
Spis.scaffold33|size1214876	866303	877046	*	1.92927999834587e-09	9.39482336472042e-07	2.99260731344551
Spis.scaffold1638|size25581	9519	12581	*	2.36823917030058e-09	1.12641844191713e-06	5.71656458266232
Spis.scaffold1108|size61742	44962	47301	*	3.24855542149607e-09	1.51001148905804e-06	0.809593654700884
Spis.scaffold4|size2353699	1285754	1312175	*	4.44999524996823e-09	2.02250536077007e-06	-1.81709461908475
Spis.scaffold422|size288843	55001	57954	*	4.89017232872756e-09	2.17424750280215e-06	6.6115220724108
Spis.scaffold190|size540968	301171	303244	*	5.47588924928322e-09	2.38286504065413e-06	-6.46361918963783
Spis.scaffold389|size311864	238963	251409	*	5.74568403605743e-09	2.44817889783846e-06	1.96568239231549
Spis.scaffold11|size1552712	590271	629012	*	6.59383009274249e-09	2.75222743664876e-06	0.335510397119961
Spis.scaffold115|size703554	554804	564934	*	7.08839960997745e-09	2.88660545550118e-06	0.321862018735753
Spis.scaffold403|size297669	151825	165300	*	7.19805161292854e-09	2.88660545550118e-06	2.01791798634727
Spis.scaffold154|size605954	478671	480875	*	7.36224427964057e-09	2.89567307158715e-06	5.59395222622993
Spis.scaffold237|size471019	239340	251270	*	7.91514202794628e-09	3.05439704123214e-06	0.333914533050684
Spis.scaffold175|size571308	218761	226147	*	9.56628815196898e-09	3.6232003225484e-06	-0.617555330921063
Spis.scaffold732|size134625	4996	13309	*	1.09153485079387e-08	4.05898610686945e-06	-3.3819900880731
Spis.scaffold510|size226155	198636	205547	*	1.22651302595201e-08	4.47947158132596e-06	-0.570770242952421
Spis.scaffold52|size1038877	241605	259861	*	1.2636553533717e-08	4.53415574410766e-06	3.03215614035736
Spis.scaffold410|size294653	149965	152051	*	1.50711726267618e-08	5.31449127677023e-06	3.03497892517873
Spis.scaffold142|size627568	210167	222360	*	1.60578669114027e-08	5.56645227955316e-06	2.24347013219316
Spis.scaffold68|size919859	669097	688073	*	1.69055676870901e-08	5.76263557937143e-06	1.55401639667429
Spis.scaffold33|size1214876	987453	1014731	*	1.7643396131636e-08	5.91554820655967e-06	1.09312444126006
Spis.scaffold884|size94708	55210	62569	*	1.82322247558109e-08	6.0143766766163e-06	-4.45920559745657
