chr	start	end	strand	pvalue	qvalue	meth.diff	gene.chr	gene.start	gene.end	gene.strand	gene.startSite	gene.description	gene.withinWindow	gene.enclosesWindow	gene.distance	gene.direction	gene.closest
NW_017154212.1	9000	9500	*	8.25094779502869e-15	1.9010360406709e-9	-11.1867942767493	NW_017154212.1	99	4898	+	99	ID=gene-LOC108624571;Dbxref=GeneID:108624571;Name=LOC108624571;gbkey=Gene;gene=LOC108624571;gene_biotype=protein_coding	FALSE	FALSE	8901	leftOfWindowStart	FALSE
NW_017154212.1	9000	9500	*	8.25094779502869e-15	1.9010360406709e-9	-11.1867942767493	NW_017154212.1	5017	6149	+	5017	ID=gene-LOC108624570;Dbxref=GeneID:108624570;Name=LOC108624570;gbkey=Gene;gene=LOC108624570;gene_biotype=protein_coding	FALSE	FALSE	3983	leftOfWindowStart	TRUE
NW_017154212.1	9000	9500	*	8.25094779502869e-15	1.9010360406709e-9	-11.1867942767493	NW_017154212.1	5951	10067	-	10067	ID=gene-LOC108624574;Dbxref=GeneID:108624574;Name=LOC108624574;gbkey=Gene;gene=LOC108624574;gene_biotype=protein_coding	FALSE	TRUE	567	rightOfWindowEnd	TRUE
NW_017154212.1	9000	9500	*	8.25094779502869e-15	1.9010360406709e-9	-11.1867942767493	NW_017154212.1	10106	11053	-	11053	ID=gene-LOC113464281;Dbxref=GeneID:113464281;Name=LOC113464281;gbkey=Gene;gene=LOC113464281;gene_biotype=protein_coding	FALSE	FALSE	1553	rightOfWindowEnd	FALSE
NW_017154212.1	9000	9500	*	8.25094779502869e-15	1.9010360406709e-9	-11.1867942767493	NW_017154212.1	11160	12454	+	11160	ID=gene-LOC108624573;Dbxref=GeneID:108624573;Name=LOC108624573;gbkey=Gene;gene=LOC108624573;gene_biotype=lncRNA	FALSE	FALSE	1660	rightOfWindowEnd	FALSE
NW_017154212.1	9000	9500	*	8.25094779502869e-15	1.9010360406709e-9	-11.1867942767493	NW_017154212.1	12558	14310	+	12558	ID=gene-LOC108624572;Dbxref=GeneID:108624572;Name=LOC108624572;gbkey=Gene;gene=LOC108624572;gene_biotype=protein_coding	FALSE	FALSE	3058	rightOfWindowEnd	FALSE
NW_017179946.1	290500	291000	*	6.39064548195281e-12	7.36209202030268e-7	-4.25650174692087	NW_017179946.1	244915	250053	-	250053	ID=gene-LOC108631268;Dbxref=GeneID:108631268;Name=LOC108631268;gbkey=Gene;gene=LOC108631268;gene_biotype=protein_coding	FALSE	FALSE	40447	leftOfWindowStart	FALSE
NW_017179946.1	290500	291000	*	6.39064548195281e-12	7.36209202030268e-7	-4.25650174692087	NW_017179946.1	252290	260177	-	260177	ID=gene-LOC108631280;Dbxref=GeneID:108631280;Name=LOC108631280;gbkey=Gene;gene=LOC108631280;gene_biotype=protein_coding	FALSE	FALSE	30323	leftOfWindowStart	FALSE
NW_017179946.1	290500	291000	*	6.39064548195281e-12	7.36209202030268e-7	-4.25650174692087	NW_017179946.1	260435	264319	-	264319	ID=gene-LOC108631277;Dbxref=GeneID:108631277;Name=LOC108631277;gbkey=Gene;gene=LOC108631277;gene_biotype=protein_coding	FALSE	FALSE	26181	leftOfWindowStart	FALSE
NW_017179946.1	290500	291000	*	6.39064548195281e-12	7.36209202030268e-7	-4.25650174692087	NW_017179946.1	265863	267917	+	265863	ID=gene-LOC108631274;Dbxref=GeneID:108631274;Name=LOC108631274;gbkey=Gene;gene=LOC108631274;gene_biotype=protein_coding	FALSE	FALSE	24637	leftOfWindowStart	FALSE
