chr	start	end	strand	pvalue	qvalue	meth.diff	gene.chr	gene.start	gene.end	gene.strand	gene.startSite	gene.description	gene.withinWindow	gene.enclosesWindow	gene.distance	gene.direction	gene.closest
NW_020825136.1	15000	16000	*	7.15411706915276e-18	1.44831342346941e-12	6.11237980048551	NW_020825136.1	4908	5062	-	5062	ID=gene-LOC113563513;Dbxref=GeneID:113563513;Name=LOC113563513;gbkey=Gene;gene=LOC113563513;gene_biotype=rRNA	FALSE	FALSE	9938	leftOfWindowStart	FALSE
NW_020825136.1	15000	16000	*	7.15411706915276e-18	1.44831342346941e-12	6.11237980048551	NW_020825136.1	6260	8179	-	8179	ID=gene-LOC113563515;Dbxref=GeneID:113563515;Name=LOC113563515;gbkey=Gene;gene=LOC113563515;gene_biotype=rRNA	FALSE	FALSE	6821	leftOfWindowStart	FALSE
NW_020825136.1	15000	16000	*	7.15411706915276e-18	1.44831342346941e-12	6.11237980048551	NW_020825136.1	8707	10625	+	8707	ID=gene-LOC113563516;Dbxref=GeneID:113563516;Name=LOC113563516;gbkey=Gene;gene=LOC113563516;gene_biotype=rRNA	FALSE	FALSE	6293	leftOfWindowStart	FALSE
NW_020825136.1	15000	16000	*	7.15411706915276e-18	1.44831342346941e-12	6.11237980048551	NW_020825136.1	11825	11979	+	11825	ID=gene-LOC113563514;Dbxref=GeneID:113563514;Name=LOC113563514;gbkey=Gene;gene=LOC113563514;gene_biotype=rRNA	FALSE	FALSE	3175	leftOfWindowStart	FALSE
NW_020825136.1	15000	16000	*	7.15411706915276e-18	1.44831342346941e-12	6.11237980048551	NW_020825136.1	14974	15780	-	15780	ID=gene-LOC113563512;Dbxref=GeneID:113563512;Name=LOC113563512;gbkey=Gene;gene=LOC113563512;gene_biotype=protein_coding	TRUE	FALSE	-780	leftOfWindowStart	TRUE
NW_020825136.1	15000	16000	*	7.15411706915276e-18	1.44831342346941e-12	6.11237980048551	NW_020825136.1	17960	20459	+	17960	ID=gene-LOC113563511;Dbxref=GeneID:113563511;Name=LOC113563511;gbkey=Gene;gene=LOC113563511;gene_biotype=protein_coding	FALSE	FALSE	1960	rightOfWindowEnd	TRUE
NC_039512.1	12099000	12100000	*	8.17087530324317e-13	8.27075393706357e-8	-5.32435531594071	NC_039512.1	12043339	12064735	-	12064735	ID=gene-LOC105279789;Dbxref=GeneID:105279789;Name=LOC105279789;gbkey=Gene;gene=LOC105279789;gene_biotype=protein_coding	FALSE	FALSE	34265	leftOfWindowStart	FALSE
NC_039512.1	12099000	12100000	*	8.17087530324317e-13	8.27075393706357e-8	-5.32435531594071	NC_039512.1	12064859	12069030	-	12069030	ID=gene-LOC105279788;Dbxref=GeneID:105279788;Name=LOC105279788;gbkey=Gene;gene=LOC105279788;gene_biotype=protein_coding	FALSE	FALSE	29970	leftOfWindowStart	FALSE
NC_039512.1	12099000	12100000	*	8.17087530324317e-13	8.27075393706357e-8	-5.32435531594071	NC_039512.1	12069259	12071439	+	12069259	ID=gene-LOC105279784;Dbxref=GeneID:105279784;Name=LOC105279784;gbkey=Gene;gene=LOC105279784;gene_biotype=protein_coding	FALSE	FALSE	29741	leftOfWindowStart	FALSE
NC_039512.1	12099000	12100000	*	8.17087530324317e-13	8.27075393706357e-8	-5.32435531594071	NC_039512.1	12071436	12080059	-	12080059	ID=gene-LOC105279786;Dbxref=GeneID:105279786;Name=LOC105279786;gbkey=Gene;gene=LOC105279786;gene_biotype=protein_coding	FALSE	FALSE	18941	leftOfWindowStart	FALSE
NC_039512.1	12099000	12100000	*	8.17087530324317e-13	8.27075393706357e-8	-5.32435531594071	NC_039512.1	12073291	12075424	+	12073291	ID=gene-LOC105279785;Dbxref=GeneID:105279785;Name=LOC105279785;gbkey=Gene;gene=LOC105279785;gene_biotype=protein_coding	FALSE	FALSE	25709	leftOfWindowStart	FALSE
