chr	start	end	strand	pvalue	qvalue	meth.diff
Spis.scaffold61|size983101	285137	286137	*	2.95332299265998e-38	5.78237075041974e-34	17.8968096623437
Spis.scaffold89|size807476	75113	76113	*	3.53067248688957e-22	3.45638749439899e-18	4.87029638536562
Spis.scaffold133|size651902	127003	128003	*	3.27709742210858e-20	2.1387650822449e-16	-2.83392287817903
Spis.scaffold87|size810829	31207	32207	*	3.47448770903803e-18	1.70069241929911e-14	6.61788073750374
Spis.scaffold77|size865837	475655	476655	*	4.62166376911595e-17	1.80976977209939e-13	5.9737148787694
Spis.scaffold673|size151775	64052	65052	*	1.86490381053466e-16	6.08555474245044e-13	-1.84628595963933
Spis.scaffold179|size567557	126689	127689	*	4.58867967359639e-16	1.28346694764769e-12	3.00342168913833
Spis.scaffold6|size2077585	863288	864288	*	6.21133701641418e-15	1.52016277824915e-11	8.55803583987397
Spis.scaffold1157|size56529	197	1197	*	1.39065299461493e-14	3.02531954684051e-11	-1.92588265324538
Spis.scaffold1971|size15614	14736	15736	*	3.27502186495323e-14	6.4122314714498e-11	2.5425215649844
Spis.scaffold422|size288843	21226	22226	*	4.66793721247159e-14	8.30858960914544e-11	10.666401493131
Spis.scaffold673|size151775	63527	64527	*	1.65309694956545e-13	2.69719326121013e-10	-2.34411096050107
Spis.scaffold96|size773654	645627	646627	*	1.40813782686e-12	2.12078576802924e-09	6.40141646429609
Spis.scaffold68|size919859	695910	696910	*	2.13703271527345e-12	2.98867108972283e-09	8.33662100060696
Spis.scaffold422|size288843	63729	64729	*	7.79154081317571e-12	1.01701434419878e-08	16.1595353152496
Spis.scaffold422|size288843	5868	6868	*	1.16630958914499e-11	1.42721319149803e-08	5.99062479614057
Spis.scaffold260|size436259	190230	191230	*	1.93179547593597e-11	2.22488316970957e-08	0.719431645320777
Spis.scaffold179|size567557	179583	180583	*	2.17310083984494e-11	2.3637544640886e-08	-0.887382814325219
Spis.scaffold1571|size28126	10472	11472	*	2.54841498626873e-11	2.62610167618241e-08	-6.40144975942417
Spis.scaffold11|size1552712	866645	867645	*	3.01510286685921e-11	2.92513713300355e-08	-1.08290544459508
Spis.scaffold26|size1286203	965820	966820	*	3.13740466693651e-11	2.92513713300355e-08	-6.95129785963053
Spis.scaffold12|size1521465	5108	6108	*	3.37336887483578e-11	3.00217594041233e-08	-2.91524990552399
Spis.scaffold78|size860928	613252	614252	*	1.19971966980639e-10	1.02128494707606e-07	1.7877094972067
Spis.scaffold106|size728953	243991	244991	*	1.5490012203494e-10	1.26367532594835e-07	1.57320168434367
Spis.scaffold939|size83648	5753	6753	*	1.97822397175407e-10	1.54928187136717e-07	-4.52760735371521
Spis.scaffold137|size639974	528531	529531	*	2.11853094289976e-10	1.59535174296475e-07	1.70855122119202
Spis.scaffold27|size1282297	271250	272250	*	3.39142121791993e-10	2.45930819115755e-07	-0.740521327014218
Spis.scaffold259|size437420	256008	257008	*	5.57487425093438e-10	3.8982710427238e-07	21.3305444815894
Spis.scaffold1092|size63289	21016	22016	*	7.24181834565994e-10	4.88927670287176e-07	4.22229100856655
Spis.scaffold534|size208876	103684	104684	*	8.31996389864262e-10	5.42994179907705e-07	1.87956390179976
Spis.scaffold62|size977424	198849	199849	*	9.36424920330212e-10	5.78128060988172e-07	-1.23822402524228
Spis.scaffold62|size977424	198804	199804	*	9.44885186461272e-10	5.78128060988172e-07	-1.30929671611673
Spis.scaffold15|size1448778	1117267	1118267	*	1.0148255247009e-09	6.02105271617466e-07	2.08765558836606
Spis.scaffold631|size165656	120896	121896	*	3.11365810154985e-09	1.79302767623774e-06	2.71409525176071
Spis.scaffold843|size102136	47719	48719	*	3.5866592149613e-09	2.00421531202862e-06	-0.651387795477117
Spis.scaffold77|size865837	475165	476165	*	3.68512215965612e-09	2.00421531202862e-06	5.52401488265864
Spis.scaffold12|size1521465	533909	534909	*	3.89189601674226e-09	2.05946536090314e-06	2.1294324345014
Spis.scaffold27|size1282297	1272711	1273711	*	5.01553309416641e-09	2.58421409709718e-06	5.67070741126709
Spis.scaffold297|size403751	42684	43684	*	6.60777499007474e-09	3.31730670345414e-06	4.29947647273573
Spis.scaffold470|size248617	155223	156223	*	7.41304749253099e-09	3.47690771913387e-06	-9.87905176584422
Spis.scaffold470|size248617	155432	156432	*	7.41304749253099e-09	3.47690771913387e-06	-9.87905176584422
Spis.scaffold100|size737703	265638	266638	*	7.45843084171393e-09	3.47690771913387e-06	3.55545850392764
Spis.scaffold37|size1173565	220928	221928	*	8.955214211617e-09	4.0775801903124e-06	12.52095077106
Spis.scaffold77|size865837	270552	271552	*	1.05555987363954e-08	4.69705000236534e-06	-1.18184663085871
Spis.scaffold16|size1433473	1075448	1076448	*	1.08841686244185e-08	4.73562969598744e-06	0.597859778561619
Spis.scaffold86|size811958	91453	92453	*	1.16882648113175e-08	4.97493256535661e-06	11.0667823533694
Spis.scaffold778|size120596	115659	116659	*	1.2078738685654e-08	5.031746061184e-06	6.94006309148265
Spis.scaffold85|size820951	269426	270426	*	1.55351679538151e-08	6.33679566219822e-06	-1.65663923232878
Spis.scaffold545|size204254	55737	56737	*	2.53332929456875e-08	1.0122564498379e-05	1.60269077591912
Spis.scaffold240|size468294	434285	435285	*	2.8581766089586e-08	1.08820345534213e-05	1.74007164047711
Spis.scaffold91|size804025	418466	419466	*	2.88286620359562e-08	1.08820345534213e-05	-2.20444008709884
Spis.scaffold1036|size70029	68554	69554	*	2.89013717818553e-08	1.08820345534213e-05	-4.40551632947032
Spis.scaffold745|size129251	98015	99015	*	3.48539408671133e-08	1.28171178849354e-05	-4.78037187445746
Spis.scaffold4|size2353699	1594839	1595839	*	3.53499782612371e-08	1.28171178849354e-05	-4.14685835385761
Spis.scaffold258|size438219	217004	218004	*	3.85407909863589e-08	1.371996241346e-05	1.04504205567294
Spis.scaffold68|size919859	695813	696813	*	4.06147175900535e-08	1.42000671551627e-05	8.35832083958021
Spis.scaffold280|size416857	217356	218356	*	4.4971447292873e-08	1.54474570471584e-05	-8.13644737614499
Spis.scaffold63|size975948	891025	892025	*	4.76643914101212e-08	1.60901853204956e-05	-10.9510776599384
Spis.scaffold865|size98437	39443	40443	*	5.61345924759325e-08	1.86283140069152e-05	-1.25354778207937
Spis.scaffold115|size703554	221605	222605	*	6.02349037387361e-08	1.96558558161356e-05	-3.22463768115942
Spis.scaffold36|size1176468	1102884	1103884	*	9.84465648644221e-08	3.15984456012367e-05	8.98767000275495
Spis.scaffold10|size1615166	502134	503134	*	1.14774337839368e-07	3.59184501663861e-05	3.50575067473408
Spis.scaffold469|size249087	164843	165843	*	1.15574800144944e-07	3.59184501663861e-05	0.939108210117141
Spis.scaffold326|size370153	356696	357696	*	1.17853407105123e-07	3.60543072887548e-05	2.07673095892711
Spis.scaffold422|size288843	28628	29628	*	1.44192319846141e-07	4.31201575944103e-05	7.59293646191899
Spis.scaffold432|size281960	150144	151144	*	1.45354769734467e-07	4.31201575944103e-05	1.81788425522246
Spis.scaffold822|size108893	68935	69935	*	1.49241107486266e-07	4.36122655700342e-05	-5.43619256417283
Spis.scaffold134|size650799	149903	150903	*	1.8465095186527e-07	5.31664454381281e-05	3.00093041576681
Spis.scaffold129|size656430	155129	156129	*	2.08378426808754e-07	5.91287436976879e-05	-1.77929947898597
Spis.scaffold238|size470170	227282	228282	*	2.12633980840936e-07	5.94743381034922e-05	-0.439342599469903
Spis.scaffold114|size706942	71854	72854	*	2.16286379725753e-07	5.96438693361781e-05	-2.53854801029588
Spis.scaffold33|size1214876	890032	891032	*	2.30923936360061e-07	6.06223049373646e-05	-2.25718153553205
Spis.scaffold445|size269999	169091	170091	*	2.31657062343139e-07	6.06223049373646e-05	3.0521644754015
Spis.scaffold1040|size69753	49289	50289	*	2.31865793219745e-07	6.06223049373646e-05	-0.939654722787253
Spis.scaffold673|size151775	143680	144680	*	2.32219518732737e-07	6.06223049373646e-05	0.457879468415511
Spis.scaffold914|size87426	5496	6496	*	2.36698995390393e-07	6.08791269702469e-05	2.69739076495181
Spis.scaffold389|size311864	251409	252409	*	2.39422054681912e-07	6.08791269702469e-05	5.43505975846838
Spis.scaffold60|size987432	783265	784265	*	2.44361123307182e-07	6.1338407680959e-05	2.37526982922912
Spis.scaffold4|size2353699	1094180	1095180	*	2.89877933123037e-07	7.18427672634752e-05	-2.18323406887721
Spis.scaffold6|size2077585	680999	681999	*	3.28661796256685e-07	8.04366963154015e-05	-1.51375280911058
Spis.scaffold393|size304474	103442	104442	*	3.61862866013433e-07	8.67798824148356e-05	3.22659796344007
