chr	start	end	strand	pvalue	qvalue	meth.diff
NC_039512.1	10899832	10900832	*	1.59221722151049e-09	1.96551656984419e-05	-5.40731315420409
NC_039518.1	8713466	8714466	*	4.96928110695197e-08	0.000263377076070545	6.34798445113294
NC_039516.1	8818078	8819078	*	8.67885849570867e-08	0.000263377076070545	4.96969303762869
NC_039516.1	8818328	8819328	*	8.67885849570867e-08	0.000263377076070545	4.96969303762869
NC_039510.1	16283292	16284292	*	1.13517261274042e-07	0.000263377076070545	4.71500930526053
NC_039511.1	8707980	8708980	*	1.28013222387795e-07	0.000263377076070545	-3.89355719402485
NC_039510.1	17120831	17121831	*	2.94975245458249e-07	0.000520189909489883	-5.41592394533571
NC_039509.1	14117324	14118324	*	5.98044556372482e-07	0.000922822016034421	6.67106475993826
NC_039516.1	13518518	13519518	*	6.91750355544316e-07	0.000948814414717791	2.89875691356468
NC_039506.1	18977532	18978532	*	1.0117404330827e-06	0.00124894553251902	-2.33183940294825
NC_039513.1	9604278	9605278	*	1.85867184077127e-06	0.0020020404128581	2.78862732876852
NC_039516.1	12962685	12963685	*	1.94616515927841e-06	0.0020020404128581	-2.16412437987252
NC_039506.1	9078365	9079365	*	2.50882782217321e-06	0.00228249139994084	2.26175093118231
NC_039514.1	11184193	11185193	*	2.58858716276958e-06	0.00228249139994084	1.91899451247626
NC_039507.1	16959001	16960001	*	3.11230567847627e-06	0.00252425675939854	3.19037773036323
NC_039515.1	1206830	1207830	*	3.2717425193905e-06	0.00252425675939854	3.34084312650957
NC_039519.1	7246807	7247807	*	3.89617575337164e-06	0.00282920235151605	-2.33374292968433
NC_039508.1	15753327	15754327	*	6.07105377095772e-06	0.00398663817280008	-2.86508819844658
NC_039507.1	5182434	5183434	*	6.13600958592608e-06	0.00398663817280008	7.80328930794976
NC_039511.1	539057	540057	*	6.91446702489125e-06	0.00426779063982616	3.52056019263798
NC_039514.1	7347936	7348936	*	8.32372615565806e-06	0.00489297370112504	1.0298215675805
NC_039512.1	16190645	16191645	*	9.14214612547257e-06	0.00512979335037145	3.00585863693174
NC_039506.1	18931849	18932849	*	1.13505922065109e-05	0.00609207270106041	5.37216796719265
NC_039516.1	13013400	13014400	*	1.36372837446756e-05	0.00701440806508332	3.25593103721891
NC_039508.1	17994207	17995207	*	1.55128549967879e-05	0.00765995320986444	-5.42938587233086
